Biomarker,Protein_Gene_or_Other,Experiment_to_Measure_Biomarker,Type_of_Sample,Predictive_Prognostic_or_Diagnostic,Function_as_Biomarker,Type_of_Cancer_or_Disease,Clinical_Endpoint_or_Characteristic_in_Study,Citation,Year_of_Publication,Country_of_Participants,State_or_Region_in_Country_of_Participants
"1-stearoylglycerol (1-SG, or 1-monostearin)",Other (Lipid),Serum metabolomic profiling,Fasting serum,Diagnostic,Potential prostate cancer early detection marker,Prostate cancer,Odds ratio of 0.34 for risk up to 23 years after blood collection,"Mondul AM, et al. 1-stearoylglycerol is associated with risk of prostate cancer: results from serum metabolomic profiling. Metabolomics. 2014;10(5):1036–1041.",2014,Finland,Southwestern Finland
Estrogen receptor-beta (ER-?),Protein,Immunohistochemistry,Paraffin-embedded breast specimens,Prognostic,Capable of predicting the likelihood of relapse/progression,Breast cancer (BC),Disease-free survival (DFS) measured from tumor diagnosis to first recurrence,"Novelli F, et al. A divergent role for estrogen receptor-beta in node-positive and node-negative breast cancer classified according to molecular subtypes. Breast Cancer Res. 2008;10:R74.",2008,Italy,Rome
Telomere length,DNA,Monochrome quantitative multiplex PCR assay,Blood leukocytes,Diagnostic,Measure of risk for developing pancreatic cancer,Pancreatic adenocarcinoma,Odds ratio of 1.61 for risk based on median 6.3-year follow-up,"Lynch SM, et al. A prospective analysis of telomere length and pancreatic cancer in the alpha-tocopherol beta-carotene cancer (ATBC) prevention study. Int J Cancer. 2013;133(11):2672–2680.",2013,Finland,-
Excision repair cross-complementing gene 1 (ERCC1),Protein,Immunohistochemistry,Tumor samples (bronchoscopy/biopsy),Predictive,Correlate with therapeutic efficacy of platinum,Advanced non-small cell lung cancer (NSCLC),"Response rate, median PFS time, and 1-year survival rate following chemotherapy","Zhang Q, et al. A prospective study of biomarker-guided chemotherapy in patients with non-small cell lung cancer. Cancer Chemother Pharmacol. 2014;74:839–846.",2014,People’s Republic of China,Nanjing
Ribonucleotide reductase M1 (RRM1),Protein,Immunohistochemistry,Tumor samples (bronchoscopy/biopsy),Predictive,Correlate with therapeutic efficacy of gemcitabine,Advanced non-small cell lung cancer (NSCLC),"Response rate, median PFS time, and 1-year survival rate following chemotherapy","Zhang Q, et al. A prospective study of biomarker-guided chemotherapy in patients with non-small cell lung cancer. Cancer Chemother Pharmacol. 2014;74:839–846.",2014,People’s Republic of China,Nanjing
?-tubulin III,Protein,Immunohistochemistry,Tumor samples (bronchoscopy/biopsy),Predictive,Correlate with therapeutic efficacy of docetaxel,Advanced non-small cell lung cancer (NSCLC),"Response rate, median PFS time, and 1-year survival rate following chemotherapy","Zhang Q, et al. A prospective study of biomarker-guided chemotherapy in patients with non-small cell lung cancer. Cancer Chemother Pharmacol. 2014;74:839–846.",2014,People’s Republic of China,Nanjing
leukocyte telomere length (TL),DNA,Monochrome multiplex quantitative PCR,Peripheral blood leukocytes,Diagnostic,Marker of cancer risk,Renal cell carcinoma (RCC),Odds ratios for RCC risk comparing highest/lowest quartiles pre-diagnosis,"Hofmann JN, et al. A prospective study of leukocyte telomere length and risk of renal cell carcinoma. Cancer Epidemiol Biomarkers Prev. 2013;22(5):997–1000.",2013,United States,-
"Macrophage inhibitory cytokine-1 (MIC-1, GDF15)",Protein,Enzyme-linked immunosorbent assay,Prediagnostic blood specimen (plasma),Diagnostic,Potential biomarker for CRC risk,Colorectal cancer (CRC),Multivariable relative risks for CRC across plasma quintiles,"Mehta RS, et al. A prospective study of macrophage inhibitory cytokine-1 (MIC-1-GDF15) and risk of colorectal cancer. J Natl Cancer Inst. 2014;106(4):dju016.",2014,United States,-
Selenoprotein P (SEPP1),Protein,SEPP1 assays,Plasma,Diagnostic,Biomarker of lung cancer risk,Lung cancer,Odds ratios of lung cancer risk by SEPP1 tertiles over 9-year follow-up,"Epplein M, et al. A prospective study of plasma Selenoprotein P and lung cancer risk among low-income adults. Cancer Epidemiol Biomarkers Prev. 2014;23(7):1238–1244.",2014,United States,Southeastern US
relative telomere length,DNA,Quantitative real-time PCR,Peripheral blood leukocytes,Diagnostic,Measure of cancer risk,Postmenopausal breast cancer,Odds ratio (1.23) for postmenopausal breast cancer risk,"De Vivo I, et al. A prospective study of relative telomere length and postmenopausal breast cancer risk. Cancer Epidemiol Biomarkers Prev. 2009;18(4):1152–1156.",2009,United States,-
Total and ionized serum calcium,Other (Cation),Measurement from mortality files,Serum,Prognostic,Biomarker of fatal prostate cancer,Fatal prostate cancer,Multivariate-adjusted relative risk for death from prostate cancer,"Skinner HG, Schwartz GG. A prospective study of total and ionized serum calcium and fatal prostate cancer. Cancer Epidemiol Biomarkers Prev. 2009;18(2):575–578.",2009,United States,-
