PMID,Title,Authors,Journal,Year,DOI,PMC_ID,Free_PMC,PDF_Downloaded,PDF_Filename
37879443,Artificial intelligence for predictive biomarker discovery in immuno-oncology: a systematic review.,Prelaj A; Miskovic V; Zanitti M; Trovo F; Genova C; Viscardi G; Rebuzzi S E; Mazzeo L; Provenzano L; Kosta S; Favali M; Spagnoletti A; Castelo-Branco L; Dolezal J; Pearson A T; Lo Russo G; Proto C; Ganzinelli M; Giani C; Ambrosini E; Turajlic S; Au L; Koopman M; Delaloge S; Kather J N; de Braud F; Garassino M C; Pentheroudakis G; Spencer C; Pedrocchi A L G,Annals of oncology : official journal of the European Society for Medical Oncology,2024,10.1016/j.annonc.2023.10.125,,No,Yes,PMID_37879443.pdf
29656894,Deterministic Evolutionary Trajectories Influence Primary Tumor Growth: TRACERx Renal.,Turajlic Samra; Xu Hang; Litchfield Kevin; Rowan Andrew; Horswell Stuart; Chambers Tim; O'Brien Tim; Lopez Jose I; Watkins Thomas B K; Nicol David; Stares Mark; Challacombe Ben; Hazell Steve; Chandra Ashish; Mitchell Thomas J; Au Lewis; Eichler-Jonsson Claudia; Jabbar Faiz; Soultati Aspasia; Chowdhury Simon; Rudman Sarah; Lynch Joanna; Fernando Archana; Stamp Gordon; Nye Emma; Stewart Aengus; Xing Wei; Smith Jonathan C; Escudero Mickael; Huffman Adam; Matthews Nik; Elgar Greg; Phillimore Ben; Costa Marta; Begum Sharmin; Ward Sophia; Salm Max; Boeing Stefan; Fisher Rosalie; Spain Lavinia; Navas Carolina; Grönroos Eva; Hobor Sebastijan; Sharma Sarkhara; Aurangzeb Ismaeel; Lall Sharanpreet; Polson Alexander; Varia Mary; Horsfield Catherine; Fotiadis Nicos; Pickering Lisa; Schwarz Roland F; Silva Bruno; Herrero Javier; Luscombe Nick M; Jamal-Hanjani Mariam; Rosenthal Rachel; Birkbak Nicolai J; Wilson Gareth A; Pipek Orsolya; Ribli Dezso; Krzystanek Marcin; Csabai Istvan; Szallasi Zoltan; Gore Martin; McGranahan Nicholas; Van Loo Peter; Campbell Peter; Larkin James; Swanton Charles; TRACERx Renal Consortium,Cell,2018,10.1016/j.cell.2018.03.043,PMC5938372,Yes,Yes,Deterministic Evolutionary Trajectories Influence Primary Tumor Growth - TRACERx Renal_Turajlic Samra_Xu Hang_Litchfield Kevin_Rowan Andrew_Horswell Stuart_Chambers Tim_O'Brien Tim_Lopez Jose I_Watkins Thomas B K_Nicol David_Stares Mark_Cell_2018.pdf
28792880,Analysis of Plasma Epstein-Barr Virus DNA to Screen for Nasopharyngeal Cancer.,Chan K C Allen; Woo John K S; King Ann; Zee Benny C Y; Lam W K Jacky; Chan Stephen L; Chu Sam W I; Mak Constance; Tse Irene O L; Leung Samantha Y M; Chan Gloria; Hui Edwin P; Ma Brigette B Y; Chiu Rossa W K; Leung Sing-Fai; van Hasselt Andrew C; Chan Anthony T C; Lo Y M Dennis,The New England journal of medicine,2017,10.1056/NEJMoa1701717,,No,No,
37683735,AFP-L3 and DCP strongly predict early hepatocellular carcinoma recurrence after liver transplantation.,Norman Joshua S; Li P Jonathan; Kotwani Prashant; Shui Amy M; Yao Francis; Mehta Neil,Journal of hepatology,2023,10.1016/j.jhep.2023.08.020,PMC10998694,Yes,Yes,PMID_37683735.pdf
39848548,Contrast-enhanced ultrasound-based AI model for multi-classification of focal liver lesions.,Ding Wenzhen; Meng Yaqing; Ma Jun; Pang Chuan; Wu Jiapeng; Tian Jie; Yu Jie; Liang Ping; Wang Kun,Journal of hepatology,2025,10.1016/j.jhep.2025.01.011,,No,No,
33028667,Development and validation of a serum microRNA biomarker panel for detecting gastric cancer in a high-risk population.,So Jimmy Bok Yan; Kapoor Ritika; Zhu Feng; Koh Calvin; Zhou Lihan; Zou Ruiyang; Tang Yew Chung; Goo Patrick C K; Rha Sun Young; Chung Hyun Cheol; Yoong Joanne; Yap Celestial T; Rao Jaideepraj; Chia Chung-King; Tsao Stephen; Shabbir Asim; Lee Jonathan; Lam Kong-Peng; Hartman Mikael; Yong Wei Peng; Too Heng-Phon; Yeoh Khay-Guan,Gut,2021,10.1136/gutjnl-2020-322065,PMC8040159,Yes,Yes,PMID_33028667.pdf
38754433,Identification of biomarkers and potential therapeutic targets for pancreatic cancer by proteomic analysis in two prospective cohorts.,Lyu Jingjing; Jiang Minghui; Zhu Ziwei; Wu Hongji; Kang Haonan; Hao Xingjie; Cheng Shanshan; Guo Huan; Shen Xia; Wu Tangchun; Chang Jiang; Wang Chaolong,Cell genomics,2024,10.1016/j.xgen.2024.100561,PMC11228889,Yes,Yes,PMID_38754433.pdf
39293548,A Phase 3 Biomarker Validation of GALAD for the Detection of Hepatocellular Carcinoma in Cirrhosis.,Marsh Tracey L; Parikh Neehar D; Roberts Lewis R; Schwartz Myron E; Nguyen Mindie H; Befeler Alex; Page-Lester Stephanie; Tayob Nabihah; Srivastava Sudhir; Rinaudo Jo Ann; Singal Amit G; Reddy K Rajender; Marrero Jorge A,Gastroenterology,2025,10.1053/j.gastro.2024.09.008,PMC12120501,Yes,Yes,PMID_39293548.pdf
36652782,Emerging targets for cancer treatment: S100A9/RAGE.,Valiente M; Sepúlveda J M; Pérez A,ESMO open,2023,10.1016/j.esmoop.2022.100751,PMC9860424,Yes,Yes,PMID_36652782.pdf
32634035,Differential biomarker profiles between unprovoked venous thromboembolism and cancer.,Sánchez-López V; Gao L; Ferrer-Galván M; Arellano-Orden E; Elías-Hernández T; Jara-Palomares L; Asensio-Cruz M I; Castro-Pérez M J; Rodríguez-Martorell F J; Lobo-Beristain J L; Ballaz-Quincoces A; López-Campos J L; Vila-Liante V; Otero-Candelera R,Annals of medicine,2020,10.1080/07853890.2020.1779956,PMC7877930,Yes,Yes,PMID_32634035.pdf
