PMID,Title,Authors,Journal,Year,DOI,PMC_ID,Free_PMC,PDF_Downloaded,PDF_Filename
41634201,RNA sequencing reveals differential expression of circular RNAs in human small cell lung cancer.,Saxena V; Abhilash D; Budhraja A; Dey S; Tiwari P; Mohan A; Gupta I; Kumar S,Scientific reports,2026,10.1038/s41598-026-38145-y,,No,No,
41563517,Contributions of selenoproteins to breast cancer etiology and racial disparity.,Bera S; Liu L; Ma W; Xu Z; Sverdlov M; Deaton R; Macias V; Valyi-Nagy K; Kajdacsy-Balla A; Hoskins K; Wiley EL; Kastrati I; Diamond AM,Cancer causes & control : CCC,2026,10.1007/s10552-025-02123-y,PMC12823618,Yes,Yes,PMID_41563517_PMC12823618.pdf
41559111,Gene regulatory network transitions reveal the central transcription factors in lung adenocarcinoma progression.,Ray U; Singh A; Samanta D; Dhar R,NPJ systems biology and applications,2026,10.1038/s41540-025-00640-9,PMC12873405,Yes,Yes,PMID_41559111_PMC12873405.pdf
41522921,Evaluation of microRNA Expression Profiles as Diagnostic and Prognostic Biomarkers in Oral Squamous Cell Carcinoma: A Molecular Approach.,Abdul NS; Shenoy M; Shivakumar GC; Patel S; Jyoti B; Shivakumar S,Journal of pharmacy & bioallied sciences,2025,10.4103/jpbs.jpbs_1422_25,PMC12788544,Yes,No,
41505877,"Expression Analysis, Diagnostic and Prognostic Accuracy of microRNAs in Oral Cancer: An Overview With Meta-Analysis.",Nair AS; Sujir N; Sen D; Ahmed J; Shenoy N; Shenoy R; Mallya SM,International dental journal,2026,10.1016/j.identj.2025.109305,PMC12808973,Yes,Yes,PMID_41505877_PMC12808973.pdf
41477365,"Expression of DKK1, HOXC6, and YKT6 Genes in Subjects With Oral Squamous Cell Carcinoma Residing in Central India: A Case-Control Study.",Haldar U; Gopal N; Prathipati K; Balkrishna AD; John JE,Cureus,2025,10.7759/cureus.98056,PMC12750472,Yes,Yes,PMID_41477365_PMC12750472.pdf
41459856,In Silico Analysis of the Role of Estrogen Signaling in the Expression of Metabolic Genes in Breast Cancer.,Mazumder A; Suryansh S; Sahoo OS; Singh P; Goel I; Talukdar J; Srivastava T; Ranjan P; Rai A; Dhar R; Karmakar S,Asian Pacific journal of cancer prevention : APJCP,2025,10.31557/APJCP.2025.26.12.4419,,No,No,
41457853,What Drives Aggressiveness of Smoker Lung Adenocarcinoma? Potential Role of Nicotine-Responsive Neuropeptides Neurotensin and Calcitonin-Related Polypeptide Alpha.,Dasgupta S,Omics : a journal of integrative biology,2025,10.1177/15578100251408265,,No,No,
41454044,Establishing molecular biomarkers for efficient demarcation of tumor and non-tumor tissue in oral squamous cell carcinoma.,Gupta K; Raval I; Puvar A; Shaikh S; Joshi M; Joshi C; Shah S; Shah A; Pandya S,Scientific reports,2025,10.1038/s41598-025-33758-1,PMC12852831,Yes,Yes,PMID_41454044_PMC12852831.pdf
41451347,Identification and validation of tumor microenvironment-related therapeutic targets in gastric cancer using integrated multi-omics and molecular docking approaches.,Oli M MK; Syed Masood JAI,Frontiers in bioinformatics,2025,10.3389/fbinf.2025.1654326,PMC12727970,Yes,Yes,PMID_41451347_PMC12727970.pdf
41405767,Multi-omics integration reveals CYP2B6 as a central node in the molecular landscape of non-small cell lung cancer.,Tripathi V; Khare A; Dwivedi VD; Ranjan V,"Medical oncology (Northwood, London, England)",2025,10.1007/s12032-025-03116-2,,No,No,
41392150,Identification of a chromatin-modifying gene-histone lysine N-methyl transferase (KMT2C/MLL3) as a potential immunomodulator oncogene in Indian pancreatic cancer patients.,Choudhury S; Bararia A; Maiti A; Saha S; Mukherjee S; Chakraborty S; Pal A; Ghosh S; Chattopadhay BK; Banerjee S; Ghatak S; Dastidar DG; Sikdar N,European journal of medical research,2025,10.1186/s40001-025-03661-6,PMC12821199,Yes,Yes,PMID_41392150_PMC12821199.pdf
41339651,Integrated profiling reveals polarity protein dysregulation during oral cancer progression.,Ghose S; Chaudry UR; Chakravarty S; Sarangi S; Biswas NK; Baral R; Ray D,Scientific reports,2025,10.1038/s41598-025-27447-2,PMC12700890,Yes,Yes,PMID_41339651_PMC12700890.pdf
41275370,"Identification of novel lead molecules against the EGFR kinase domain using structure-based virtual screening, molecular docking, and molecular dynamics simulations.",Jannu M; Vankadoth UN; Amineni U; Jinka R,Journal of receptor and signal transduction research,2025,10.1080/10799893.2025.2590462,,No,No,
41191189,Aurora Kinase A inhibitor alisertib failed to exert its efficacy on TNBC cells due to consequential enrichment of polyploid giant cancer cells (PGCCs).,Thakur D; Sengupta D; Kar S; Chakrabarti J; Sen S; Hajra S; Laha A; Mahapatra E; Das S; Karmakar P; Mukherjee S,Discover oncology,2025,10.1007/s12672-025-03825-0,PMC12589761,Yes,Yes,PMID_41191189_PMC12589761.pdf
41186627,Systems biology-driven identification of biomarkers and significant pathways in radiation-induced hormone-sensitive cancers.,Anbarasu S; Balaji S; Ramaiah S; Anbarasu A,Discover oncology,2025,10.1007/s12672-025-03892-3,PMC12586841,Yes,Yes,PMID_41186627_PMC12586841.pdf
41179636,Exploring Breast Cancer-Associated Genes: A Comprehensive Analysis and Competitive Endogenous RNA Network Construction.,Charu Meena H; Sagaya Jansi R; Aishwarya S; Balamurugan S; Praveen Kumar P,Archives of Razi Institute,2025,10.32592/ARI.2025.80.2.347,PMC12572701,Yes,Yes,PMID_41179636_PMC12572701.pdf
41151853,Investigating the Roles of MAPKs as Precision Oncology Targets: A Multi-cancer Expression and Survival Study.,Sulaimani MN; Singh P; Saeed MU; Zaidi S; Hussain A; Alajmi MF; Shamsi A; Dohare R; Hassan MI,Cancer genomics & proteomics,2025,10.21873/cgp.20552,PMC12577606,Yes,Yes,PMID_41151853_PMC12577606.pdf
41135895,The role of MUC2 in cancer - Biological significance and therapeutic implications: A review.,Mishra A; Vishwa R; Alqahtani MS; Abbas M; Sethi G; Ma Z; Kunnumakkara AB,International journal of biological macromolecules,2025,10.1016/j.ijbiomac.2025.148480,,No,No,
41121066,Metal ion transporter SLC39A14-mediated ferroptosis and glycosylation modulate the tumor immune microenvironment: pan-cancer multi-omics exploration of therapeutic potential.,Chiang YC; Wang CY; Kumar S; Hsieh CB; Chang KF; Ko CC; Chang CH; Lin HR; Wu CJ; Yuan CH; Xuan DTM; Ngadio JL; Solomon DD; Wulandari FS; Lin HY; Yang SF; Lee YK,Cancer cell international,2025,10.1186/s12935-025-04003-6,PMC12539127,Yes,Yes,PMID_41121066_PMC12539127.pdf
41034425,Functional characterization of dysregulated LncRNAs in BRCA and CESC highlights their role in cancer prognosis.,Sharma M; Chourasia N; Priyanka P; Sarkar DP; Nag A; Saxena S,Scientific reports,2025,10.1038/s41598-025-16436-0,PMC12489001,Yes,Yes,PMID_41034425_PMC12489001.pdf
