Protein Name,Gene Name,Fold Change Value,Fold Change Type,Adjusted p-value,Raw p-value,t-Statistic,Experiment,Citation,Cancer Type,Comparison Category
Four and a half LIM domains 1,FHL1,9.6,iTRAQ ratio (tumor/nontumor),-,-,-,iTRAQ (LC-MS/MS),"Chaerkady R, Harsha HC, Nalli A, et al. A Quantitative Proteomic Approach for Identification of Potential Biomarkers in Hepatocellular Carcinoma. J Proteome Res. 2008; 7(10): 4289–4298.",HCC,Tumor vs. adjacent noncancerous tissue
Interferon-induced protein with tetratricopeptide repeats 1 isoform 2,IFIT1,8.5,iTRAQ ratio (tumor/nontumor),-,-,-,iTRAQ (LC-MS/MS),"Chaerkady R, Harsha HC, Nalli A, et al. A Quantitative Proteomic Approach for Identification of Potential Biomarkers in Hepatocellular Carcinoma. J Proteome Res. 2008; 7(10): 4289–4298.",HCC,Tumor vs. adjacent noncancerous tissue
Fibrillin 2,FBN2,8.4,iTRAQ ratio (tumor/nontumor),-,-,-,iTRAQ (LC-MS/MS),"Chaerkady R, Harsha HC, Nalli A, et al. A Quantitative Proteomic Approach for Identification of Potential Biomarkers in Hepatocellular Carcinoma. J Proteome Res. 2008; 7(10): 4289–4298.",HCC,Tumor vs. adjacent noncancerous tissue
Fibroleukin,FGL2,8.2,iTRAQ ratio (tumor/nontumor),-,-,-,iTRAQ (LC-MS/MS),"Chaerkady R, Harsha HC, Nalli A, et al. A Quantitative Proteomic Approach for Identification of Potential Biomarkers in Hepatocellular Carcinoma. J Proteome Res. 2008; 7(10): 4289–4298.",HCC,Tumor vs. adjacent noncancerous tissue
Myeloid-associated differentiation marker,MYADM,5.6,iTRAQ ratio (tumor/nontumor),-,-,-,iTRAQ (LC-MS/MS),"Chaerkady R, Harsha HC, Nalli A, et al. A Quantitative Proteomic Approach for Identification of Potential Biomarkers in Hepatocellular Carcinoma. J Proteome Res. 2008; 7(10): 4289–4298.",HCC,Tumor vs. adjacent noncancerous tissue
Ornithine carbamoyltransferase,OTC,0.1,iTRAQ ratio (tumor/nontumor),-,-,-,iTRAQ (LC-MS/MS),"Chaerkady R, Harsha HC, Nalli A, et al. A Quantitative Proteomic Approach for Identification of Potential Biomarkers in Hepatocellular Carcinoma. J Proteome Res. 2008; 7(10): 4289–4298.",HCC,Tumor vs. adjacent noncancerous tissue
Superoxide dismutase,-,2.05,Direct (Average fold),-,< 0.05,-,2D-PAGE & LC/MS/MS,"Liang S, Singh M, Gam LH. The differential expression of aqueous soluble proteins in breast normal and cancerous tissues in relation to ethnicity of the patients; Chinese, Malay and Indian. Disease Markers. 2010; 28: 149–165.",Breast Cancer (IDC),Cancerous vs. normal tissue
Peroxiredoxin-2,-,3.115,Direct (Average fold),-,< 0.05,-,2D-PAGE & LC/MS/MS,"Liang S, Singh M, Gam LH. The differential expression of aqueous soluble proteins in breast normal and cancerous tissues in relation to ethnicity of the patients; Chinese, Malay and Indian. Disease Markers. 2010; 28: 149–165.",Breast Cancer (IDC),Cancerous vs. normal tissue
14-3-3 protein zeta,-,1019.138,Direct (Average fold),-,< 0.05,-,2D-PAGE & LC/MS/MS,"Liang S, Singh M, Gam LH. The differential expression of aqueous soluble proteins in breast normal and cancerous tissues in relation to ethnicity of the patients; Chinese, Malay and Indian. Disease Markers. 2010; 28: 149–165.",Breast Cancer (IDC),Cancerous vs. normal tissue
14-3-3 protein eta,-,2192.104,Direct (Average fold),-,< 0.05,-,2D-PAGE & LC/MS/MS,"Liang S, Singh M, Gam LH. The differential expression of aqueous soluble proteins in breast normal and cancerous tissues in relation to ethnicity of the patients; Chinese, Malay and Indian. Disease Markers. 2010; 28: 149–165.",Breast Cancer (IDC),Cancerous vs. normal tissue
Calreticulin,-,4750.467,Direct (Average fold),-,< 0.05,-,2D-PAGE & LC/MS/MS,"Liang S, Singh M, Gam LH. The differential expression of aqueous soluble proteins in breast normal and cancerous tissues in relation to ethnicity of the patients; Chinese, Malay and Indian. Disease Markers. 2010; 28: 149–165.",Breast Cancer (IDC),Cancerous vs. normal tissue
"Actin, cytoplasmic 1/2",-,1.69,Fold Change,-,-,-,2D-PAGE/MALDI TOF-MS,"Desai S, Srambikkal N, Yadav HD, et al. Molecular Understanding of Growth Arrest and Apoptosis-Inducing Bystander Signals Released from Virally Infected and Ionizing Radiation-Treated Human Metastatic Cancer Cells. PLoS One. 2016; 11(5): e0154694.",Tumor bystander model,Irradiated tumor cell supernatant vs. control
Galectin-1,-,2.54,Fold Change,-,-,-,2D-PAGE/MALDI TOF-MS,"Desai S, Srambikkal N, Yadav HD, et al. Molecular Understanding of Growth Arrest and Apoptosis-Inducing Bystander Signals Released from Virally Infected and Ionizing Radiation-Treated Human Metastatic Cancer Cells. PLoS One. 2016; 11(5): e0154694.",Tumor bystander model,Irradiated tumor cell supernatant vs. control
Protein S100-A4,-,-1.5,Fold Change,-,-,-,2D-PAGE/MALDI TOF-MS,"Desai S, Srambikkal N, Yadav HD, et al. Molecular Understanding of Growth Arrest and Apoptosis-Inducing Bystander Signals Released from Virally Infected and Ionizing Radiation-Treated Human Metastatic Cancer Cells. PLoS One. 2016; 11(5): e0154694.",Tumor bystander model,Irradiated tumor cell supernatant vs. control
Cofilin-1,-,-2,Fold Change,-,-,-,2D-PAGE/MALDI TOF-MS,"Desai S, Srambikkal N, Yadav HD, et al. Molecular Understanding of Growth Arrest and Apoptosis-Inducing Bystander Signals Released from Virally Infected and Ionizing Radiation-Treated Human Metastatic Cancer Cells. PLoS One. 2016; 11(5): e0154694.",Tumor bystander model,Irradiated tumor cell supernatant vs. control
