Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000115592	homo sapiens	E-GEOD-68086	'breast carcinoma' vs 'normal'	-5.3	1.56901556991211e-20	
ENSG00000115592	homo sapiens	E-MTAB-7613	'human cytomegalovirus (Towne strain)' vs 'none'	4.8	0.0176412717753364	
ENSG00000115592	homo sapiens	E-GEOD-68086	'colorectal carcinoma' vs 'normal'	-4.5	1.23188059684852e-16	
ENSG00000115592	homo sapiens	E-GEOD-52194	'triple-negative breast cancer; breast carcinoma' vs 'normal'	4.1	0.0000194280138760431	
ENSG00000115592	homo sapiens	E-GEOD-68086	'pancreatic adenocarcinoma' vs 'normal'	-3.7	8.10822260447122e-10	
ENSG00000115592	homo sapiens	E-GEOD-68086	'hepatobiliary carcinoma' vs 'normal'	-3.5	0.00000277869692897897	
ENSG00000115592	homo sapiens	E-GEOD-52194	'non-triple-negative breast cancer; breast carcinoma' vs 'normal'	3.5	0.0000653282040178696	
ENSG00000115592	homo sapiens	E-MTAB-7284	'TIGAR knockdown' vs 'wild type'	2.7	0.0000308321695521798	
ENSG00000115592	homo sapiens	E-GEOD-68086	'non-small cell lung carcinoma' vs 'normal'	-2.6	1.03234154220197e-7	
ENSG00000115592	homo sapiens	E-GEOD-57116	'3 h DRB 0 min 4sU' vs 'untreated'	2.6	0.0222797140113512	
ENSG00000115592	homo sapiens	E-GEOD-68086	'glioblastoma' vs 'normal'	-2.5	0.00000248161829425321	
ENSG00000115592	homo sapiens	E-MTAB-4054	'esophageal adenocarcinoma' vs 'Barrett’s esophagus; non-dysplastic'	2.3	0.0186421844142223	
ENSG00000115592	homo sapiens	E-MTAB-4054	'esophageal adenocarcinoma' vs 'normal'	2.3	0.0336649754782985	
ENSG00000115592	homo sapiens	E-MTAB-7886	'SPRY1 knockdown by siRNA' vs 'none'	1.3	0.0265007629662187	
ENSG00000115592	homo sapiens	E-GEOD-35493	'medulloblastoma, large-cell' vs 'normal'	1.1	0.00010038628839518	
ENSG00000115592	homo sapiens	E-MEXP-3628	'osteosarcoma' vs 'normal'	1	0.000152074907727456	
ENSG00000115592	homo sapiens	E-GEOD-80832	'Zaire ebolavirus lacking the VP30 gene' vs 'mock' at '18 hour'	1	0.00329962754725896	
