Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000177058,SLC38A9,SLC38A9,homo sapiens,E-GEOD-68086,'colorectal carcinoma' vs 'normal',-3.4,9.62132774279647e-20,
ENSG00000177058,SLC38A9,SLC38A9,homo sapiens,E-GEOD-37003,'anti-m6A' vs 'none',-3.1,0.0148811391916687,
ENSG00000177058,SLC38A9,SLC38A9,homo sapiens,E-GEOD-68086,'breast carcinoma' vs 'normal',-3,8.75625836229424e-20,
ENSG00000177058,SLC38A9,SLC38A9,homo sapiens,E-GEOD-68086,'pancreatic adenocarcinoma' vs 'normal',-2.9,4.46804094853063e-12,
ENSG00000177058,SLC38A9,SLC38A9,homo sapiens,E-GEOD-52194,'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal',2.4,1.65694497930883e-11,
ENSG00000177058,SLC38A9,SLC38A9,homo sapiens,E-GEOD-68086,'hepatobiliary carcinoma' vs 'normal',-2.2,0.0000113098985409111,
ENSG00000177058,SLC38A9,SLC38A9,homo sapiens,E-GEOD-7835,'deferoxamine; 100 nanomolar echinomycin' vs 'deferoxamine; none',-2.1,0.00000561412154093001,
ENSG00000177058,SLC38A9,SLC38A9,homo sapiens,E-GEOD-68086,'non-small cell lung carcinoma' vs 'normal',-2,3.09125889401552e-10,
ENSG00000177058,SLC38A9,SLC38A9,homo sapiens,E-MTAB-7025,'JQ1 (1 micromolar) and THZ1 (35 nanomolar)' vs 'none',-2,9.18791038870285e-10,
ENSG00000177058,SLC38A9,SLC38A9,homo sapiens,E-GEOD-56788,'BEGAIN knock-down' vs 'mock',-1.9,1.85900090329035e-25,
ENSG00000177058,SLC38A9,SLC38A9,homo sapiens,E-GEOD-52194,'non-triple-negative breast cancer; breast carcinoma' vs 'normal',1.9,1.29413627664355e-10,
ENSG00000177058,SLC38A9,SLC38A9,homo sapiens,E-GEOD-63252,'wild type; tunicamycin' vs 'wild type; control',1.9,0.0116364654263952,
ENSG00000177058,SLC38A9,SLC38A9,homo sapiens,E-GEOD-63452,'24 hour' vs '0 hour' in 'MCF-10A',-1.8,0.00000360569216992876,
ENSG00000177058,SLC38A9,SLC38A9,homo sapiens,E-GEOD-52194,'triple-negative breast cancer; breast carcinoma' vs 'normal',1.8,0.0000106055293618964,
ENSG00000177058,SLC38A9,SLC38A9,homo sapiens,E-GEOD-40595,'ovarian cancer' vs 'normal' in 'stromal cell',1.8,0.0000948371586414225,
ENSG00000177058,SLC38A9,SLC38A9,homo sapiens,E-MTAB-6087,'hypoxia' vs 'normoxia' in 'SW684',-1.8,0.00116155855669722,
ENSG00000177058,SLC38A9,SLC38A9,homo sapiens,E-GEOD-63252,'p53KO; tunicamycin' vs 'p53KO; control',1.7,0.0276304425286087,
ENSG00000177058,SLC38A9,SLC38A9,homo sapiens,E-GEOD-9350,'hypoxia' vs 'normal atmospheric oxygen pressure' in 'low metastatic cell line',-1.6,0.0148944576208752,
ENSG00000177058,SLC38A9,SLC38A9,homo sapiens,E-MTAB-7025,'THZ1 (35 nanomolar)' vs 'none',-1.5,7.76301693762947e-7,
ENSG00000177058,SLC38A9,SLC38A9,homo sapiens,E-GEOD-68086,'glioblastoma' vs 'normal',-1.5,0.0000706507510542949,
ENSG00000177058,SLC38A9,SLC38A9,homo sapiens,E-GEOD-63252,'DICERER5/EX5; tunicamycin' vs 'DICERER5/EX5; control',1.5,0.00173393767515405,
ENSG00000177058,SLC38A9,SLC38A9,homo sapiens,E-GEOD-56788,'CCNK knock-down' vs 'mock',-1.4,9.91943067472887e-15,
ENSG00000177058,SLC38A9,SLC38A9,homo sapiens,E-GEOD-63816,'erythroleukemia; ZRSR2 shRNA' vs 'normal',1.4,3.49133323719085e-7,
ENSG00000177058,SLC38A9,SLC38A9,homo sapiens,E-MEXP-1482,'miR15a/miR16-1' vs 'empty vector',-1.4,0.00000839009143668645,
ENSG00000177058,SLC38A9,SLC38A9,homo sapiens,E-MTAB-5678,'squamous cell carcinoma' vs 'normal',-1.3,1.20487570357985e-13,
