Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000126070	homo sapiens	E-GEOD-68086	'breast carcinoma' vs 'normal'	-3.3	3.06012579499064e-23	
ENSG00000126070	homo sapiens	E-GEOD-68086	'pancreatic adenocarcinoma' vs 'normal'	-3.1	1.60917336180922e-15	
ENSG00000126070	homo sapiens	E-GEOD-11941	'100 microgram per milliliter trovafloxacin' vs 'none'	2.8	0.00000412671851328026	
ENSG00000126070	homo sapiens	E-GEOD-68086	'non-small cell lung carcinoma' vs 'normal'	-2.7	1.03480524433176e-17	
ENSG00000126070	homo sapiens	E-GEOD-63252	'wild type; BREFELDIN A' vs 'wild type; control'	2.7	0.00027089309854153	
ENSG00000126070	homo sapiens	E-GEOD-68086	'colorectal carcinoma' vs 'normal'	-2.5	1.70880696186201e-11	
ENSG00000126070	homo sapiens	E-MEXP-2280	'Pick disease' vs 'normal'	2.1	0.0000147541159308199	
ENSG00000126070	homo sapiens	E-GEOD-68086	'hepatobiliary carcinoma' vs 'normal'	-1.9	0.0000199763768244874	
ENSG00000126070	homo sapiens	E-GEOD-37003	'anti-m6A' vs 'none'	-1.9	0.0331433274395332	
ENSG00000126070	homo sapiens	E-MTAB-5678	'squamous cell carcinoma' vs 'normal'	-1.8	5.91119744472313e-25	
ENSG00000126070	homo sapiens	E-GEOD-63252	'wild type; tunicamycin' vs 'wild type; control'	1.8	0.00858999158184694	
ENSG00000126070	homo sapiens	E-GEOD-68086	'glioblastoma' vs 'normal'	-1.7	0.00000258363726231003	
ENSG00000126070	homo sapiens	E-GEOD-63252	'p53KO; tunicamycin' vs 'p53KO; control'	1.7	0.00732556129192978	
ENSG00000126070	homo sapiens	E-GEOD-26966	'pituitary cancer' vs 'normal'	-1.6	0.000669891452021806	
ENSG00000126070	homo sapiens	E-GEOD-48433	'HOP-92; large cell undifferentiated lung; P10' vs 'HOP-92; large cell undifferentiated lung; P0'	1.5	1.3102625575696e-7	
ENSG00000126070	homo sapiens	E-MEXP-3628	'osteosarcoma' vs 'normal'	1.5	0.00000354327596438932	
ENSG00000126070	homo sapiens	E-MTAB-9712	'RRx-1; 20 micromolar' vs 'none'	-1.4	3.03560919067333e-35	
ENSG00000126070	homo sapiens	E-GEOD-63252	'DICERER5/EX5; tunicamycin' vs 'DICERER5/EX5; control'	1.4	0.00289869940641489	
ENSG00000126070	homo sapiens	E-MEXP-567	'astrocytoma' vs 'normal'	1.4	0.0258645579589003	
ENSG00000126070	homo sapiens	E-MTAB-5982	'Digoxin; 400 nanomolar' vs 'DMSO'	1.3	1.56895304343068e-50	
ENSG00000126070	homo sapiens	E-GEOD-56677	'Human betacoronavirus 2c England-Qatar/2012; 24 hour' vs 'mock; 18 hour'	1.3	0.00000145608805738585	
ENSG00000126070	homo sapiens	E-GEOD-52567	'shRNA mediated knockdown of MBD4 and retrovirus mediated expression of RON and MSP' vs 'none'	-1.3	0.00000540232300706197	
ENSG00000126070	homo sapiens	E-GEOD-30296	'stable expression of BRCA1' vs 'empty vector'	-1.3	0.0000084871049323512	
ENSG00000126070	homo sapiens	E-GEOD-35006	'32 degree celsius; p53 status on' vs '37 degree celsius; p53 status off' in 'MCF-7'	-1.3	0.000942278628945547	
