Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000134982	homo sapiens	E-GEOD-6400	'5 microgram per milliliter dose of actinomycin D' vs '5 percent dose of mannitol'	-2.9	0.00000110250341298428	
ENSG00000134982	homo sapiens	E-GEOD-7835	'deferoxamine; 100 nanomolar echinomycin' vs 'deferoxamine; none'	-2.7	5.14674565451632e-7	
ENSG00000134982	homo sapiens	E-GEOD-68086	'colorectal carcinoma' vs 'normal'	-2.5	2.36709045648738e-21	
ENSG00000134982	homo sapiens	E-GEOD-38678	'CLS1; 6 passages' vs 'CLS1; co-culture with CAF to generate sphere'	-2.5	0.00000197451805752257	
ENSG00000134982	homo sapiens	E-GEOD-68086	'pancreatic adenocarcinoma' vs 'normal'	-2.3	1.1355113981986e-14	
ENSG00000134982	homo sapiens	E-GEOD-29598	'formalin-fixed,parafin-embedded xenograft; messageAmp Premier methodology' vs 'fresh-frozen xenograft; normal'	-2.3	8.42444908982633e-14	
ENSG00000134982	homo sapiens	E-GEOD-68086	'non-small cell lung carcinoma' vs 'normal'	-2.2	1.985100248972e-15	
ENSG00000134982	homo sapiens	E-GEOD-68086	'breast carcinoma' vs 'normal'	-2.1	1.00478404500813e-17	
ENSG00000134982	homo sapiens	E-GEOD-63776	'TCF7L2 siRNA' vs 'control'	-1.9	1.22394606972523e-158	
ENSG00000134982	homo sapiens	E-GEOD-35493	'medulloblastoma, large-cell' vs 'normal'	-1.9	0.0000282250385347369	
ENSG00000134982	homo sapiens	E-GEOD-12854	'PKA RII-beta over expression' vs 'wild type'	-1.8	0.0000248096763725156	
ENSG00000134982	homo sapiens	E-GEOD-35493	'atypical teratoid / rhabdoid tumor' vs 'normal'	-1.8	0.0000967983396370623	
ENSG00000134982	homo sapiens	E-MTAB-3619	'UV' vs 'none' in '(no brct expression) GFP control'	-1.8	0.0133015113925384	
ENSG00000134982	homo sapiens	E-MTAB-9712	'RRx-1; 20 micromolar' vs 'none'	-1.7	3.95210118762058e-60	
ENSG00000134982	homo sapiens	E-GEOD-56677	'Human betacoronavirus 2c England-Qatar/2012; 24 hour' vs 'mock; 18 hour'	1.7	8.99056273495411e-7	
ENSG00000134982	homo sapiens	E-GEOD-51258	'doxyxylcline-mediated overexpression of ERG' vs 'control'	-1.7	0.00341707722487515	
ENSG00000134982	homo sapiens	E-GEOD-22866	'glioblastoma' vs 'control'	-1.6	7.58655443051063e-8	
ENSG00000134982	homo sapiens	E-GEOD-38678	'CLF1' vs 'CLS1; co-culture with CAF to generate sphere'	-1.6	0.00000249280269383648	
ENSG00000134982	homo sapiens	E-GEOD-52194	'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal'	1.6	0.000276293088265414	
ENSG00000134982	homo sapiens	E-MTAB-3619	'UV' vs 'none' in 'brct expression'	-1.6	0.00331891512876513	
ENSG00000134982	homo sapiens	E-GEOD-3325	'metastatic prostate cancer' vs 'benign prostate tumor'	-1.6	0.0384877519285074	
ENSG00000134982	homo sapiens	E-MTAB-688	'MOF siRNA' vs 'control siRNA' in 'FOXP3 expression'	-1.5	0.0000017740312960455	
ENSG00000134982	homo sapiens	E-GEOD-66354	'atypical teratoid/rhabdoid tumor' vs 'normal'	-1.5	0.000658964271694625	
ENSG00000134982	homo sapiens	E-MEXP-567	'glioblastoma' vs 'normal'	-1.5	0.0155514470601141	
ENSG00000134982	homo sapiens	E-GEOD-61966	'501Mel; shBRG1 knockdown' vs '501Mel; control'	-1.4	3.1692385847049e-105	
