Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000168646	homo sapiens	E-GEOD-63816	'erythroleukemia; ZRSR2 shRNA' vs 'normal'	-6.5	1.76609622083711e-11	
ENSG00000168646	homo sapiens	E-GEOD-48812	'sulforaphane; prostate carcinoma' at '6 hour' vs 'sulforaphane; normal' at '6 hour'	6.4	4.69344282234016e-7	
ENSG00000168646	homo sapiens	E-GEOD-48812	'DMSO; prostate carcinoma' at '24 hour' vs 'DMSO; normal' at '24 hour'	5.5	1.84071481409426e-9	
ENSG00000168646	homo sapiens	E-GEOD-48812	'DMSO; prostate carcinoma' at '6 hour' vs 'DMSO; normal' at '6 hour'	5.5	0.0000035764081401038	
ENSG00000168646	homo sapiens	E-GEOD-55048	'tumor' vs 'paratumoral tissue'	4.9	5.27801110069149e-23	
ENSG00000168646	homo sapiens	E-MTAB-9767	"after autologous stem cell transplantation" vs "before autologous stem cell transplantation"	-4.8	0.00000261929624043943	
ENSG00000168646	homo sapiens	E-GEOD-68086	'colorectal carcinoma' vs 'normal'	-4.6	8.33293417023321e-23	
ENSG00000168646	homo sapiens	E-GEOD-48812	'sulforaphane; prostate carcinoma' at '24 hour' vs 'sulforaphane; normal' at '24 hour'	4.4	4.25867894746745e-7	
ENSG00000168646	homo sapiens	E-GEOD-12854	'PKA RI-alpha over expression' vs 'wild type'	4	0.000116633424194446	
ENSG00000168646	homo sapiens	E-GEOD-26656	'A375; Wnt-1 overexpressing; ' vs 'A375; wild type; '	3.7	1.48039077997779e-7	
ENSG00000168646	homo sapiens	E-MTAB-5537	'estrogen receptor alpha shRNA' vs 'scrambled shRNA'	3.6	2.94970694627117e-16	
ENSG00000168646	homo sapiens	E-GEOD-18105	'metastasis; tumor' vs 'metastasis; normal adjacent tissue'	3.5	0.000434917063805453	
ENSG00000168646	homo sapiens	E-GEOD-68086	'breast carcinoma' vs 'normal'	-3.4	2.72815812784637e-13	
ENSG00000168646	homo sapiens	E-GEOD-26656	'M24met; Wnt-1 overexpressing; ' vs 'M24met; wild type; '	3.4	9.72855673093844e-9	
ENSG00000168646	homo sapiens	E-GEOD-68086	'hepatobiliary carcinoma' vs 'normal'	-3.4	1.86114113535496e-7	
ENSG00000168646	homo sapiens	E-GEOD-26656	'A375; Wnt-1 overexpressing; animals were fed with cyclosporine A (50mg/kg/day)' vs 'A375; wild type; animals were fed with cyclosporine A (50mg/kg/day)'	3.4	0.0000055819239473631	
ENSG00000168646	homo sapiens	E-GEOD-18105	'non metastasis; tumor' vs 'non metastasis; normal adjacent tissue'	3.3	2.38667103291633e-11	
ENSG00000168646	homo sapiens	E-GEOD-68086	'pancreatic adenocarcinoma' vs 'normal'	-3.2	3.95899573372488e-10	
ENSG00000168646	homo sapiens	E-GEOD-18105	'metastatic recurrence; tumor' vs 'metastatic recurrence; normal adjacent tissue'	3.2	0.000443610227323982	
ENSG00000168646	homo sapiens	E-GEOD-48433	'NCI-H460; large cell lung carcinoma; P01' vs 'NCI-H460; large cell lung carcinoma; P0'	3	1.47090164578308e-8	
ENSG00000168646	homo sapiens	E-GEOD-51415	'tongue squamous cell carcinoma' vs 'normal' in 'vehicle'	-3	0.000369618325393161	
ENSG00000168646	homo sapiens	E-MTAB-4054	'Barrett’s esophagus; low-grade dysplasia' vs 'normal'	2.8	1.3731917560204e-48	
ENSG00000168646	homo sapiens	E-MTAB-4054	'esophageal adenocarcinoma' vs 'normal'	2.8	8.00879120494348e-11	
ENSG00000168646	homo sapiens	E-MTAB-7591	'SFRP2 overexpression' vs 'wild type' in 'U-2987'	-2.7	2.18329445113114e-42	
ENSG00000168646	homo sapiens	E-MTAB-3619	'UV' vs 'none' in 'brct expression'	-2.7	0.00000436485535131443	
ENSG00000168646	homo sapiens	E-MTAB-9207	'CFIm25 siRNA' vs 'scrambled siRNA' in 'wild type genotype'	-2.6	7.06593371050551e-97	
ENSG00000168646	homo sapiens	E-GEOD-95132	'primary tumor' vs 'adjacent non-tumor colon' in 'colorectal cancer'	2.5	2.87191904913188e-10	
ENSG00000168646	homo sapiens	E-GEOD-40595	'ovarian cancer' vs 'normal' in 'epithelial cell'	-2.4	0.00000280563847739597	
ENSG00000168646	homo sapiens	E-GEOD-68086	'non-small cell lung carcinoma' vs 'normal'	-2.3	1.24831871715597e-7	
ENSG00000168646	homo sapiens	E-MTAB-3619	'UV' vs 'none' in '(no brct expression) GFP control'	-2.3	0.00000219975525367143	
ENSG00000168646	homo sapiens	E-GEOD-11285	'enzastaurin' vs 'DMSO' at '18 hour'	2.2	2.22668436549992e-8	
ENSG00000168646	homo sapiens	E-MTAB-7025	'THZ1 (35 nanomolar)' vs 'none'	2.1	1.21327499050962e-36	
ENSG00000168646	homo sapiens	E-GEOD-55092	'neoplasm' vs 'normal tissue adjacent to neoplasm' in 'liver'	2.1	2.6350504846934e-14	
ENSG00000168646	homo sapiens	E-GEOD-66354	'supratentorial ependymoma' vs 'normal'	2.1	6.61430332880932e-10	
ENSG00000168646	homo sapiens	E-GEOD-32424	'tumor' vs 'normal'	2.1	0.0348211947103916	
ENSG00000168646	homo sapiens	E-GEOD-49608	'7 hour' vs '0 hour' in 'MDA-LM2'	-2	8.83493483028068e-17	
ENSG00000168646	homo sapiens	E-GEOD-76987	'colon adenocarcinoma' vs 'normal'	2	7.03427068084102e-15	
ENSG00000168646	homo sapiens	E-GEOD-63252	'DICERER5/EX5; tunicamycin' vs 'DICERER5/EX5; control'	-2	0.00202007229768806	
ENSG00000168646	homo sapiens	E-GEOD-57116	'3 h DRB 8 min 4sU' vs 'untreated'	-2	0.00843686736414461	
ENSG00000168646	homo sapiens	E-GEOD-43767	'lung adenocarcinoma' vs 'normal' in 'adult'	-1.9	2.74095918446756e-8	
ENSG00000168646	homo sapiens	E-GEOD-48433	'NCI-H460; large cell lung carcinoma; P04' vs 'NCI-H460; large cell lung carcinoma; P0'	1.9	6.89041657208123e-7	
ENSG00000168646	homo sapiens	E-GEOD-68086	'glioblastoma' vs 'normal'	-1.9	0.0000167880314540529	
ENSG00000168646	homo sapiens	E-GEOD-63252	'wild type; BREFELDIN A' vs 'wild type; control'	-1.9	0.000300056343849019	
ENSG00000168646	homo sapiens	E-GEOD-3325	'metastatic prostate cancer' vs 'benign prostate tumor'	-1.9	0.000824962106291375	
ENSG00000168646	homo sapiens	E-GEOD-63252	'DICERER5/EX5; control' vs 'wild type; control'	1.9	0.0487370225886338	
ENSG00000168646	homo sapiens	E-MTAB-9207	'CFIm25 siRNA' vs 'scrambled siRNA' in 'KRAS-G13D expression'	-1.8	8.76148407067485e-40	
ENSG00000168646	homo sapiens	E-MTAB-7033	'p63 knockdown by siRNA' vs 'scrambled siRNA' in 'L3.6pl'	1.8	8.96211130215753e-14	
