Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000166167	homo sapiens	E-GEOD-63816	'erythroleukemia; ZRSR2 shRNA' vs 'normal'	2.5	1.05049386580165e-17	
ENSG00000166167	homo sapiens	E-GEOD-63252	'wild type; BREFELDIN A' vs 'wild type; control'	2.4	0.000584737341703545	
ENSG00000166167	homo sapiens	E-GEOD-22866	'glioblastoma' vs 'control'	-2.1	7.51127983394783e-16	
ENSG00000166167	homo sapiens	E-GEOD-12513	'transfected with AGR2 siRNA; FA6' vs 'transfected with non-targeting siRNA; FA6'	-2.1	0.000369490453500351	
ENSG00000166167	homo sapiens	E-GEOD-35493	'glioblastoma' vs 'normal'	-1.8	0.0000123743691366888	
ENSG00000166167	homo sapiens	E-MTAB-7518	'cisplatin; 100 micromolar' vs 'none' in 'TMEM45A knockdown by siRNA'	-1.6	4.78827042334102e-31	
ENSG00000166167	homo sapiens	E-GEOD-6400	'5 microgram per milliliter dose of actinomycin D' vs '5 percent dose of mannitol'	-1.6	0.000050570646742263	
ENSG00000166167	homo sapiens	E-GEOD-3325	'metastatic prostate cancer' vs 'benign prostate tumor'	-1.6	0.00339098092508659	
ENSG00000166167	homo sapiens	E-GEOD-59612	'contrast-enhancing core; glioma' vs 'normal'	-1.5	1.1502117483604e-13	
ENSG00000166167	homo sapiens	E-GEOD-63252	'wild type; tunicamycin' vs 'wild type; control'	1.5	0.0116717733271915	
ENSG00000166167	homo sapiens	E-MTAB-7518	'cisplatin; 100 micromolar' vs 'none' in 'scrambled siRNA'	-1.4	8.79991713313896e-32	
ENSG00000166167	homo sapiens	E-GEOD-48433	'K-562; chronic myelogenous (blast crisis) leukemia; P04' vs 'K-562; chronic myelogenous (blast crisis) leukemia; P0'	1.4	4.96525533053537e-7	
ENSG00000166167	homo sapiens	E-GEOD-35493	'medulloblastoma, large-cell' vs 'normal'	-1.4	0.0000343425820668238	
ENSG00000166167	homo sapiens	E-MEXP-3628	'osteosarcoma' vs 'normal'	-1.4	0.000173087964692324	
ENSG00000166167	homo sapiens	E-GEOD-63252	'p53KO; tunicamycin' vs 'p53KO; control'	1.4	0.0112279206971423	
ENSG00000166167	homo sapiens	E-GEOD-63452	'24 hour' vs '0 hour' in 'MCF-10A-H1047R'	-1.3	5.78048254710341e-13	
ENSG00000166167	homo sapiens	E-GEOD-50161	'glioblastoma' vs 'normal'	-1.3	5.91854557708931e-8	
ENSG00000166167	homo sapiens	E-GEOD-68086	'pancreatic adenocarcinoma' vs 'normal'	-1.3	7.68562416744103e-7	
ENSG00000166167	homo sapiens	E-GEOD-48121	'GLV-1h153' at '24 hour' vs 'control'	1.3	0.00000649710823906178	
ENSG00000166167	homo sapiens	E-GEOD-48433	'K-562; chronic myelogenous (blast crisis) leukemia; P01' vs 'K-562; chronic myelogenous (blast crisis) leukemia; P0'	1.3	0.0000111128289560201	
ENSG00000166167	homo sapiens	E-MEXP-1482	'miR15a/miR16-1' vs 'empty vector'	-1.3	0.0000236675234861358	
ENSG00000166167	homo sapiens	E-GEOD-35493	'medulloblastoma' vs 'normal'	-1.3	0.000315835314108693	
ENSG00000166167	homo sapiens	E-MTAB-3073	'glioblastoma multiforme' vs 'normal'	-1.2	5.17499521385819e-20	
ENSG00000166167	homo sapiens	E-GEOD-6400	'1.25 micromolar dose of sapphyrin PCI-2050' vs '5 percent dose of mannitol'	-1.2	5.06006231776093e-7	
ENSG00000166167	homo sapiens	E-GEOD-35493	'atypical teratoid / rhabdoid tumor' vs 'normal'	-1.2	0.0000380087973631817	
ENSG00000166167	homo sapiens	E-MTAB-3645	'Cisplatin' vs 'None' in 'A2780; Hypoxia'	1.2	0.000116220798809791	
ENSG00000166167	homo sapiens	E-MTAB-9712	'RRx-1; 20 micromolar' vs 'none'	-1.1	6.27984500896576e-32	
ENSG00000166167	homo sapiens	E-GEOD-63452	'24 hour' vs '0 hour' in 'MCF-10A'	-1.1	0.00000536416969980263	
ENSG00000166167	homo sapiens	E-GEOD-66354	'atypical teratoid/rhabdoid tumor' vs 'normal'	-1.1	0.0000193870170973541	
ENSG00000166167	homo sapiens	E-GEOD-80832	'Zaire ebolavirus lacking the mucin domain of GP' vs 'mock' at '8 hour'	-1.1	0.0000246275077983769	
ENSG00000166167	homo sapiens	E-GEOD-6400	'2.25 micromolar dose of sapphyrin PCI-2050' vs '5 percent dose of mannitol'	-1.1	0.0000268421227507195	
ENSG00000166167	homo sapiens	E-GEOD-57116	'3 h DRB 0 min 4sU' vs 'untreated'	1.1	0.000202861769804801	
ENSG00000166167	homo sapiens	E-GEOD-63452	'12 hour' vs '0 hour' in 'MCF-10A-H1047R'	-1	1.08187522985352e-9	
ENSG00000166167	homo sapiens	E-GEOD-35525	'siRNA-HMGA1' vs 'control'	-1	2.4970121916747e-7	
ENSG00000166167	homo sapiens	E-GEOD-48433	'HOP-92; large cell undifferentiated lung; P10' vs 'HOP-92; large cell undifferentiated lung; P0'	1	0.00000221491264883375	
ENSG00000166167	homo sapiens	E-MTAB-1776	'EGR2-E356K' vs 'wild type genotype'	-1	0.0000119593817899944	
ENSG00000166167	homo sapiens	E-MTAB-7681	'Candida albicans' vs 'none' at '24 hour'	1	0.0000342519734054636	
ENSG00000166167	homo sapiens	E-MTAB-3295	'CtBP1 siRNA' vs 'Control siRNA'	1	0.000115229974779467	
ENSG00000166167	homo sapiens	E-GEOD-74000	'acetaminophen; 13 millimolar' vs 'none' in 'HepaRG; hepatitis C virus infection; liver'	1	0.000145945466333102	
ENSG00000166167	homo sapiens	E-GEOD-50161	'medulloblastoma' vs 'normal'	-1	0.00016619556318744	
ENSG00000166167	homo sapiens	E-GEOD-42407	'highly invasive' vs 'poorly invasive'	-1	0.000173075181587176	
ENSG00000166167	homo sapiens	E-GEOD-17482	'Stat5a/b knockdown' vs 'control' in 'DU145'	-1	0.000909813119444183	
ENSG00000166167	homo sapiens	E-GEOD-11941	'100 microgram per milliliter trovafloxacin' vs 'none'	1	0.00237364068584798	
ENSG00000166167	homo sapiens	E-MTAB-6204	'PTBP1/2 knock down by siRNA' vs 'scrambled siRNA' in 'cytoplasmic RNA'	-1	0.0107936291046806	
ENSG00000166167	homo sapiens	E-GEOD-63252	'DICERER5/EX5; tunicamycin' vs 'DICERER5/EX5; control'	1	0.0110463159186372	
ENSG00000166167	homo sapiens	E-GEOD-21354	'astrocytic glioma' vs 'normal'	-1	0.0376918262186492	
