Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000198668,CALM1,CALM1,homo sapiens,E-GEOD-40595,'ovarian cancer' vs 'normal' in 'stromal cell',2.8,0.00000493368394225718,
ENSG00000198668,CALM1,CALM1,homo sapiens,E-GEOD-80832,'Zaire ebolavirus lacking the mucin domain of GP' vs 'mock' at '8 hour',-2.4,0.0000117274938432688,
ENSG00000198668,CALM1,CALM1,homo sapiens,E-MTAB-7453,'PLX4720; 1 micromolar' vs 'none',-2.3,1.37111639516331e-10,
ENSG00000198668,CALM1,CALM1,homo sapiens,E-GEOD-59612,'contrast-enhancing core; glioma' vs 'normal',-2.2,5.61211059899145e-41,
ENSG00000198668,CALM1,CALM1,homo sapiens,E-GEOD-80832,'Zaire ebolavirus lacking the VP30 gene' vs 'mock' at '18 hour',-2,0.00118937980151019,
ENSG00000198668,CALM1,CALM1,homo sapiens,E-GEOD-40776,'expressing O6-methylguanine methyltransferase' vs 'control',1.9,0.00506405632637421,
ENSG00000198668,CALM1,CALM1,homo sapiens,E-GEOD-6691,'multiple myeloma' vs 'normal' in 'plasma cells',1.8,0.00122298381540865,
ENSG00000198668,CALM1,CALM1,homo sapiens,E-MTAB-7025,'JQ1 (1 micromolar) and THZ1 (35 nanomolar)' vs 'none',1.6,2.93894858128319e-57,
ENSG00000198668,CALM1,CALM1,homo sapiens,E-MTAB-7613,'human cytomegalovirus (Towne strain)' vs 'none',-1.6,3.12277549935254e-21,
ENSG00000198668,CALM1,CALM1,homo sapiens,E-GEOD-63816,'erythroleukemia; ZRSR2 shRNA' vs 'normal',-1.6,0.0000188710617384032,
ENSG00000198668,CALM1,CALM1,homo sapiens,E-MTAB-4054,'esophageal adenocarcinoma' vs 'normal',-1.4,1.29797275842215e-24,
ENSG00000198668,CALM1,CALM1,homo sapiens,E-MTAB-3073,'glioblastoma multiforme' vs 'normal',-1.4,1.06657362331169e-20,
ENSG00000198668,CALM1,CALM1,homo sapiens,E-GEOD-32424,'tumor' vs 'normal',-1.3,2.52597706606019e-13,
ENSG00000198668,CALM1,CALM1,homo sapiens,E-GEOD-38678,'CLF1' vs 'CLS1; co-culture with CAF to generate sphere',-1.3,1.56781513583878e-7,
ENSG00000198668,CALM1,CALM1,homo sapiens,E-GEOD-17385,'beta-catenin knockdown' vs 'control',-1.3,2.42156130428739e-7,
ENSG00000198668,CALM1,CALM1,homo sapiens,E-GEOD-66354,'atypical teratoid/rhabdoid tumor' vs 'normal',-1.3,0.0000135572459672276,
ENSG00000198668,CALM1,CALM1,homo sapiens,E-GEOD-40595,'ovarian cancer' vs 'normal' in 'epithelial cell',-1.3,0.000117789760503151,
ENSG00000198668,CALM1,CALM1,homo sapiens,E-GEOD-6691,'Waldenstrons macroglobulinemia' vs 'normal' in 'plasma cells',1.3,0.00661171181348565,
ENSG00000198668,CALM1,CALM1,homo sapiens,E-MTAB-5175,'doxycycline-mediated expression of dominant-negative FOS' vs 'wild type',-1.2,2.96802022931242e-76,
ENSG00000198668,CALM1,CALM1,homo sapiens,E-MTAB-3073,'oligodendroglioma' vs 'normal',-1.2,1.82653123264628e-18,
ENSG00000198668,CALM1,CALM1,homo sapiens,E-GEOD-33455,'PC3; converted to docetaxel resistant cells' vs 'PC3; none',1.2,9.23817932966832e-7,
ENSG00000198668,CALM1,CALM1,homo sapiens,E-GEOD-48433,'HT-29; adenocarcinoma of colon; P10' vs 'HT-29; adenocarcinoma of colon; P0',1.2,0.0000655000347810188,
ENSG00000198668,CALM1,CALM1,homo sapiens,E-GEOD-8961,'human metapneumovirus' at '48 hour' vs 'none' at '48 hour',-1.2,0.00118373726569021,
ENSG00000198668,CALM1,CALM1,homo sapiens,E-MEXP-1014,'70 micromolar; docosahexaenoic acid' vs 'ethanol' in 'SW620' at '12 hour',-1.2,0.00551697658715277,
ENSG00000198668,CALM1,CALM1,homo sapiens,E-MTAB-3073,'astrocytoma' vs 'normal',-1.1,4.51021173212262e-20,
ENSG00000198668,CALM1,CALM1,homo sapiens,E-GEOD-7835,'deferoxamine; HIF-1a siRNA' vs 'deferoxamine; none',-1.1,6.63180098981604e-7,
ENSG00000198668,CALM1,CALM1,homo sapiens,E-GEOD-42781,'delta-her2 overexpression' vs 'control',1.1,0.0000872209786138695,
ENSG00000198668,CALM1,CALM1,homo sapiens,E-GEOD-35493,"'medulloblastoma, large-cell' vs 'normal'",-1.1,0.00025496567824932,
ENSG00000198668,CALM1,CALM1,homo sapiens,E-GEOD-21354,'astrocytic glioma' vs 'normal',-1.1,0.00625227638211142,
