Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000100211,CBY1,CBY1,homo sapiens,E-GEOD-63816,'erythroleukemia; ZRSR2 shRNA' vs 'normal',1.8,0.0000426909135995584,
ENSG00000100211,CBY1,CBY1,homo sapiens,E-GEOD-48433,'HOP-62; adenocarcinoma of lung; P10' vs 'HOP-62; adenocarcinoma of lung; P0',1.7,4.09646770306898e-8,
ENSG00000100211,CBY1,CBY1,homo sapiens,E-GEOD-38678,'CLF1' vs 'CLS1; co-culture with CAF to generate sphere',1.6,0.00000755713263804023,
ENSG00000100211,CBY1,CBY1,homo sapiens,E-GEOD-63452,'24 hour' vs '0 hour' in 'MCF-10A',-1.6,0.000714475565067249,
ENSG00000100211,CBY1,CBY1,homo sapiens,E-MTAB-9767,"after autologous stem cell transplantation vs ""before autologous stem cell transplantation""",-1.6,0.0174534242157777,
ENSG00000100211,CBY1,CBY1,homo sapiens,E-MTAB-3021,'PRPF8' vs 'control',-1.4,4.49147009473172e-11,
ENSG00000100211,CBY1,CBY1,homo sapiens,E-GEOD-48433,'HOP-62; adenocarcinoma of lung; P04' vs 'HOP-62; adenocarcinoma of lung; P0',1.4,0.000301083296167307,
ENSG00000100211,CBY1,CBY1,homo sapiens,E-MTAB-9712,'RRx-1; 20 micromolar' vs 'none',1.3,4.63819649291223e-17,
ENSG00000100211,CBY1,CBY1,homo sapiens,E-MTAB-7025,'JQ1 (1 micromolar)' vs 'none',1.3,2.48776602469016e-15,
ENSG00000100211,CBY1,CBY1,homo sapiens,E-MTAB-7025,'THZ1 (35 nanomolar)' vs 'none',-1.3,8.39528137806772e-8,
ENSG00000100211,CBY1,CBY1,homo sapiens,E-GEOD-40595,'ovarian cancer' vs 'normal' in 'stromal cell',1.3,0.00107774569652428,
ENSG00000100211,CBY1,CBY1,homo sapiens,E-GEOD-40776,'expressing O6-methylguanine methyltransferase' vs 'control',-1.3,0.00664078477850297,
ENSG00000100211,CBY1,CBY1,homo sapiens,E-MTAB-7591,'SFRP2 overexpression' vs 'wild type' in 'U-2987',-1.2,2.06027643956061e-62,
ENSG00000100211,CBY1,CBY1,homo sapiens,E-MTAB-7681,'Candida albicans' vs 'none' at '24 hour',-1.2,0.00000166551576444559,
ENSG00000100211,CBY1,CBY1,homo sapiens,E-GEOD-52567,'shRNA mediated knockdown of MBD4 and retrovirus mediated expression of RON and MSP' vs 'none',-1.1,0.00000546059113440277,
ENSG00000100211,CBY1,CBY1,homo sapiens,E-MTAB-5627,'brefeldin A' vs 'ethanol' at '20 hour',1.1,0.000101883399748528,
ENSG00000100211,CBY1,CBY1,homo sapiens,E-GEOD-68086,'hepatobiliary carcinoma' vs 'normal',-1.1,0.00417776315432054,
ENSG00000100211,CBY1,CBY1,homo sapiens,E-GEOD-41678,'Cal51; cocultured with fibroblast CCD1112Sk' vs 'Cal51; normal',1,0.00000637653611791437,
ENSG00000100211,CBY1,CBY1,homo sapiens,E-MTAB-3672,'JQ1; 500 nanomolar' vs 'dimethyl sulfoxide',1,0.0000112253399722459,
ENSG00000100211,CBY1,CBY1,homo sapiens,E-GEOD-21750,'malignant mesothelioma; wild type' vs 'normal; wild type',-1,0.0000187094465871509,
ENSG00000100211,CBY1,CBY1,homo sapiens,E-GEOD-21668,'early mesodermal progenitors' vs 'undifferentiated cells',1,0.00006216964337767,
ENSG00000100211,CBY1,CBY1,homo sapiens,E-GEOD-68086,'colorectal carcinoma' vs 'normal',-1,0.000272289915409511,
ENSG00000100211,CBY1,CBY1,homo sapiens,E-MTAB-7453,'PLX4720; 1 micromolar' vs 'none',1,0.00362207584066194,
