Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000155011,DKK2,DKK2,homo sapiens,E-GEOD-48812,'sulforaphane; prostate carcinoma' at '24 hour' vs 'sulforaphane; normal' at '24 hour',-6.2,1.70000186370651e-8,
ENSG00000155011,DKK2,DKK2,homo sapiens,E-MTAB-4771,'astrocyte overexpressing 4 genes' vs 'glioma stem cell line',5.4,0.0013213850198921,
ENSG00000155011,DKK2,DKK2,homo sapiens,E-MTAB-4771,'astrocyte overexpressing 4 genes' vs 'glioblastoma cell line',5.2,0.0013131726230216,
ENSG00000155011,DKK2,DKK2,homo sapiens,E-GEOD-48812,'DMSO; prostate carcinoma' at '24 hour' vs 'DMSO; normal' at '24 hour',-4.6,0.00117661650215102,
ENSG00000155011,DKK2,DKK2,homo sapiens,E-GEOD-51415,'tongue squamous cell carcinoma' vs 'normal' in 'vehicle',-4.5,0.000186850762690188,
ENSG00000155011,DKK2,DKK2,homo sapiens,E-MTAB-11313,'ERO1 knockout' vs 'wild type genotype' in 'ISRIB (trans-isomer); 2.5 milligram per kilogram',4.4,0.00238409721446385,
ENSG00000155011,DKK2,DKK2,homo sapiens,E-GEOD-68086,'breast carcinoma' vs 'normal',-3.7,2.74432664081107e-8,
ENSG00000155011,DKK2,DKK2,homo sapiens,E-CURD-45,'neoplasm' vs 'normal tissue adjacent to neoplasm',3.2,0.0000131550631505575,
ENSG00000155011,DKK2,DKK2,homo sapiens,E-GEOD-68086,'pancreatic adenocarcinoma' vs 'normal',-3.1,0.0000207453701376468,
ENSG00000155011,DKK2,DKK2,homo sapiens,E-MTAB-1776,'EGR2-E356K' vs 'wild type genotype',-3.1,0.0244659954456663,
ENSG00000155011,DKK2,DKK2,homo sapiens,E-GEOD-50760,'primary tumor' vs 'normal',3,5.67610030752796e-8,
ENSG00000155011,DKK2,DKK2,homo sapiens,E-MTAB-8135,'neoplasm' vs 'normal tissue adjacent to neoplasm',2.9,0.000104358610889858,
ENSG00000155011,DKK2,DKK2,homo sapiens,E-MTAB-3645,'A2780cis' vs 'A2780' in Hypoxia; None',2.8,2.71202849821096e-8,
ENSG00000155011,DKK2,DKK2,homo sapiens,E-MTAB-3645,'A2780cis' vs 'A2780' in Hypoxia; Cisplatin',2.4,0.00000114675085501436,
ENSG00000155011,DKK2,DKK2,homo sapiens,E-MTAB-4054,'esophageal adenocarcinoma' vs 'Barrett’s esophagus; non-dysplastic',2.4,0.000341460602461735,
ENSG00000155011,DKK2,DKK2,homo sapiens,E-MTAB-4054,'Barrett’s esophagus; low-grade dysplasia' vs 'normal',-2.4,0.0101793263423398,
ENSG00000155011,DKK2,DKK2,homo sapiens,E-MTAB-3645,'A2780cis' vs 'A2780' in Normoxia; Cisplatin',2.3,1.67385521787843e-7,
ENSG00000155011,DKK2,DKK2,homo sapiens,E-MTAB-6403,'neoplasm' vs 'normal tissue adjacent to tumour',-2.3,0.0196242221846484,
ENSG00000155011,DKK2,DKK2,homo sapiens,E-GEOD-40595,'ovarian cancer' vs 'normal' in 'stromal cell',2.2,0.0108668005770453,
ENSG00000155011,DKK2,DKK2,homo sapiens,E-MTAB-6957,'non small cell lung carcinoma neoplasm' vs 'normal tissue adjacent to neoplasm',-2.1,4.55700615959105e-12,
ENSG00000155011,DKK2,DKK2,homo sapiens,E-GEOD-22139,'DAOY M14; MYC overexpression' vs 'DAOY; vector control',-2.1,0.0000481565448578788,
ENSG00000155011,DKK2,DKK2,homo sapiens,E-GEOD-61966,'501Mel; shBRG1 knockdown' vs '501Mel; control',-2,3.96029526024091e-16,
ENSG00000155011,DKK2,DKK2,homo sapiens,E-MTAB-7745,'dexamethasone; 1 micromolar' vs 'vehicle',-2,0.00243170258960298,
ENSG00000155011,DKK2,DKK2,homo sapiens,E-GEOD-19804,'primary tumor' vs 'adjacent normal tissue',-1.9,4.63567739903722e-14,
ENSG00000155011,DKK2,DKK2,homo sapiens,E-GEOD-18842,'non-small cell lung cancer' vs 'normal',-1.9,8.17629688279155e-12,
ENSG00000155011,DKK2,DKK2,homo sapiens,E-MTAB-3645,'A2780cis' vs 'A2780' in Normoxia; None',1.9,1.41211871561968e-7,
ENSG00000155011,DKK2,DKK2,homo sapiens,E-GEOD-22139,'DAOY M2.1; MYC overexpression' vs 'DAOY; vector control',-1.9,0.00014016050108929,
ENSG00000155011,DKK2,DKK2,homo sapiens,E-MTAB-5678,'squamous cell carcinoma' vs 'normal',-1.9,0.000356350237449812,
ENSG00000155011,DKK2,DKK2,homo sapiens,E-MTAB-7474,'soluble LRIG1 expression' vs 'control',1.8,0.000183106437460583,
ENSG00000155011,DKK2,DKK2,homo sapiens,E-GEOD-35493,'glioblastoma' vs 'normal',-1.8,0.00143731379656917,
ENSG00000155011,DKK2,DKK2,homo sapiens,E-MTAB-4054,'esophageal adenocarcinoma' vs 'Barrett’s esophagus; low-grade dysplasia',1.8,0.039922801857543,
ENSG00000155011,DKK2,DKK2,homo sapiens,E-GEOD-50161,'glioblastoma' vs 'normal',-1.7,0.00000988147212669114,
ENSG00000155011,DKK2,DKK2,homo sapiens,E-GEOD-81089,'tumor tissue' vs 'non-malignant tissue',-1.6,1.08667753408933e-8,
ENSG00000155011,DKK2,DKK2,homo sapiens,E-MTAB-5917,'phorbol 13-acetate 12-myristate; 100 nanomolar; interferon gamma; 1 day' vs 'none; 3 day' in 'none; none; 0 day',1.6,0.000137387701624671,
ENSG00000155011,DKK2,DKK2,homo sapiens,E-GEOD-59612,'contrast-enhancing core; glioma' vs 'normal',-1.6,0.00173961916328223,
ENSG00000155011,DKK2,DKK2,homo sapiens,E-GEOD-50627,'stem cell from lung adenocarcinoma cell' vs 'stem cell from normal lung epithelial cell',-1.5,2.87362003217674e-8,
ENSG00000155011,DKK2,DKK2,homo sapiens,E-MTAB-5917,'lipopolysaccharide and interferon gamma; 1 day' vs 'none; 3 day' in 'phorbol 13-acetate 12-myristate; 100 nanomolar',-1.5,0.00011587340894249,
ENSG00000155011,DKK2,DKK2,homo sapiens,E-GEOD-26656,'A375; Wnt-1 overexpressing; animals were fed with cyclosporine A (50mg/kg/day)' vs 'A375; wild type; animals were fed with cyclosporine A (50mg/kg/day)',1.5,0.000832724579174977,
ENSG00000155011,DKK2,DKK2,homo sapiens,E-GEOD-26656,'A375; Wnt-1 overexpressing; ' vs 'A375; wild type; ',1.5,0.00784157293066714,
