Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-37003,'anti-m6A' vs 'none',4.1,0.000022791459684994,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-49608,'7 hour' vs '0 hour' in 'MDA-LM2',-3,2.35036393707539e-27,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-57116,'3 h DRB 0 min 4sU' vs 'untreated',-2.9,1.13916452492964e-14,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-49608,'7 hour' vs '0 hour' in 'MDA-MB-231',-2.7,1.11932642662388e-13,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-6400,'5 microgram per milliliter dose of actinomycin D' vs '5 percent dose of mannitol',-2.3,0.00000128782415254168,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-MEXP-3628,'osteosarcoma' vs 'normal',-2.2,0.00102700956971426,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-21750,'malignant mesothelioma; wild type' vs 'normal; wild type',2,3.23166274057636e-7,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-57116,'3 h DRB 8 min 4sU' vs 'untreated',-2,0.00000596398896873388,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-MTAB-7518,'cisplatin; 100 micromolar' vs 'none' in 'scrambled siRNA',-1.9,3.83504090972576e-12,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-6400,'1.25 micromolar dose of sapphyrin PCI-2050' vs '5 percent dose of mannitol',-1.9,1.3493605239207e-8,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-6400,'2.25 micromolar dose of sapphyrin PCI-2050' vs '5 percent dose of mannitol',-1.9,0.00000464961298763039,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-MTAB-3619,'UV' vs 'none' in '(no brct expression) GFP control',-1.9,0.000200549404524088,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-49608,'4 hour' vs '0 hour' in 'MDA-LM2',-1.8,1.43239774759482e-29,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-49608,'2 hour' vs '0 hour' in 'MDA-MB-231',-1.8,1.12600136795786e-25,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-80832,'Zaire ebolavirus lacking the mucin domain of GP' vs 'mock' at '8 hour',-1.8,0.00000196609029519447,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-56579,'ETP-45658' vs 'DMSO',1.8,0.0000615261130703915,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-56579,'PI-103' vs 'DMSO',1.8,0.000103889540422739,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-MTAB-6214,'metastatic melanoma; non-responder' vs 'normal; not applicable',1.8,0.00100084496726152,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-MTAB-5537,'estrogen receptor alpha shRNA' vs 'scrambled shRNA',-1.7,1.17420226276697e-16,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-52707,'SKR6LR cells resistant to lapanitib' vs 'SKR6 cells with elevated HER2 expression',-1.7,0.0000679780747965555,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-MTAB-3619,'UV' vs 'none' in 'brct expression',-1.7,0.000116408923280688,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-49608,'4 hour' vs '0 hour' in 'MDA-MB-231',-1.6,1.22000974652644e-30,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-68086,'colorectal carcinoma' vs 'normal',-1.6,0.00110153158110019,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-68086,'pancreatic adenocarcinoma' vs 'normal',-1.6,0.00114925969538264,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-MTAB-4771,'astrocyte overexpressing 7 genes' vs 'glioblastoma cell line',1.5,0.000291763474197938,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-MTAB-4771,'astrocyte overexpressing 4 genes' vs 'glioblastoma cell line',1.5,0.000765596230098554,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-GEOD-22334,'cells p16-transfected' vs 'control',1.5,0.00149088658138114,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-MTAB-7745,'dexamethasone; 1 micromolar' vs 'vehicle',1.4,2.23427453827492e-21,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-MTAB-5162,'RNH1 knockout' vs 'wild type genotype',1.4,2.75019007215194e-19,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-MTAB-11476,'iROBO3 knockdown by siRNA' vs 'scrambled siRNA',1.4,1.34492392397554e-8,
ENSG00000181274,FRAT2,FRAT2,homo sapiens,E-MTAB-7518,'cisplatin; 100 micromolar' vs 'none' in 'TMEM45A knockdown by siRNA',-1.4,6.49657457390198e-8,
