Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000069966	homo sapiens	E-MTAB-9767	"after autologous stem cell transplantation" vs "before autologous stem cell transplantation"	-3.9	3.65492829243416e-8	
ENSG00000069966	homo sapiens	E-GEOD-35493	'atypical teratoid / rhabdoid tumor' vs 'normal'	-2.6	2.59710563744246e-10	
ENSG00000069966	homo sapiens	E-GEOD-35493	'glioblastoma' vs 'normal'	-2.6	0.00000161455753626716	
ENSG00000069966	homo sapiens	E-GEOD-59612	'contrast-enhancing core; glioma' vs 'normal'	-2.5	7.49816781632396e-32	
ENSG00000069966	homo sapiens	E-MEXP-3628	'osteosarcoma' vs 'normal'	-2.5	7.26421081895058e-7	
ENSG00000069966	homo sapiens	E-GEOD-66354	'atypical teratoid/rhabdoid tumor' vs 'normal'	-2.4	8.53714031055645e-12	
ENSG00000069966	homo sapiens	E-GEOD-50161	'glioblastoma' vs 'normal'	-2.1	3.71075198136419e-10	
ENSG00000069966	homo sapiens	E-GEOD-35493	'medulloblastoma, large-cell' vs 'normal'	-2.1	0.00000437333649503178	
ENSG00000069966	homo sapiens	E-GEOD-66354	'supratentorial ependymoma' vs 'normal'	-2	0.00000587723691793926	
ENSG00000069966	homo sapiens	E-MTAB-5917	'phorbol 13-acetate 12-myristate; 100 nanomolar; interleukin-4; 2 day' vs 'none; 3 day' in 'none; none; 0 day'	-2	0.0000135077375498896	
ENSG00000069966	homo sapiens	E-MTAB-5917	'phorbol 13-acetate 12-myristate; 100 nanomolar; interleukin-4 and interleukin-13; 2 day' vs 'none; none; 0 day'	-2	0.0000187103587187603	
ENSG00000069966	homo sapiens	E-GEOD-50161	'Astrocytoma, Pilocytic' vs 'normal'	-1.9	1.50116574238687e-8	
ENSG00000069966	homo sapiens	E-GEOD-66354	'pilocytic astrocytoma' vs 'normal'	-1.9	3.14718133279509e-8	
ENSG00000069966	homo sapiens	E-MTAB-4771	'astrocyte overexpressing 4 genes' vs 'glioblastoma cell line'	-1.9	0.0000228326539650247	
ENSG00000069966	homo sapiens	E-MTAB-3021	'PRPF8' vs 'control'	-1.8	1.98771540752346e-20	
ENSG00000069966	homo sapiens	E-GEOD-35493	'primitive neuroectodermal tumor' vs 'normal'	-1.8	0.000365005911811956	
ENSG00000069966	homo sapiens	E-GEOD-35493	'medulloblastoma' vs 'normal'	-1.8	0.000707456744713947	
ENSG00000069966	homo sapiens	E-GEOD-21354	'astrocytic glioma' vs 'normal'	-1.8	0.00403955675962927	
ENSG00000069966	homo sapiens	E-MTAB-5917	'phorbol 13-acetate 12-myristate; 100 nanomolar; lipopolysaccharide and interferon gamma; 1 day' vs 'none; none; 0 day'	-1.7	0.0000161098793733202	
ENSG00000069966	homo sapiens	E-GEOD-11941	'100 microgram per milliliter trovafloxacin' vs 'none'	-1.7	0.0000193748361772968	
ENSG00000069966	homo sapiens	E-GEOD-62673	'deprived of Valine' vs 'control media' in 'MCF7' at '24 hour'	-1.7	0.0000225197691482503	
ENSG00000069966	homo sapiens	E-MTAB-10317	'lapatinib; 500 nanomolar' vs 'none' in 'PPARGC1A siRNA'	-1.6	5.88291448031274e-15	
