Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000127920	homo sapiens	E-MTAB-5537	'estrogen receptor alpha shRNA' vs 'scrambled shRNA'	10	1.79995586234682e-19	
ENSG00000127920	homo sapiens	E-GEOD-63816	'erythroleukemia; ZRSR2 shRNA' vs 'normal'	-7.9	2.51309348076344e-21	
ENSG00000127920	homo sapiens	E-GEOD-27473	'estrogen receptor alpha knockdown' vs 'control'	6.8	9.0526226866809e-10	
ENSG00000127920	homo sapiens	E-MEXP-3025	'PE e/10 adherent culture' vs 'sphere culture'	-6.3	7.07900332653703e-10	
ENSG00000127920	homo sapiens	E-MTAB-4771	'astrocyte overexpressing 7 genes' vs 'glioblastoma cell line'	-5.4	0.0212629636241543	
ENSG00000127920	homo sapiens	E-GEOD-40595	'ovarian cancer' vs 'normal' in 'epithelial cell'	-5	8.10520070222426e-16	
ENSG00000127920	homo sapiens	E-MTAB-4771	'astrocyte overexpressing 7 genes' vs 'glioma stem cell line'	-5	0.0296552729029376	
ENSG00000127920	homo sapiens	E-GEOD-21750	'malignant mesothelioma; wild type' vs 'normal; wild type'	-4.5	2.96840326979117e-9	
ENSG00000127920	homo sapiens	E-GEOD-49644	'TGFb-induced epithelial-mesenchymal transition' vs 'normal' in 'NCI-H358'	4.4	6.01833866087966e-8	
ENSG00000127920	homo sapiens	E-MTAB-9209	'5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide; 0.4 millimolar' vs 'none'	4.3	2.54642135699783e-54	
ENSG00000127920	homo sapiens	E-GEOD-12854	'PKA RI-alpha over expression' vs 'wild type'	-3.8	0.0000116402473332283	
ENSG00000127920	homo sapiens	E-GEOD-31625	'non small cell lung cancer; sensitive to erlotinib' vs 'non small cell lung cancer; non-sensitive to erlotinib'	-3.7	3.89695502699533e-16	
ENSG00000127920	homo sapiens	E-MTAB-7061	'MTF2 homozygous knockout' vs 'wild type'	-3.5	0.00248937243525048	
ENSG00000127920	homo sapiens	E-MTAB-8677	'SPI1 +/-' vs 'SPI1 +/+'	3.4	1.12985015133957e-102	
