Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000162188,GNG3,GNG3,homo sapiens,E-GEOD-59612,'contrast-enhancing core; glioma' vs 'normal',-4.7,1.3867185045728e-43,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-GEOD-22866,'glioblastoma' vs 'control',-4.4,1.81981750464586e-11,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-GEOD-35493,"'medulloblastoma, large-cell' vs 'normal'",-4.1,8.80514512368561e-8,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-GEOD-35493,'glioblastoma' vs 'normal',-3.8,0.00000713013027961073,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-GEOD-35493,'atypical teratoid / rhabdoid tumor' vs 'normal',-3.5,0.00000229669682314412,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-GEOD-50161,'glioblastoma' vs 'normal',-3.3,2.75835721441464e-9,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-GEOD-35493,'medulloblastoma' vs 'normal',-3.3,0.00156375401573437,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-GEOD-21354,'astrocytic glioma' vs 'normal',-3.3,0.00184373275950426,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-GEOD-66354,'atypical teratoid/rhabdoid tumor' vs 'normal',-3.1,2.89569844204082e-7,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-MEXP-567,'glioblastoma' vs 'normal',-3,0.000449786004244696,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-GEOD-50161,'medulloblastoma' vs 'normal',-2.9,0.0000839060747301652,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-MEXP-2351,'subependymal giant cell astrocytoma' vs 'normal',-2.9,0.0187382623249769,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-MTAB-3073,'glioblastoma multiforme' vs 'normal',-2.8,1.42423791762821e-25,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-MTAB-3073,'oligodendroglioma' vs 'normal',-2.8,4.02823853453166e-20,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-GEOD-61966,'501Mel; shBRG1 knockdown' vs '501Mel; control',2.8,6.74292629010231e-17,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-GEOD-21354,'oligodendroglioma' vs 'normal',-2.7,0.0132414221914626,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-MTAB-3073,'astrocytoma' vs 'normal',-2.6,7.51825698140116e-24,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-MEXP-567,'astrocytoma' vs 'normal',-2.4,0.0437215841842322,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-GEOD-68086,'glioblastoma' vs 'normal',-2.3,0.0000498484921425806,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-GEOD-68086,'colorectal carcinoma' vs 'normal',-2.1,0.000229997654393132,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-GEOD-50760,'colorectal cancer metastatic in the liver' vs 'normal',-1.9,0.000758304784011872,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-MTAB-9712,'RRx-1; 20 micromolar' vs 'none',-1.9,0.00664811775172704,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-GEOD-44934,'5-Aza-deoxycytidine' vs 'none' in 'TC71',1.9,0.0279265014983524,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-MTAB-7613,'human cytomegalovirus (Towne strain)' vs 'none',1.8,0.00000379124503784678,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-MTAB-6957,'non small cell lung carcinoma neoplasm' vs 'normal tissue adjacent to neoplasm',1.6,0.000101155567696713,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-MTAB-6564,'RNPS1 knockdown and rescue with RNPS1 loss of function mutant' vs 'wild type phenotype',1.6,0.00946907984031465,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-GEOD-37373,'suberoylanilide hydroxamic acid 10 millimolar' vs 'none',1.5,7.79254616613088e-7,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-GEOD-66354,'pilocytic astrocytoma' vs 'normal',-1.5,0.00000230770668767511,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-GEOD-50161,"'Astrocytoma, Pilocytic' vs 'normal'",-1.5,0.00000271880313725929,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-MEXP-2280,'Pick disease' vs 'normal',-1.5,0.0114133532467533,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-GEOD-35493,'primitive neuroectodermal tumor' vs 'normal',-1.5,0.0297215909190684,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-MTAB-8677,'SPI1 -/-' vs 'SPI1 +/+',1.4,0.0000337349302445288,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-GEOD-26790,'panobinostat' vs 'none' in 'MOLT-4',1.3,0.0000104978947757641,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-GEOD-59612,'non-enhancing margin; glioma' vs 'normal',-1.2,0.00811195788446404,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-MTAB-6564,'RNPS1 knockdown' vs 'wild type phenotype',1.2,0.0297672359322163,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-GEOD-68086,'pancreatic adenocarcinoma' vs 'normal',-1.2,0.0406003998202145,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-MTAB-9207,'CFIm25 siRNA' vs 'scrambled siRNA' in 'KRAS-G13D expression',1.1,0.000750781276911514,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-GEOD-63252,'wild type; tunicamycin' vs 'wild type; control',-1.1,0.00998731549016102,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-GEOD-26966,'pituitary cancer' vs 'normal',1,0.000399162049705478,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-GEOD-63252,'wild type; BREFELDIN A' vs 'wild type; control',-1,0.00320257847173114,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-GEOD-81089,'tumor tissue' vs 'non-malignant tissue',1,0.0193759559779556,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-GEOD-63252,'p53KO; tunicamycin' vs 'p53KO; control',-1,0.0198973167366942,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-MTAB-6724,'Rickettsia conorii' vs 'mock',-1,0.0419278789861884,
ENSG00000162188,GNG3,GNG3,homo sapiens,E-GEOD-68086,'non-small cell lung carcinoma' vs 'normal',-1,0.0486704485451199,
