Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000127928,GNGT1,GNGT1,homo sapiens,E-GEOD-51415,'tongue squamous cell carcinoma' vs 'normal' in 'vehicle',6.3,3.98227296019634e-10,
ENSG00000127928,GNGT1,GNGT1,homo sapiens,E-GEOD-81089,'tumor tissue' vs 'non-malignant tissue',5.6,1.24215316936014e-18,
ENSG00000127928,GNGT1,GNGT1,homo sapiens,E-GEOD-52194,'triple-negative breast cancer; breast carcinoma' vs 'normal',4.1,0.020642543880535,
ENSG00000127928,GNGT1,GNGT1,homo sapiens,E-MTAB-6957,'non small cell lung carcinoma neoplasm' vs 'normal tissue adjacent to neoplasm',4,0.00000148908179674418,
ENSG00000127928,GNGT1,GNGT1,homo sapiens,E-MTAB-5537,'estrogen receptor alpha shRNA' vs 'scrambled shRNA',-3.7,0.0171746487660215,
ENSG00000127928,GNGT1,GNGT1,homo sapiens,E-GEOD-60052,'small cell lung carcinoma' vs 'normal',3.6,0.00029896058050292,
ENSG00000127928,GNGT1,GNGT1,homo sapiens,E-GEOD-52194,'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal',3.6,0.045610027367693,
ENSG00000127928,GNGT1,GNGT1,homo sapiens,E-MTAB-5678,'squamous cell carcinoma' vs 'normal',3.3,0.0279942032903928,
ENSG00000127928,GNGT1,GNGT1,homo sapiens,E-MTAB-4054,'esophageal adenocarcinoma' vs 'normal',3.2,0.000598856980419485,
ENSG00000127928,GNGT1,GNGT1,homo sapiens,E-MTAB-7591,'SFRP2 overexpression' vs 'wild type' in 'U-2987',2.7,0.000149031421796351,
ENSG00000127928,GNGT1,GNGT1,homo sapiens,E-GEOD-35493,"'medulloblastoma, large-cell' vs 'normal'",2.7,0.0240298232331759,
ENSG00000127928,GNGT1,GNGT1,homo sapiens,E-GEOD-21750,'malignant mesothelioma; wild type' vs 'normal; wild type',2.6,8.45699852784327e-7,
ENSG00000127928,GNGT1,GNGT1,homo sapiens,E-GEOD-76987,'colon adenocarcinoma' vs 'normal',2.2,0.0204592164348848,
ENSG00000127928,GNGT1,GNGT1,homo sapiens,E-MTAB-6403,'neoplasm' vs 'normal tissue adjacent to tumour',-2.2,0.0414556269043788,
ENSG00000127928,GNGT1,GNGT1,homo sapiens,E-MTAB-4363,'expression of estrogen receptor beta fused to C terminus tandem affinity purification tag' vs 'expression of estrogen receptor alpha fused to C terminus tandem affinity purification tag',-2.1,2.96105611121102e-8,
ENSG00000127928,GNGT1,GNGT1,homo sapiens,E-MTAB-4054,'esophageal adenocarcinoma' vs 'Barrett’s esophagus; non-dysplastic',2,0.0301402276861211,
ENSG00000127928,GNGT1,GNGT1,homo sapiens,E-GEOD-62673,'deprived of Methionine' vs 'control media' in 'MCF7' at '24 hour',1.8,0.0000843769899044335,
ENSG00000127928,GNGT1,GNGT1,homo sapiens,E-GEOD-22334,'cells p16-transfected' vs 'control',-1.7,0.00189142423236225,
ENSG00000127928,GNGT1,GNGT1,homo sapiens,E-MTAB-5175,'doxycycline-mediated expression of dominant-negative FOS' vs 'wild type',1.6,3.60933138453739e-12,
ENSG00000127928,GNGT1,GNGT1,homo sapiens,E-MTAB-4363,'expression of estrogen receptor beta fused to N terminus tandem affinity purification tag' vs 'expression of estrogen receptor alpha fused to C terminus tandem affinity purification tag',-1.6,7.15888996355861e-7,
ENSG00000127928,GNGT1,GNGT1,homo sapiens,E-TABM-282,'clear cell renal carcinoma' vs 'normal',1.5,0.0011694859549893,
ENSG00000127928,GNGT1,GNGT1,homo sapiens,E-GEOD-30516,'BT20; 24 hour' vs 'BT20; 0 hour',1.4,0.0000331803906697618,
ENSG00000127928,GNGT1,GNGT1,homo sapiens,E-GEOD-21750,'malignant mesothelioma; ERK1 knockdown' vs 'malignant mesothelioma; scrambled control',-1.3,0.0000383337314705325,
ENSG00000127928,GNGT1,GNGT1,homo sapiens,E-GEOD-62673,'deprived of Tyrosine' vs 'control media' in 'MCF7' at '24 hour',1.2,0.00445767732909351,
ENSG00000127928,GNGT1,GNGT1,homo sapiens,E-GEOD-62673,'deprived of Tryptophan' vs 'control media' in 'MCF7' at '24 hour',1.2,0.00472202517378853,
ENSG00000127928,GNGT1,GNGT1,homo sapiens,E-GEOD-52567,'shRNA mediated knockdown of MBD4 and retrovirus mediated expression of RON and MSP' vs 'none',1.1,0.000229773145448755,
ENSG00000127928,GNGT1,GNGT1,homo sapiens,E-GEOD-21750,'malignant mesothelioma; ERK5 knockdown' vs 'malignant mesothelioma; scrambled control',1,0.0000365501730477606,
ENSG00000127928,GNGT1,GNGT1,homo sapiens,E-GEOD-46493,'doxorubicin; 0.6 microgram per milliliter' vs 'none',-1,0.0000609010774672231,
ENSG00000127928,GNGT1,GNGT1,homo sapiens,E-GEOD-9350,'hypoxia' vs 'normal atmospheric oxygen pressure' in 'low metastatic cell line',1,0.00773844719026034,
