Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000167083	homo sapiens	E-GEOD-63816	'erythroleukemia; ZRSR2 shRNA' vs 'normal'	-5.8	3.02048191932054e-9	
ENSG00000167083	homo sapiens	E-MTAB-10819	'circDOCK1 overexpression' vs 'empty vector' in 'MDAMB231; not applicable'	4.2	0.0277234291246704	
ENSG00000167083	homo sapiens	E-MTAB-5678	'squamous cell carcinoma' vs 'normal'	3.7	1.51270602127265e-7	
ENSG00000167083	homo sapiens	E-GEOD-52194	'triple-negative breast cancer; breast carcinoma' vs 'normal'	2.7	0.000325684819034702	
ENSG00000167083	homo sapiens	E-MTAB-7591	'SOX2 overexpression' vs 'wild type' in 'U-2982'	2.4	0.0142174010912061	
ENSG00000167083	homo sapiens	E-GEOD-12854	'PKA RI-alpha over expression' vs 'wild type'	-2.2	0.0000994971809390461	
ENSG00000167083	homo sapiens	E-GEOD-52194	'non-triple-negative breast cancer; breast carcinoma' vs 'normal'	2.2	0.00289421273827258	
ENSG00000167083	homo sapiens	E-GEOD-12854	'PKA RII-beta over expression' vs 'wild type'	-2.1	0.0000242726361542498	
ENSG00000167083	homo sapiens	E-MTAB-5917	'phorbol 13-acetate 12-myristate; 100 nanomolar; interferon gamma; 1 day' vs 'none; 3 day' in 'none; none; 0 day'	2	0.0000138047292206552	
ENSG00000167083	homo sapiens	E-GEOD-29137	'Numb5 overexpression' vs 'control' in 'MDAMB231'	-1.9	8.30252067999574e-8	
ENSG00000167083	homo sapiens	E-GEOD-29137	'Numb6 overexpression' vs 'control' in 'MDAMB231'	-1.7	4.48737433329839e-7	
ENSG00000167083	homo sapiens	E-MTAB-3649	'Listeria monocytogenes EGD-e' vs 'none'	1.7	0.00000184947521712417	
ENSG00000167083	homo sapiens	E-MTAB-9767	"after autologous stem cell transplantation" vs "before autologous stem cell transplantation"	-1.7	0.00805858422405894	
ENSG00000167083	homo sapiens	E-MTAB-8677	'SPI1 -/-' vs 'SPI1 +/+'	-1.6	1.13838616294605e-28	
ENSG00000167083	homo sapiens	E-MTAB-7745	'dexamethasone; 1 micromolar' vs 'vehicle'	-1.6	0.00000420778333270763	
ENSG00000167083	homo sapiens	E-GEOD-46493	'doxorubicin; 0.6 microgram per milliliter' vs 'none'	1.5	1.33487785791364e-7	
ENSG00000167083	homo sapiens	E-MTAB-8135	'neoplasm' vs 'normal tissue adjacent to neoplasm'	-1.5	0.00190112120556212	
ENSG00000167083	homo sapiens	E-MTAB-5917	'phorbol 13-acetate 12-myristate; 100 nanomolar; lipopolysaccharide; 1 day' vs 'none; none; 0 day'	1.3	0.0000825011513317163	
ENSG00000167083	homo sapiens	E-MTAB-5917	'interferon gamma; 1 day' vs 'none; 3 day' in 'phorbol 13-acetate 12-myristate; 100 nanomolar'	1.3	0.000166464311548521	
ENSG00000167083	homo sapiens	E-GEOD-81089	'tumor tissue' vs 'non-malignant tissue'	-1.2	1.46421861200932e-9	
ENSG00000167083	homo sapiens	E-MTAB-6957	'non small cell lung carcinoma neoplasm' vs 'normal tissue adjacent to neoplasm'	-1.2	1.16413069123022e-7	
ENSG00000167083	homo sapiens	E-MTAB-4054	'esophageal adenocarcinoma' vs 'Barrett’s esophagus; non-dysplastic'	1.2	0.00757404964541373	
ENSG00000167083	homo sapiens	E-GEOD-68086	'non-small cell lung carcinoma' vs 'normal'	-1.1	0.00242276516752997	
ENSG00000167083	homo sapiens	E-GEOD-68086	'glioblastoma' vs 'normal'	-1.1	0.00296684173114959	
ENSG00000167083	homo sapiens	E-MTAB-11313	'ERO1 knockout' vs 'wild type genotype' in 'paclitaxel; 15 milligram per kilogram'	-1	0.00000402760728557091	
ENSG00000167083	homo sapiens	E-MTAB-5917	'phorbol 13-acetate 12-myristate; 100 nanomolar; lipopolysaccharide and interferon gamma; 1 day' vs 'none; none; 0 day'	1	0.000167173604086958	
ENSG00000167083	homo sapiens	E-GEOD-22866	'glioblastoma' vs 'control'	1	0.000281036305581663	
ENSG00000167083	homo sapiens	E-MTAB-5021	'peripheral zone of prostate' vs 'transition zone of prostate' in 'benign'	-1	0.00226719096853618	
ENSG00000167083	homo sapiens	E-GEOD-68086	'colorectal carcinoma' vs 'normal'	-1	0.00953067554372762	
ENSG00000167083	homo sapiens	E-GEOD-35493	'medulloblastoma, large-cell' vs 'normal'	1	0.0340678327322312	
