Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000180573	homo sapiens	E-MTAB-7025	'JQ1 (1 micromolar) and THZ1 (35 nanomolar)' vs 'none'	4.5	1.47089706993823e-56	
ENSG00000180573	homo sapiens	E-GEOD-42407	'highly invasive' vs 'poorly invasive'	-4.5	5.19473094013464e-8	
ENSG00000180573	homo sapiens	E-MTAB-7061	'MTF2 homozygous knockout' vs 'wild type'	-4.5	0.0000144342521804702	
ENSG00000180573	homo sapiens	E-MTAB-7061	'DNMT1 homozygous knockout' vs 'wild type'	-4.3	0.000219531862609921	
ENSG00000180573	homo sapiens	E-MTAB-5175	'doxycycline-mediated expression of dominant-negative FOS' vs 'wild type'	4	0	
ENSG00000180573	homo sapiens	E-MTAB-7061	'BRD3 homozygous knockout' vs 'wild type'	-4	0.00368184997889127	
ENSG00000180573	homo sapiens	E-MTAB-7061	'BRD9 homozygous knockout' vs 'wild type'	-4	0.00871957671293117	
ENSG00000180573	homo sapiens	E-MTAB-5982	'Digoxin; 400 nanomolar' vs 'DMSO'	3.9	4.65623957248081e-56	
ENSG00000180573	homo sapiens	E-GEOD-58252	'Snail overexpression' vs 'control'	-3.9	3.0436082154847e-7	
ENSG00000180573	homo sapiens	E-MTAB-7061	'KDM1A homozygous knockout' vs 'wild type'	-3.9	0.0141961379316242	
ENSG00000180573	homo sapiens	E-MTAB-7061	'RIPK2 homozygous knockout' vs 'wild type'	-3.9	0.0142474232211479	
ENSG00000180573	homo sapiens	E-MTAB-9209	'5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide; 0.4 millimolar' vs 'none'	3.8	1.0346509930556e-128	
ENSG00000180573	homo sapiens	E-MTAB-8480	'MEF2D-HNFNPUL1 knockdown by siRNA' vs 'luciferase siRNA'	-3.5	0	
ENSG00000180573	homo sapiens	E-MTAB-7025	'JQ1 (1 micromolar)' vs 'none'	3.5	1.03371301820233e-43	
ENSG00000180573	homo sapiens	E-GEOD-16082	'resistant to methotrexate' vs 'sensitive to methotrexate'	3.5	3.71295585760602e-8	
ENSG00000180573	homo sapiens	E-GEOD-48433	'MOLT-4; acute lymphoblastic leukemia; P04' vs 'MOLT-4; acute lymphoblastic leukemia; P0'	-3.5	1.16877472953458e-7	
ENSG00000180573	homo sapiens	E-GEOD-55541	'CA-PDGFRA + sh-p53 + H3.3-K27M' vs 'mock'	3.5	0.00673460349143045	
ENSG00000180573	homo sapiens	E-MTAB-7061	'BLVRB homozygous knockout' vs 'wild type'	-3.5	0.0223261542194186	
ENSG00000180573	homo sapiens	E-MTAB-7061	'EP300 homozygous knockout' vs 'wild type'	-3.5	0.0445219598369876	
ENSG00000180573	homo sapiens	E-MTAB-3672	'JQ1; 500 nanomolar' vs 'dimethyl sulfoxide'	3.4	2.94794799590876e-7	
ENSG00000180573	homo sapiens	E-MTAB-3672	'OTX015; 500 nanomolar' vs 'dimethyl sulfoxide'	3.3	1.90443304901565e-9	
ENSG00000180573	homo sapiens	E-GEOD-12791	'treated with 30 nM Paclitaxel' vs 'untreated'	3.3	1.82009710533573e-8	
ENSG00000180573	homo sapiens	E-GEOD-6907	'20 micromolar mercury (II) chloride' vs 'none'	-3.3	0.000038444571075865	
ENSG00000180573	homo sapiens	E-GEOD-26262	'mutant-p53 knockout' vs 'control'	3.2	0.0000182554116643936	
ENSG00000180573	homo sapiens	E-GEOD-16179	'lapatinib and foretinib' vs 'DMSO' in 'acquired resistant to lapatinib'	3.2	0.0000838315683947234	
ENSG00000180573	homo sapiens	E-MTAB-7061	'HDAC1 homozygous knockout' vs 'wild type'	-3.2	0.0303668283229661	
ENSG00000180573	homo sapiens	E-MTAB-7061	'UCHL1 homozygous knockout' vs 'wild type'	-3.2	0.0497736273687096	
ENSG00000180573	homo sapiens	E-GEOD-48433	'NCI-H460; large cell lung carcinoma; P01' vs 'NCI-H460; large cell lung carcinoma; P0'	-3	1.41280464939758e-11	
ENSG00000180573	homo sapiens	E-GEOD-12791	'treated with 30 nM Paclitaxel and 1 micromolar Targretin' vs 'untreated'	3	4.80276922316367e-9	
ENSG00000180573	homo sapiens	E-MTAB-5285	'gefitinib; 24 hour' vs 'none; 2 hour'	2.9	3.31762202496432e-157	
ENSG00000180573	homo sapiens	E-GEOD-49284	'EPZ6438; 10x lowest cytotoxic concentration' vs 'DMSO' in 'SUDHL6' at '6 day'	2.9	7.88834484272905e-10	
ENSG00000180573	homo sapiens	E-GEOD-6907	'20 micromolar arsenic oxide' vs 'none'	-2.8	0.0000420314092594736	
ENSG00000180573	homo sapiens	E-GEOD-48433	'MOLT-4; acute lymphoblastic leukemia; P01' vs 'MOLT-4; acute lymphoblastic leukemia; P0'	-2.8	0.000100103349587918	
ENSG00000180573	homo sapiens	E-GEOD-56788	'POLR2D knock-down' vs 'mock'	2.7	2.23756156973434e-51	
ENSG00000180573	homo sapiens	E-GEOD-48433	'MOLT-4; acute lymphoblastic leukemia; P10' vs 'MOLT-4; acute lymphoblastic leukemia; P0'	-2.7	2.28135180829159e-7	
ENSG00000180573	homo sapiens	E-GEOD-52194	'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal'	2.7	0.0000053624676048956	
ENSG00000180573	homo sapiens	E-GEOD-45757	'MIAPaCa-2; CI-1040; 2 millimolar' vs 'MIAPaCa-2; vehicle; '	2.7	0.0000548800788898435	
ENSG00000180573	homo sapiens	E-GEOD-22334	'cells p16-transfected' vs 'control'	-2.7	0.0000702415407595508	
ENSG00000180573	homo sapiens	E-GEOD-11151	'chromophobe renal cell carcinoma' vs 'normal' in 'adult'	-2.7	0.0036047644579227	
ENSG00000180573	homo sapiens	E-MTAB-7033	'p63 knockdown by siRNA' vs 'scrambled siRNA' in 'L3.6pl'	2.6	7.24504734775644e-51	
ENSG00000180573	homo sapiens	E-GEOD-63452	'24 hour' vs '0 hour' in 'MCF-10A-H1047R'	2.6	2.66030430917036e-15	
ENSG00000180573	homo sapiens	E-GEOD-40422	'HOXA1 expression' vs 'control'	2.6	4.46994081937504e-8	
ENSG00000180573	homo sapiens	E-MTAB-5917	'phorbol 13-acetate 12-myristate; 100 nanomolar; lipopolysaccharide and interferon gamma; 1 day' vs 'none; none; 0 day'	2.6	3.25580558316815e-7	
