Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000196866,H2AC7,H2AC7,homo sapiens,E-GEOD-52194,'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal',5.3,0.000222583771723331,
ENSG00000196866,H2AC7,H2AC7,homo sapiens,E-GEOD-33267,'SARS coronavirus Urbani ΔORF6 mutant' vs 'mock' at '54 hour',2.8,5.02643375412629e-7,
ENSG00000196866,H2AC7,H2AC7,homo sapiens,E-MTAB-8887,'neoplasm; grade 2 and grade 3' vs 'normal tissue adjacent to neoplasm' in 'hepatocellular carcinoma',2.7,0.0032100433960381,
ENSG00000196866,H2AC7,H2AC7,homo sapiens,E-MTAB-8887,"'neoplasm; grade 2, focal grade 3' vs 'normal tissue adjacent to neoplasm' in 'hepatocellular carcinoma'",2.6,0.00613715738394407,
ENSG00000196866,H2AC7,H2AC7,homo sapiens,E-GEOD-33267,'SARS coronavirus Urbani ΔORF6 mutant' vs 'mock' at '60 hour',2.5,3.15969644145468e-7,
ENSG00000196866,H2AC7,H2AC7,homo sapiens,E-GEOD-33267,'SARS coronavirus Urbani ΔORF6 mutant' vs 'mock' at '48 hour',2.5,0.00000156593922679927,
ENSG00000196866,H2AC7,H2AC7,homo sapiens,E-GEOD-33267,'SARS coronavirus Urbani ΔORF6 mutant' vs 'mock' at '72 hour',2.4,0.00000289959657038916,
ENSG00000196866,H2AC7,H2AC7,homo sapiens,E-GEOD-43767,'lung adenocarcinoma' vs 'normal' in 'adult',2.1,5.50978813392198e-9,
ENSG00000196866,H2AC7,H2AC7,homo sapiens,E-GEOD-33267,'SARS coronavirus Urbani ΔORF6 mutant' vs 'mock' at '36 hour',2,4.34887652483646e-7,
ENSG00000196866,H2AC7,H2AC7,homo sapiens,E-GEOD-38959,'breast cancer; breast' vs 'normal; breast',1.6,1.00224184487836e-8,
ENSG00000196866,H2AC7,H2AC7,homo sapiens,E-GEOD-52567,'shRNA mediated knockdown of MBD4 and retrovirus mediated expression of RON and MSP' vs 'none',1.6,8.17669696631918e-7,
ENSG00000196866,H2AC7,H2AC7,homo sapiens,E-MTAB-4363,'expression of estrogen receptor beta fused to C terminus tandem affinity purification tag' vs 'expression of estrogen receptor alpha fused to C terminus tandem affinity purification tag',1.6,0.0224907473873933,
ENSG00000196866,H2AC7,H2AC7,homo sapiens,E-GEOD-33267,'SARS coronavirus Urbani ΔORF6 mutant' vs 'mock' at '30 hour',1.5,0.0000184051708855702,
ENSG00000196866,H2AC7,H2AC7,homo sapiens,E-GEOD-22866,'glioblastoma' vs 'control',1.4,0.000187299440128204,
ENSG00000196866,H2AC7,H2AC7,homo sapiens,E-MTAB-6008,'TRPS1 siRNA 1' vs 'none' in 'B42 subclone 11',-1.4,0.0353946915149838,
ENSG00000196866,H2AC7,H2AC7,homo sapiens,E-GEOD-60052,'small cell lung carcinoma' vs 'normal',1.4,0.0386633999294366,
ENSG00000196866,H2AC7,H2AC7,homo sapiens,E-MTAB-7169,'lipid; 10 volume percent' vs 'control',-1.2,0.0055856210410222,
ENSG00000196866,H2AC7,H2AC7,homo sapiens,E-GEOD-33267,'SARS coronavirus Urbani' vs 'mock' at '36 hour',1.1,0.0000142378634994558,
ENSG00000196866,H2AC7,H2AC7,homo sapiens,E-MTAB-7737,'metformin; 1 millimolar' vs 'none' in 'MDA-MB-468',-1.1,0.000600473350758102,
ENSG00000196866,H2AC7,H2AC7,homo sapiens,E-GEOD-37571,'A/CA/04/2009 Influenza virus' at '18 hour' vs 'mock' at '18 hour',1.1,0.00114613837410091,
ENSG00000196866,H2AC7,H2AC7,homo sapiens,E-GEOD-37827,'SARS coronavirus Urbani' vs 'none' at '48 hour',1,0.0000178267889964618,
ENSG00000196866,H2AC7,H2AC7,homo sapiens,E-GEOD-42619,'E2; 10 nanomolar' vs 'control; E2 ',-1,0.0092751634781521,
ENSG00000196866,H2AC7,H2AC7,homo sapiens,E-MTAB-6008,'TRPS1 siRNA 1' vs 'scrambled control siRNA' in 'B42 subclone 11',-1,0.0182418997938159,
ENSG00000196866,H2AC7,H2AC7,homo sapiens,E-MTAB-7083,'platinum-resistant' vs 'platinum-sensitive',-1,0.0312628568934224,
