Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000246705	homo sapiens	E-GEOD-63816	'erythroleukemia; ZRSR2 shRNA' vs 'normal'	-11.7	7.81305266649076e-29	
ENSG00000246705	homo sapiens	E-GEOD-58252	'Snail overexpression' vs 'control'	-5	0.0000014289095141379	
ENSG00000246705	homo sapiens	E-MTAB-8677	'SPI1 +/-' vs 'SPI1 +/+'	-4.4	0.000406814450031094	
ENSG00000246705	homo sapiens	E-MTAB-7453	'PLX4720; 1 micromolar' vs 'none'	3.5	2.29545403987685e-15	
ENSG00000246705	homo sapiens	E-MTAB-11620	'poly I:C' vs 'mock' in 'ncgRNA'	3.4	0.0000385369546675321	
ENSG00000246705	homo sapiens	E-MTAB-5537	'estrogen receptor alpha shRNA' vs 'scrambled shRNA'	-3.3	2.20708048715057e-9	
ENSG00000246705	homo sapiens	E-MTAB-8677	'SPI1 -/-' vs 'SPI1 +/+'	-2.6	0.012726461607027	
ENSG00000246705	homo sapiens	E-GEOD-21750	'malignant mesothelioma; wild type' vs 'normal; wild type'	-2.5	0.00000307626337019876	
ENSG00000246705	homo sapiens	E-MTAB-7591	'SOX2 overexpression' vs 'wild type' in 'U-2982'	2.3	1.56759886563456e-61	
ENSG00000246705	homo sapiens	E-GEOD-56788	'POLR2D knock-down' vs 'mock'	2.2	1.10214790140001e-50	
ENSG00000246705	homo sapiens	E-MTAB-4054	'esophageal adenocarcinoma' vs 'normal'	-2.2	2.60780505113344e-27	
ENSG00000246705	homo sapiens	E-GEOD-63252	'p53KO; BREFELDIN A' vs 'p53KO; control'	-2.1	0.0341148224933329	
ENSG00000246705	homo sapiens	E-GEOD-57116	'3 h DRB 8 min 4sU' vs 'untreated'	2	0.00000523054688731636	
ENSG00000246705	homo sapiens	E-GEOD-17636	'overexpressing NF-C2' vs 'wild type'	-1.9	0.00000348092560715733	
ENSG00000246705	homo sapiens	E-GEOD-40595	'ovarian cancer' vs 'normal' in 'stromal cell'	1.9	0.0000101055219119557	
ENSG00000246705	homo sapiens	E-GEOD-46493	'doxorubicin; 0.6 microgram per milliliter' vs 'none'	1.8	1.71599931184143e-7	
ENSG00000246705	homo sapiens	E-GEOD-32424	'tumor' vs 'normal'	-1.8	0.0000597107786291194	
ENSG00000246705	homo sapiens	E-MTAB-7518	'cisplatin; 100 micromolar' vs 'none' in 'TMEM45A knockdown by siRNA'	1.7	5.79739529409941e-28	
ENSG00000246705	homo sapiens	E-GEOD-56677	'Human betacoronavirus 2c England-Qatar/2012; 24 hour' vs 'mock; 18 hour'	-1.7	8.21824791964882e-7	
ENSG00000246705	homo sapiens	E-MTAB-5285	'gefitinib; 24 hour' vs 'none; 2 hour'	1.6	1.48080627667158e-43	
ENSG00000246705	homo sapiens	E-GEOD-22030	'overexpression of HO-1' vs 'control' in '0 nanogram per milliliter; tumor necrosis factor'	1.6	0.0369603201734768	
ENSG00000246705	homo sapiens	E-GEOD-7307	'CXCL12, 75 nanomolar; 6 hour' vs 'none; 6 hour' in 'MDAMB231; adenocarcinoma; mammary gland'	1.5	0.000026362943331811	
ENSG00000246705	homo sapiens	E-GEOD-1417	'camptothecin' vs 'none'	1.5	0.0000439620408160151	
ENSG00000246705	homo sapiens	E-GEOD-45042	'Human betacoronavirus 2c EMC/2012' vs 'mock' at '24 hour'	-1.5	0.0000593991843347223	
ENSG00000246705	homo sapiens	E-GEOD-21750	'malignant mesothelioma; ERK5 knockdown' vs 'malignant mesothelioma; scrambled control'	1.5	0.000121475356546499	
ENSG00000246705	homo sapiens	E-GEOD-58365	'BCL6 RD2 mutant' vs 'wild type'	1.4	2.40486605629702e-37	
ENSG00000246705	homo sapiens	E-MTAB-9207	'KRAS-G13D expression' vs 'wild type genotype' in 'CFIm25 siRNA'	-1.4	1.2935550239969e-25	
ENSG00000246705	homo sapiens	E-MTAB-9207	'KRAS-G13D expression' vs 'wild type genotype' in 'scrambled siRNA'	-1.4	9.33538105093915e-19	
ENSG00000246705	homo sapiens	E-MTAB-7518	'cisplatin; 100 micromolar' vs 'none' in 'scrambled siRNA'	1.4	1.17992688981569e-14	
ENSG00000246705	homo sapiens	E-GEOD-56788	'PSMD13 knock-down' vs 'mock'	-1.4	2.1020951524687e-8	
ENSG00000246705	homo sapiens	E-MTAB-6564	'RNPS1 knockdown' vs 'wild type phenotype'	1.4	6.06910335775992e-8	
ENSG00000246705	homo sapiens	E-GEOD-38678	'CLF1' vs 'CLS1; co-culture with CAF to generate sphere'	1.4	2.27373512605869e-7	
ENSG00000246705	homo sapiens	E-MTAB-5678	'squamous cell carcinoma' vs 'normal'	1.4	0.0000196505607841491	
ENSG00000246705	homo sapiens	E-GEOD-63252	'wild type; BREFELDIN A' vs 'wild type; control'	-1.4	0.00102328486870556	
ENSG00000246705	homo sapiens	E-MTAB-4363	'expression of estrogen receptor beta fused to N terminus tandem affinity purification tag' vs 'expression of estrogen receptor alpha fused to C terminus tandem affinity purification tag'	-1.3	1.23526955827449e-59	
ENSG00000246705	homo sapiens	E-GEOD-48403	'after androgen ablation therapy' vs 'before androgen ablation therapy'	-1.3	4.24543994488826e-8	
ENSG00000246705	homo sapiens	E-GEOD-48433	'786-0; renal adenocarcinoma; P10' vs '786-0; renal adenocarcinoma; P0'	1.3	0.00000113089292411208	
ENSG00000246705	homo sapiens	E-MTAB-7613	'human cytomegalovirus (Towne strain)' vs 'none'	1.3	0.0000098923136145417	
ENSG00000246705	homo sapiens	E-MTAB-3619	'UV' vs 'none' in '(no brct expression) GFP control'	1.3	0.000032386847486622	
ENSG00000246705	homo sapiens	E-GEOD-48258	'CDKI-73, 0.1 micromolar and fludarabine, 10 micromolar' vs 'control'	1.3	0.0021594890241655	
ENSG00000246705	homo sapiens	E-GEOD-11151	'chromophobe renal cell carcinoma' vs 'normal' in 'adult'	1.3	0.00307731531857689	
ENSG00000246705	homo sapiens	E-MTAB-8701	'myxosarcoma' vs 'normal'	-1.3	0.00361296325912753	
ENSG00000246705	homo sapiens	E-GEOD-55048	'tumor' vs 'paratumoral tissue'	1.3	0.0210603323175815	
ENSG00000246705	homo sapiens	E-MTAB-9712	'RRx-1; 20 micromolar' vs 'none'	1.2	1.23228538929125e-29	
ENSG00000246705	homo sapiens	E-GEOD-38959	'breast cancer; breast' vs 'normal; breast'	1.2	4.64008419486653e-9	
ENSG00000246705	homo sapiens	E-MTAB-4054	'esophageal adenocarcinoma' vs 'Barrett’s esophagus; low-grade dysplasia'	-1.2	9.67129828280061e-9	
ENSG00000246705	homo sapiens	E-GEOD-14973	'valproic acid; 1 millimolar' vs 'none; '	1.2	4.34978154410463e-7	
ENSG00000246705	homo sapiens	E-GEOD-56677	'Human betacoronavirus 2c England-Qatar/2012' vs 'mock' at '18 hour'	-1.2	0.00000252312637338089	
ENSG00000246705	homo sapiens	E-GEOD-48433	'NCI-H460; large cell lung carcinoma; P10' vs 'NCI-H460; large cell lung carcinoma; P0'	1.2	0.0000050198568082849	
ENSG00000246705	homo sapiens	E-MTAB-6564	'RNPS1 knockdown and rescue with RNPS1 loss of function mutant' vs 'wild type phenotype'	1.2	0.00000545761625929624	
ENSG00000246705	homo sapiens	E-GEOD-48433	'K-562; chronic myelogenous (blast crisis) leukemia; P01' vs 'K-562; chronic myelogenous (blast crisis) leukemia; P0'	1.2	0.0000071124080048974	
ENSG00000246705	homo sapiens	E-GEOD-48433	'HCC-2998; colon carcinoma; P01' vs 'HCC-2998; colon carcinoma; P0'	1.2	0.0000926186678307795	
ENSG00000246705	homo sapiens	E-GEOD-48433	'K-562; chronic myelogenous (blast crisis) leukemia; P04' vs 'K-562; chronic myelogenous (blast crisis) leukemia; P0'	1.2	0.000159895988360826	
ENSG00000246705	homo sapiens	E-GEOD-26834	'insulin-like growth factor' at '24 hour' vs 'control' at '24 hour'	1.2	0.000384475144175801	
ENSG00000246705	homo sapiens	E-GEOD-48433	'K-562; chronic myelogenous (blast crisis) leukemia; P10' vs 'K-562; chronic myelogenous (blast crisis) leukemia; P0'	1.2	0.000773231182993459	
ENSG00000246705	homo sapiens	E-MTAB-6008	'TRPS1 siRNA 1' vs 'scrambled control siRNA' in 'B42 subclone 11'	-1.2	0.0343739489976566	
ENSG00000246705	homo sapiens	E-MTAB-7033	'p63 knockdown by siRNA' vs 'scrambled siRNA' in 'BxPC-3'	1.1	2.63542341108581e-51	
ENSG00000246705	homo sapiens	E-MTAB-6647	'hypoxia' vs 'normoxia' in 'MDAMB468; DMEM-F12 media'	-1.1	3.59964478835943e-18	
ENSG00000246705	homo sapiens	E-GEOD-21293	'invasive' vs 'non-invasive'	-1.1	5.81906918224206e-10	
ENSG00000246705	homo sapiens	E-MTAB-9848	'ZNF84 siRNA' vs 'scrambled siRNA' in 'none'	-1.1	2.17972554907613e-8	
ENSG00000246705	homo sapiens	E-GEOD-55859	'acquired TRAIL-resistance' vs 'control'	1.1	2.83815074865139e-7	
ENSG00000246705	homo sapiens	E-GEOD-48433	'NCI-H460; large cell lung carcinoma; P01' vs 'NCI-H460; large cell lung carcinoma; P0'	1.1	0.0000013532949114722	
ENSG00000246705	homo sapiens	E-GEOD-7835	'deferoxamine; 100 nanomolar echinomycin' vs 'deferoxamine; none'	1.1	0.00000245214540469734	
ENSG00000246705	homo sapiens	E-GEOD-42024	'small activating RNA; 50 nanomolar' vs 'none; '	-1.1	0.0000126938608819971	
ENSG00000246705	homo sapiens	E-GEOD-48433	'786-0; renal adenocarcinoma; P04' vs '786-0; renal adenocarcinoma; P0'	1.1	0.0000135043399445883	
ENSG00000246705	homo sapiens	E-GEOD-10879	'MCF-7 clone 5C' vs 'MCF-7'	1.1	0.0000239828913101364	
ENSG00000246705	homo sapiens	E-MTAB-5021	'peripheral zone of prostate' vs 'transition zone of prostate' in 'benign'	1.1	0.0000992288257061226	
ENSG00000246705	homo sapiens	E-GEOD-19278	'S100P overexpressing' vs 'control'	1.1	0.000305284595925776	
ENSG00000246705	homo sapiens	E-MTAB-4054	'esophageal adenocarcinoma' vs 'Barrett’s esophagus; non-dysplastic'	-1.1	0.00122513470690889	
ENSG00000246705	homo sapiens	E-GEOD-48433	'HT-29; adenocarcinoma of colon; P10' vs 'HT-29; adenocarcinoma of colon; P0'	-1.1	0.00717735229226662	
ENSG00000246705	homo sapiens	E-GEOD-48258	'fludarabine, 10 micromolar' vs 'control'	1.1	0.00751156874387325	
ENSG00000246705	homo sapiens	E-MTAB-6008	'TRPS1 siRNA 1' vs 'none' in 'B42 subclone 11'	-1.1	0.0422142727701334	
ENSG00000246705	homo sapiens	E-GEOD-68086	'pancreatic adenocarcinoma' vs 'normal'	1	5.14848277678858e-8	
ENSG00000246705	homo sapiens	E-GEOD-48433	'NCI-H460; large cell lung carcinoma; P04' vs 'NCI-H460; large cell lung carcinoma; P0'	1	0.00000629874413349445	
ENSG00000246705	homo sapiens	E-GEOD-39091	'MLN4924; 650 nanomolar' vs 'DMSO; 0.065 percent' in 'p53'	-1	0.0000420498398847657	
ENSG00000246705	homo sapiens	E-MTAB-1900	'antofine N-oxide; 50 micromolar' vs 'none' in 'MCF-7'	1	0.000164501647750743	
ENSG00000246705	homo sapiens	E-MTAB-3619	'UV' vs 'none' in 'brct expression'	1	0.000326501142860608	
ENSG00000246705	homo sapiens	E-GEOD-48433	'786-0; renal adenocarcinoma; P01' vs '786-0; renal adenocarcinoma; P0'	1	0.000479477816688132	
ENSG00000246705	homo sapiens	E-GEOD-35493	'glioblastoma' vs 'normal'	1	0.00054323447008669	
ENSG00000246705	homo sapiens	E-GEOD-48433	'NCI-H226; squamous cell lung carcinoma; P10' vs 'NCI-H226; squamous cell lung carcinoma; P0'	-1	0.000594235307301753	
ENSG00000246705	homo sapiens	E-GEOD-48433	'SW-620; adenocarcinoma of colon; P04' vs 'SW-620; adenocarcinoma of colon; P0'	1	0.000792505229393796	
ENSG00000246705	homo sapiens	E-MEXP-3496	'Enterococcus faecalis' at '5 day' vs 'none' at '5 day'	1	0.00259858221365122	
ENSG00000246705	homo sapiens	E-MTAB-5917	'phorbol 13-acetate 12-myristate; 100 nanomolar; lipopolysaccharide and interferon gamma; 1 day' vs 'none; none; 0 day'	1	0.00609630660212774	
