Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000184678	homo sapiens	E-GEOD-58252	'Snail overexpression' vs 'control'	-5.7	0.00000103770743164328	
ENSG00000184678	homo sapiens	E-MTAB-5175	'doxycycline-mediated expression of dominant-negative FOS' vs 'wild type'	4.7	1.87312939833752e-213	
ENSG00000184678	homo sapiens	E-GEOD-63816	'erythroleukemia; ZRSR2 shRNA' vs 'normal'	-4.1	4.24743943790269e-11	
ENSG00000184678	homo sapiens	E-GEOD-27473	'estrogen receptor alpha knockdown' vs 'control'	-3.9	2.87036468426202e-8	
ENSG00000184678	homo sapiens	E-GEOD-22334	'cells p16-transfected' vs 'control'	-3.8	0.000678153784937686	
ENSG00000184678	homo sapiens	E-MTAB-7061	'BRD3 homozygous knockout' vs 'wild type'	-3.8	0.00315008770391622	
ENSG00000184678	homo sapiens	E-MTAB-11620	'poly I:C' vs 'mock' in 'ncgRNA'	3.8	0.0113523590225964	
ENSG00000184678	homo sapiens	E-MTAB-7025	'JQ1 (1 micromolar) and THZ1 (35 nanomolar)' vs 'none'	3.7	1.62804128852598e-40	
ENSG00000184678	homo sapiens	E-MTAB-5102	'154; 1 micromolar' vs 'DMSO'	3.7	1.83737595412304e-8	
ENSG00000184678	homo sapiens	E-GEOD-31138	'invasive ductal carcinoma' vs 'normal'	3.7	0.0400537932918161	
ENSG00000184678	homo sapiens	E-GEOD-56788	'POLR2D knock-down' vs 'mock'	3.6	3.18705275872973e-36	
ENSG00000184678	homo sapiens	E-MTAB-5917	'phorbol 13-acetate 12-myristate; 100 nanomolar; lipopolysaccharide and interferon gamma; 1 day' vs 'none; none; 0 day'	3.6	1.72621976972809e-7	
ENSG00000184678	homo sapiens	E-MTAB-3672	'JQ1; 500 nanomolar' vs 'dimethyl sulfoxide'	3.6	2.25379513345659e-7	
ENSG00000184678	homo sapiens	E-MTAB-7061	'MTF2 homozygous knockout' vs 'wild type'	-3.6	0.000122116516519528	
ENSG00000184678	homo sapiens	E-GEOD-21422	'invasive ductal carcinoma' vs 'normal'	3.6	0.000776311995546928	
ENSG00000184678	homo sapiens	E-MTAB-7453	'PLX4720; 1 micromolar' vs 'none'	3.4	4.67242179707684e-23	
ENSG00000184678	homo sapiens	E-MTAB-5917	'phorbol 13-acetate 12-myristate; 100 nanomolar; interferon gamma; 1 day' vs 'none; 3 day' in 'none; none; 0 day'	3.4	3.22289765314341e-7	
ENSG00000184678	homo sapiens	E-MTAB-5917	'phorbol 13-acetate 12-myristate; 100 nanomolar; lipopolysaccharide; 1 day' vs 'none; none; 0 day'	3.4	6.37509980551166e-7	
ENSG00000184678	homo sapiens	E-MTAB-7061	'BRD9 homozygous knockout' vs 'wild type'	-3.3	0.0233412188909371	
ENSG00000184678	homo sapiens	E-GEOD-56788	'TGM5 knock-down' vs 'mock'	3.2	3.07933334826766e-40	
ENSG00000184678	homo sapiens	E-GEOD-7307	'CXCL12, 75 nanomolar; 6 hour' vs 'none; 6 hour' in 'MDAMB231; adenocarcinoma; mammary gland'	3.2	1.83529195564937e-7	
ENSG00000184678	homo sapiens	E-MTAB-5102	'154; 0.4 micromolar' vs 'DMSO'	3.2	2.16398574451503e-7	
ENSG00000184678	homo sapiens	E-GEOD-48812	'sulforaphane; prostate carcinoma' at '6 hour' vs 'sulforaphane; normal' at '6 hour'	3.2	0.000310091984663795	
ENSG00000184678	homo sapiens	E-MTAB-7061	'DNMT1 homozygous knockout' vs 'wild type'	-3.2	0.0025226569948931	
ENSG00000184678	homo sapiens	E-MTAB-10304	'lapatinib; 500 nanomolar; 1 day' vs 'dimethyl sulfoxide; 1 day'	3.1	1.62889510281048e-129	
ENSG00000184678	homo sapiens	E-MTAB-7061	'KDM1A homozygous knockout' vs 'wild type'	-3.1	0.0460144079324173	
ENSG00000184678	homo sapiens	E-MTAB-8480	'MEF2D-HNFNPUL1 knockdown by siRNA' vs 'luciferase siRNA'	-3	5.57722303130107e-183	
ENSG00000184678	homo sapiens	E-GEOD-49608	'7 hour' vs '0 hour' in 'MDA-MB-231'	-3	5.06787200577117e-50	
ENSG00000184678	homo sapiens	E-GEOD-74000	'acetaminophen; 13 millimolar' vs 'none' in 'HepaRG; hepatitis C virus infection; liver'	2.9	3.64286950784459e-8	
ENSG00000184678	homo sapiens	E-MTAB-5917	'phorbol 13-acetate 12-myristate; 100 nanomolar; interleukin-4; 2 day' vs 'none; 3 day' in 'none; none; 0 day'	2.9	5.61064700279035e-7	
ENSG00000184678	homo sapiens	E-MTAB-4771	'astrocyte overexpressing 4 genes' vs 'glioblastoma cell line'	-2.9	0.0000321158012146557	
ENSG00000184678	homo sapiens	E-GEOD-21422	'ductal carcinoma in situ' vs 'normal'	2.9	0.000655065114749638	
ENSG00000184678	homo sapiens	E-MTAB-7061	'BLVRB homozygous knockout' vs 'wild type'	-2.9	0.046081333958562	
ENSG00000184678	homo sapiens	E-GEOD-48433	'NCI-H460; large cell lung carcinoma; P01' vs 'NCI-H460; large cell lung carcinoma; P0'	-2.8	2.2889557721672e-10	
ENSG00000184678	homo sapiens	E-MTAB-5917	'phorbol 13-acetate 12-myristate; 100 nanomolar; interleukin-4 and interleukin-13; 2 day' vs 'none; none; 0 day'	2.8	0.00000105005081018684	
ENSG00000184678	homo sapiens	E-GEOD-55541	'CA-PDGFRA + sh-p53 + H3.3-K27M' vs 'mock'	2.8	0.00420578915328831	
ENSG00000184678	homo sapiens	E-GEOD-39091	'Daunorubicin; 100 nanomolar' vs 'DMSO; 0.065 percent' in 'GL2'	2.7	1.56744441959989e-11	
ENSG00000184678	homo sapiens	E-MTAB-3672	'OTX015; 500 nanomolar' vs 'dimethyl sulfoxide'	2.7	1.77119460986827e-9	
ENSG00000184678	homo sapiens	E-MTAB-4771	'astrocyte overexpressing 7 genes' vs 'glioblastoma cell line'	-2.7	0.000163469689559573	
ENSG00000184678	homo sapiens	E-GEOD-48812	'DMSO; prostate carcinoma' at '6 hour' vs 'DMSO; normal' at '6 hour'	2.7	0.00241699350973292	
ENSG00000184678	homo sapiens	E-MTAB-9209	'5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide; 0.4 millimolar' vs 'none'	2.6	1.16689048739693e-38	
ENSG00000184678	homo sapiens	E-GEOD-45757	'MIAPaCa-2; CI-1040; 2 millimolar' vs 'MIAPaCa-2; vehicle; '	2.6	0.000192175896340202	
ENSG00000184678	homo sapiens	E-GEOD-44408	'lymph node metastasis' vs 'unaffected lymph node' at 'metastatic at presentation'	-2.6	0.00688712546273526	
ENSG00000184678	homo sapiens	E-MTAB-7591	'SOX2 overexpression' vs 'wild type' in 'U-2982'	2.5	1.70456948453963e-71	
ENSG00000184678	homo sapiens	E-GEOD-66354	'supratentorial ependymoma' vs 'normal'	-2.5	1.40822110077936e-9	
ENSG00000184678	homo sapiens	E-GEOD-28049	'shco4 shRNA targeting Coco' vs 'control'	2.5	0.00000683422944036906	
ENSG00000184678	homo sapiens	E-GEOD-48121	'GLV-1h153' at '24 hour' vs 'control'	2.4	7.28685994580949e-8	
ENSG00000184678	homo sapiens	E-GEOD-40422	'HOXA1 expression' vs 'control'	2.4	1.38963648712388e-7	
ENSG00000184678	homo sapiens	E-GEOD-28413	'etoposide-resistant' vs 'etoposide-sensitive'	-2.4	2.72642487538641e-7	
ENSG00000184678	homo sapiens	E-MTAB-5917	'phorbol 13-acetate 12-myristate; 100 nanomolar' at '3 day' vs 'none' at '0 day' in 'none'	2.4	3.96902910559649e-7	
ENSG00000184678	homo sapiens	E-GEOD-10879	'MCF-7 clone 2A' vs 'MCF-7'	-2.4	7.90844015907834e-7	
ENSG00000184678	homo sapiens	E-GEOD-16082	'resistant to methotrexate' vs 'sensitive to methotrexate'	2.4	8.55025383642752e-7	
ENSG00000184678	homo sapiens	E-GEOD-19639	'long term estrogen deprived' vs 'control' in 'ZR75-1'	-2.4	0.00000838218261244317	
ENSG00000184678	homo sapiens	E-GEOD-52194	'triple-negative breast cancer; breast carcinoma' vs 'normal'	-2.4	0.000296723251227571	
ENSG00000184678	homo sapiens	E-GEOD-48812	'DMSO; prostate carcinoma' at '24 hour' vs 'DMSO; normal' at '24 hour'	2.4	0.00132089692849273	
ENSG00000184678	homo sapiens	E-GEOD-48812	'sulforaphane; prostate carcinoma' at '24 hour' vs 'sulforaphane; normal' at '24 hour'	2.4	0.0129499211914926	
ENSG00000184678	homo sapiens	E-GEOD-49608	'2 hour' vs '0 hour' in 'MDA-MB-231'	-2.3	1.43986477669797e-101	
ENSG00000184678	homo sapiens	E-GEOD-49608	'7 hour' vs '0 hour' in 'MDA-LM2'	-2.3	4.48190644643266e-80	
ENSG00000184678	homo sapiens	E-GEOD-52989	'8 hour' vs '0 hour'	-2.3	9.48507300670196e-9	
ENSG00000184678	homo sapiens	E-GEOD-33267	'SARS coronavirus Urbani ΔORF6 mutant' vs 'mock' at '54 hour'	2.3	0.00000107809099905397	
ENSG00000184678	homo sapiens	E-GEOD-48786	'co-cultured MDA-MB231 breast cancer cells' vs 'control'	2.3	0.0000354532720601931	
ENSG00000184678	homo sapiens	E-GEOD-45757	'Panc-10.05; CI-1040; 2 millimolar' vs 'Panc-10.05; vehicle; '	2.3	0.00130084577691371	
ENSG00000184678	homo sapiens	E-MTAB-6485	'neratinib; 250 nanomolar' vs 'none'	2.2	2.13073546026538e-48	
ENSG00000184678	homo sapiens	E-MTAB-5285	'gefitinib; 24 hour' vs 'none; 2 hour'	2.2	1.2787684847653e-17	
ENSG00000184678	homo sapiens	E-MTAB-7025	'JQ1 (1 micromolar)' vs 'none'	2.2	1.90103615642137e-14	
ENSG00000184678	homo sapiens	E-MTAB-3021	'PRPF8' vs 'control'	2.2	1.25460011811354e-10	
ENSG00000184678	homo sapiens	E-MTAB-5982	'Digoxin; 400 nanomolar' vs 'DMSO'	2.2	0.00000205233781313015	
ENSG00000184678	homo sapiens	E-GEOD-33267	'SARS coronavirus Urbani ΔORF6 mutant' vs 'mock' at '48 hour'	2.2	0.00000275965131278866	
ENSG00000184678	homo sapiens	E-GEOD-19249	'colon cancer' vs 'normal' in 'colon; Fresh-frozen tissue'	-2.2	0.0173046531828976	
ENSG00000184678	homo sapiens	E-MTAB-10304	'lapatinib; 500 nanomolar; 7 day' vs 'dimethyl sulfoxide; 1 day'	2.1	4.91764077752494e-57	
ENSG00000184678	homo sapiens	E-MTAB-7033	'p63 knockdown by siRNA' vs 'scrambled siRNA' in 'BxPC-3'	2.1	2.58858727844329e-16	
ENSG00000184678	homo sapiens	E-GEOD-29137	'Numb4 overexpression' vs 'control' in 'MCF7'	-2.1	4.35277102464529e-7	
ENSG00000184678	homo sapiens	E-GEOD-33267	'SARS coronavirus Urbani ΔORF6 mutant' vs 'mock' at '60 hour'	2.1	5.03166729379464e-7	
ENSG00000184678	homo sapiens	E-GEOD-45757	'Panc-2.03; CI-1040; 2 millimolar' vs 'Panc-2.03; vehicle; '	2.1	0.00000131301960340988	
ENSG00000184678	homo sapiens	E-GEOD-33267	'SARS coronavirus Urbani ΔORF6 mutant' vs 'mock' at '72 hour'	2.1	0.00000901033790599187	
ENSG00000184678	homo sapiens	E-GEOD-6907	'20 micromolar mercury (II) chloride' vs 'none'	-2.1	0.000301121067824321	
ENSG00000184678	homo sapiens	E-GEOD-6691	'multiple myeloma' vs 'normal' in 'plasma cells'	2.1	0.00296136294632259	
ENSG00000184678	homo sapiens	E-GEOD-19278	'S100P overexpressing' vs 'control'	2.1	0.00424351275344226	
ENSG00000184678	homo sapiens	E-GEOD-19249	'colon cancer' vs 'normal' in 'colon; Formalin-fixed paraffin-embedded tissue'	-2.1	0.0105729499993517	
ENSG00000184678	homo sapiens	E-GEOD-22600	'estrogen' vs 'placebo' in 'estrogen receptor positive'	-2.1	0.0300484646930605	
ENSG00000184678	homo sapiens	E-MTAB-6401	'high Twist expression; weak Slug expression' vs 'low Twist expression; strong Slug expression' in 'unspecified peripheral T-cell lymphoma'	-2.1	0.0439645102245749	
ENSG00000184678	homo sapiens	E-MTAB-10317	'lapatinib; 500 nanomolar' vs 'none' in 'PPARGC1A siRNA'	2	4.02493857508457e-72	
ENSG00000184678	homo sapiens	E-GEOD-42407	'highly invasive' vs 'poorly invasive'	2	1.74855241979544e-7	
ENSG00000184678	homo sapiens	E-GEOD-26966	'pituitary cancer' vs 'normal'	2	0.00000363399297086752	
ENSG00000184678	homo sapiens	E-GEOD-16179	'lapatinib and foretinib' vs 'DMSO' in 'acquired resistant to lapatinib'	2	0.000162438864807163	
ENSG00000184678	homo sapiens	E-GEOD-1417	'camptothecin' vs 'none'	2	0.000183891383192701	
ENSG00000184678	homo sapiens	E-MTAB-6401	'high Twist expression; weak Slug expression' vs 'low Twist expression; strong Slug expression' in 'angioimmunoblastic T-cell lymphoma'	-2	0.020826018235	
ENSG00000184678	homo sapiens	E-GEOD-8597	'cycloheximide; 17beta-estradiol' vs 'DMSO control; 17beta-estradiol'	1.9	7.50753450858666e-12	
ENSG00000184678	homo sapiens	E-GEOD-29406	'media with 10 mM lactic acid (pH 6.7) in hypoxia (1% pO2)' vs 'control'	1.9	3.87744882923037e-8	
ENSG00000184678	homo sapiens	E-GEOD-52989	'48 hour' vs '0 hour'	-1.9	1.68050598332275e-7	
ENSG00000184678	homo sapiens	E-GEOD-52707	'SKR6CA cells with constitutively active NF-kappaB relA/p65' vs 'SKR6 empty vector cells'	-1.9	0.00000212440680944346	
ENSG00000184678	homo sapiens	E-MTAB-3619	'UV' vs 'none' in 'brct expression'	-1.9	0.00000668099334607423	
ENSG00000184678	homo sapiens	E-GEOD-40595	'ovarian cancer' vs 'normal' in 'epithelial cell'	1.9	0.0000123621207701307	
ENSG00000184678	homo sapiens	E-MTAB-4771	'astrocyte overexpressing 4 genes' vs 'glioma stem cell line'	-1.9	0.0000280434270390567	
ENSG00000184678	homo sapiens	E-GEOD-10797	'stromal cell; invasive breast cancer' vs 'epithelial cell; invasive breast cancer'	-1.9	0.000234708766545843	
ENSG00000184678	homo sapiens	E-GEOD-6907	'10 micromolar 2,3-dimethoxy-1,4-naphthoquinone' vs 'none'	-1.9	0.000620775993253511	
ENSG00000184678	homo sapiens	E-GEOD-45758	'Panc-2.12; PD032590; 15 milligram per kilogram' vs 'Panc-2.12; vehicle; '	1.9	0.000745652579399938	
ENSG00000184678	homo sapiens	E-MEXP-3628	'osteosarcoma' vs 'normal'	-1.9	0.00702794138848471	
ENSG00000184678	homo sapiens	E-GEOD-48258	'CDKI-73, 0.1 micromolar and fludarabine, 10 micromolar' vs 'control'	1.9	0.0395754175971976	
ENSG00000184678	homo sapiens	E-MTAB-10317	'lapatinib; 500 nanomolar' vs 'none' in 'scrambled siRNA'	1.8	3.87344478803501e-61	
ENSG00000184678	homo sapiens	E-GEOD-44077	'lung carcinoma' vs 'normal'	1.8	3.8881523243459e-22	
ENSG00000184678	homo sapiens	E-MTAB-7033	'p63 knockdown by siRNA' vs 'scrambled siRNA' in 'L3.6pl'	1.8	6.49396402913284e-12	
ENSG00000184678	homo sapiens	E-GEOD-38959	'breast cancer; breast' vs 'normal; breast'	1.8	2.70260587962163e-11	
ENSG00000184678	homo sapiens	E-MEXP-1857	'ASCL1-3 siRNA knockdown' vs 'control'	1.8	6.25105550909788e-9	
ENSG00000184678	homo sapiens	E-GEOD-52989	'24 hour' vs '0 hour'	-1.8	4.92526035551506e-7	
ENSG00000184678	homo sapiens	E-GEOD-1692	'contact inhibition' vs 'asynchronous growth'	1.8	8.54942724783551e-7	
ENSG00000184678	homo sapiens	E-GEOD-52567	'shRNA mediated knockdown of MBD4 and retrovirus mediated expression of RON and MSP' vs 'none'	1.8	0.00000111558901796626	
ENSG00000184678	homo sapiens	E-GEOD-26262	'mutant-p53 knockout' vs 'control'	1.8	0.0000482957602180076	
ENSG00000184678	homo sapiens	E-GEOD-6907	'20 micromolar arsenic oxide' vs 'none'	-1.8	0.00047802533944777	
ENSG00000184678	homo sapiens	E-GEOD-71404	'NK2 (human); 30 nanogram' vs 'none' at '8 hour'	-1.8	0.00223421937756119	
