Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000276410,H2BC3,H2BC3,homo sapiens,E-MTAB-5678,'squamous cell carcinoma' vs 'normal',-8.2,5.55875589717378e-18,
ENSG00000276410,H2BC3,H2BC3,homo sapiens,E-GEOD-52194,'triple-negative breast cancer; breast carcinoma' vs 'normal',6.7,1.33731035250545e-14,
ENSG00000276410,H2BC3,H2BC3,homo sapiens,E-GEOD-52194,'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal',6.3,0.0000136364502337249,
ENSG00000276410,H2BC3,H2BC3,homo sapiens,E-MTAB-5537,'estrogen receptor alpha shRNA' vs 'scrambled shRNA',6.1,1.79988165639871e-33,
ENSG00000276410,H2BC3,H2BC3,homo sapiens,E-GEOD-63452,'24 hour' vs '0 hour' in 'MCF-10A-H1047R',5.5,6.16408131818939e-26,
ENSG00000276410,H2BC3,H2BC3,homo sapiens,E-GEOD-63452,'12 hour' vs '0 hour' in 'MCF-10A-H1047R',5.2,2.34801511122686e-25,
ENSG00000276410,H2BC3,H2BC3,homo sapiens,E-GEOD-52194,'non-triple-negative breast cancer; breast carcinoma' vs 'normal',4.9,3.04990502118454e-8,
ENSG00000276410,H2BC3,H2BC3,homo sapiens,E-GEOD-41678,'MDAMB231; cocultured with fibroblast CCD1112Sk' vs 'MDAMB231; normal',3.3,1.33706131181927e-7,
ENSG00000276410,H2BC3,H2BC3,homo sapiens,E-GEOD-54962,'50 uM Enterobactin' vs 'control',-3.2,7.98371324950593e-10,
ENSG00000276410,H2BC3,H2BC3,homo sapiens,E-GEOD-37373,'suberoylanilide hydroxamic acid 10 millimolar' vs 'none',-3.1,4.07594908966401e-8,
ENSG00000276410,H2BC3,H2BC3,homo sapiens,E-GEOD-57116,'3 h DRB 0 min 4sU' vs 'untreated',-3.1,0.010816696468575,
ENSG00000276410,H2BC3,H2BC3,homo sapiens,E-MTAB-7518,'cisplatin; 100 micromolar' vs 'none' in 'scrambled siRNA',2.9,0.000546109156036342,
ENSG00000276410,H2BC3,H2BC3,homo sapiens,E-MTAB-7518,'cisplatin; 100 micromolar' vs 'none' in 'TMEM45A knockdown by siRNA',2.8,0.000920347208233205,
ENSG00000276410,H2BC3,H2BC3,homo sapiens,E-MTAB-5175,'doxycycline-mediated expression of dominant-negative FOS' vs 'wild type',2.7,0.000460080024124277,
ENSG00000276410,H2BC3,H2BC3,homo sapiens,E-MTAB-3649,'Listeria monocytogenes EGD-e' vs 'none',-2.5,2.90570595522037e-23,
ENSG00000276410,H2BC3,H2BC3,homo sapiens,E-GEOD-47739,'oxidative stress induced senescence' vs 'control',-2.5,0.0000871935930334081,
ENSG00000276410,H2BC3,H2BC3,homo sapiens,E-GEOD-49608,'7 hour' vs '0 hour' in 'MDA-LM2',-2.4,0,
ENSG00000276410,H2BC3,H2BC3,homo sapiens,E-GEOD-63452,'6 hour' vs '0 hour' in 'MCF-10A',-2.2,0.0000529108739067614,
ENSG00000276410,H2BC3,H2BC3,homo sapiens,E-MTAB-8701,'myxosarcoma' vs 'normal',2.2,0.0131136404057805,
ENSG00000276410,H2BC3,H2BC3,homo sapiens,E-MTAB-6008,'TRPS1 siRNA 1' vs 'none' in 'B42 subclone 11',-2.2,0.0182353088902846,
ENSG00000276410,H2BC3,H2BC3,homo sapiens,E-MTAB-7808,'doxycycline' vs 'none' in 'Caki1',-2.1,6.92090324062273e-18,
ENSG00000276410,H2BC3,H2BC3,homo sapiens,E-MTAB-4363,'expression of estrogen receptor beta fused to C terminus tandem affinity purification tag' vs 'expression of estrogen receptor alpha fused to C terminus tandem affinity purification tag',2.1,1.30113018231745e-13,
ENSG00000276410,H2BC3,H2BC3,homo sapiens,E-GEOD-42872,'vemurafenib' vs 'DMSO',-2.1,4.23136041152614e-8,
ENSG00000276410,H2BC3,H2BC3,homo sapiens,E-MTAB-7474,'soluble LRIG1 expression' vs 'control',-2.1,0.000201844735005663,
ENSG00000276410,H2BC3,H2BC3,homo sapiens,E-MTAB-5690,'DMSO-mediated cell differentiation during experiment' vs 'not cultured with DMSO' in 'interferon gamma',-2,0.0000331603015116628,
ENSG00000276410,H2BC3,H2BC3,homo sapiens,E-GEOD-31812,'doxycycline induced RNA interference' vs 'control',-2,0.00229773643254765,
