Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000163041	homo sapiens	E-GEOD-63816	'erythroleukemia; ZRSR2 shRNA' vs 'normal'	-2.3	3.31905088448436e-10	
ENSG00000163041	homo sapiens	E-GEOD-52194	'non-triple-negative breast cancer; breast carcinoma' vs 'normal'	-1.8	2.06630597971534e-7	
ENSG00000163041	homo sapiens	E-MTAB-3649	'Listeria monocytogenes EGD-e' vs 'none'	-1.7	8.16533409361765e-17	
ENSG00000163041	homo sapiens	E-GEOD-63452	'12 hour' vs '0 hour' in 'MCF-10A'	-1.6	1.04794473430388e-18	
ENSG00000163041	homo sapiens	E-GEOD-63452	'24 hour' vs '0 hour' in 'MCF-10A-H1047R'	-1.6	1.40012767153406e-7	
ENSG00000163041	homo sapiens	E-GEOD-63452	'12 hour' vs '0 hour' in 'MCF-10A-H1047R'	-1.6	3.16245933805554e-7	
ENSG00000163041	homo sapiens	E-MTAB-7025	'JQ1 (1 micromolar) and THZ1 (35 nanomolar)' vs 'none'	1.5	7.68098496569624e-29	
ENSG00000163041	homo sapiens	E-GEOD-52194	'triple-negative breast cancer; breast carcinoma' vs 'normal'	-1.5	0.0000159426353526667	
ENSG00000163041	homo sapiens	E-GEOD-58966	'shGATA' vs 'control' in 'ARCaPM-DR'	1.4	5.83746866895317e-16	
ENSG00000163041	homo sapiens	E-GEOD-49608	'7 hour' vs '0 hour' in 'MDA-MB-231'	1.4	1.04226588701464e-10	
ENSG00000163041	homo sapiens	E-GEOD-32424	'tumor' vs 'normal'	-1.4	0.00000589685447880111	
ENSG00000163041	homo sapiens	E-MTAB-7518	'cisplatin; 100 micromolar' vs 'none' in 'TMEM45A knockdown by siRNA'	1.3	2.10277557052766e-13	
ENSG00000163041	homo sapiens	E-MTAB-7518	'cisplatin; 100 micromolar' vs 'none' in 'scrambled siRNA'	1.2	8.10810749217163e-15	
ENSG00000163041	homo sapiens	E-MTAB-9767	"after autologous stem cell transplantation" vs "before autologous stem cell transplantation"	1.2	0.000122150260102588	
ENSG00000163041	homo sapiens	E-MTAB-7847	'Sorafenib; 5 micromolar' vs 'vehicle' in 'HuH-7'	-1	6.39130252129474e-67	
ENSG00000163041	homo sapiens	E-GEOD-68086	'pancreatic adenocarcinoma' vs 'normal'	1	2.37379840797105e-14	
ENSG00000163041	homo sapiens	E-MTAB-6564	'RNPS1 knockdown and rescue with RNPS1 loss of function mutant' vs 'wild type phenotype'	-1	0.00000594611062174592	
ENSG00000163041	homo sapiens	E-MTAB-6564	'RNPS1 knockdown' vs 'wild type phenotype'	-1	0.0000205703823650741	
