Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000275714,H3C1,H3C1 H3C10 H3C11 H3C12 H3C2 H3C3 H3C4 H3C6 H3C7 H3C8,homo sapiens,E-GEOD-63452,'12 hour' vs '0 hour' in 'MCF-10A-H1047R',7.2,1.8534301651276e-48,
ENSG00000275714,H3C1,H3C1 H3C10 H3C11 H3C12 H3C2 H3C3 H3C4 H3C6 H3C7 H3C8,homo sapiens,E-GEOD-63452,'24 hour' vs '0 hour' in 'MCF-10A-H1047R',6.9,2.48768464503993e-54,
ENSG00000275714,H3C1,H3C1 H3C10 H3C11 H3C12 H3C2 H3C3 H3C4 H3C6 H3C7 H3C8,homo sapiens,E-GEOD-52194,'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal',6.7,3.22429428694334e-15,
ENSG00000275714,H3C1,H3C1 H3C10 H3C11 H3C12 H3C2 H3C3 H3C4 H3C6 H3C7 H3C8,homo sapiens,E-MTAB-7518,'cisplatin; 100 micromolar' vs 'none' in 'TMEM45A knockdown by siRNA',6.2,1.78016234284648e-28,
ENSG00000275714,H3C1,H3C1 H3C10 H3C11 H3C12 H3C2 H3C3 H3C4 H3C6 H3C7 H3C8,homo sapiens,E-GEOD-52194,'triple-negative breast cancer; breast carcinoma' vs 'normal',6.1,1.37273221677868e-10,
ENSG00000275714,H3C1,H3C1 H3C10 H3C11 H3C12 H3C2 H3C3 H3C4 H3C6 H3C7 H3C8,homo sapiens,E-MTAB-7518,'cisplatin; 100 micromolar' vs 'none' in 'scrambled siRNA',5.9,1.1760724703712e-20,
ENSG00000275714,H3C1,H3C1 H3C10 H3C11 H3C12 H3C2 H3C3 H3C4 H3C6 H3C7 H3C8,homo sapiens,E-MTAB-10304,'lapatinib; 500 nanomolar; 7 day' vs 'dimethyl sulfoxide; 1 day',-5.5,0.0057246136674271,
ENSG00000275714,H3C1,H3C1 H3C10 H3C11 H3C12 H3C2 H3C3 H3C4 H3C6 H3C7 H3C8,homo sapiens,E-GEOD-63452,'12 hour' vs '0 hour' in 'MCF-10A',5.1,3.19534251122124e-67,
ENSG00000275714,H3C1,H3C1 H3C10 H3C11 H3C12 H3C2 H3C3 H3C4 H3C6 H3C7 H3C8,homo sapiens,E-GEOD-52194,'non-triple-negative breast cancer; breast carcinoma' vs 'normal',4.7,2.3280340349454e-7,
ENSG00000275714,H3C1,H3C1 H3C10 H3C11 H3C12 H3C2 H3C3 H3C4 H3C6 H3C7 H3C8,homo sapiens,E-MTAB-5678,'squamous cell carcinoma' vs 'normal',-4.5,2.64920971516584e-11,
ENSG00000275714,H3C1,H3C1 H3C10 H3C11 H3C12 H3C2 H3C3 H3C4 H3C6 H3C7 H3C8,homo sapiens,E-GEOD-63452,'24 hour' vs '0 hour' in 'MCF-10A',4.2,2.9844628192044e-21,
ENSG00000275714,H3C1,H3C1 H3C10 H3C11 H3C12 H3C2 H3C3 H3C4 H3C6 H3C7 H3C8,homo sapiens,E-GEOD-48121,'GLV-1h153' at '24 hour' vs 'control',4.1,1.36582724436105e-8,
ENSG00000275714,H3C1,H3C1 H3C10 H3C11 H3C12 H3C2 H3C3 H3C4 H3C6 H3C7 H3C8,homo sapiens,E-MTAB-8677,'SPI1 -/-' vs 'SPI1 +/+',-3.2,0.0152590108587604,
ENSG00000275714,H3C1,H3C1 H3C10 H3C11 H3C12 H3C2 H3C3 H3C4 H3C6 H3C7 H3C8,homo sapiens,E-MTAB-7061,'BRD2 homozygous knockout' vs 'wild type',3,0.00219269918946037,
ENSG00000275714,H3C1,H3C1 H3C10 H3C11 H3C12 H3C2 H3C3 H3C4 H3C6 H3C7 H3C8,homo sapiens,E-MTAB-2382,'anacardic acid; 100 micromolar' vs 'none',2.9,0.0107412957392738,
ENSG00000275714,H3C1,H3C1 H3C10 H3C11 H3C12 H3C2 H3C3 H3C4 H3C6 H3C7 H3C8,homo sapiens,E-GEOD-49608,'7 hour' vs '0 hour' in 'MDA-LM2',-2.8,9.65201584280056e-107,
ENSG00000275714,H3C1,H3C1 H3C10 H3C11 H3C12 H3C2 H3C3 H3C4 H3C6 H3C7 H3C8,homo sapiens,E-GEOD-41678,'MDAMB231; cocultured with fibroblast CCD1112Sk' vs 'MDAMB231; normal',2.6,2.36960827756681e-7,
ENSG00000275714,H3C1,H3C1 H3C10 H3C11 H3C12 H3C2 H3C3 H3C4 H3C6 H3C7 H3C8,homo sapiens,E-GEOD-48121,'GLV-1h153' at '6 hour' vs 'control',2.4,2.6674453628339e-7,
ENSG00000275714,H3C1,H3C1 H3C10 H3C11 H3C12 H3C2 H3C3 H3C4 H3C6 H3C7 H3C8,homo sapiens,E-GEOD-65485,'neoplasm' vs 'normal tissue adjacent to neoplasm',2.4,0.0420827566552529,
ENSG00000275714,H3C1,H3C1 H3C10 H3C11 H3C12 H3C2 H3C3 H3C4 H3C6 H3C7 H3C8,homo sapiens,E-MTAB-7061,'EIF2AK3 homozygous knockout' vs 'wild type',2.4,0.045051349605607,
ENSG00000275714,H3C1,H3C1 H3C10 H3C11 H3C12 H3C2 H3C3 H3C4 H3C6 H3C7 H3C8,homo sapiens,E-GEOD-49608,'7 hour' vs '0 hour' in 'MDA-MB-231',-2.2,4.22059231116199e-55,
