Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000117153	homo sapiens	E-GEOD-31138	'invasive ductal carcinoma' vs 'normal'	2.9	0.0270947367592256	
ENSG00000117153	homo sapiens	E-GEOD-7835	'deferoxamine; 100 nanomolar echinomycin' vs 'deferoxamine; none'	-2.3	0.00000299043503353211	
ENSG00000117153	homo sapiens	E-MTAB-3619	'UV' vs 'none' in '(no brct expression) GFP control'	-2.1	3.40981544685543e-7	
ENSG00000117153	homo sapiens	E-MTAB-3619	'UV' vs 'none' in 'brct expression'	-1.9	0.00000335585416980673	
ENSG00000117153	homo sapiens	E-GEOD-63252	'wild type; tunicamycin' vs 'wild type; control'	1.9	0.0101284152537172	
ENSG00000117153	homo sapiens	E-GEOD-7307	'CXCL12, 75 nanomolar; 6 hour' vs 'none; 6 hour' in 'MDAMB231; adenocarcinoma; mammary gland'	1.8	2.42697319272391e-8	
ENSG00000117153	homo sapiens	E-GEOD-63252	'p53KO; tunicamycin' vs 'p53KO; control'	1.8	0.00537599271635157	
ENSG00000117153	homo sapiens	E-GEOD-8717	'herpes simplex virus G207' vs 'none'	-1.7	0.000393814342312379	
ENSG00000117153	homo sapiens	E-GEOD-16179	'lapatinib and foretinib' vs 'DMSO' in 'acquired resistant to lapatinib'	1.7	0.00519286692990873	
ENSG00000117153	homo sapiens	E-GEOD-63452	'24 hour' vs '0 hour' in 'MCF-10A'	-1.6	8.92297005094631e-12	
ENSG00000117153	homo sapiens	E-GEOD-40595	'ovarian cancer' vs 'normal' in 'stromal cell'	1.6	0.00138449255498258	
ENSG00000117153	homo sapiens	E-GEOD-48433	'MOLT-4; acute lymphoblastic leukemia; P10' vs 'MOLT-4; acute lymphoblastic leukemia; P0'	1.5	2.16650954418369e-7	
ENSG00000117153	homo sapiens	E-GEOD-48433	'MOLT-4; acute lymphoblastic leukemia; P04' vs 'MOLT-4; acute lymphoblastic leukemia; P0'	1.5	4.05264692136849e-7	
