Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000131196,NFATC1,NFATC1,homo sapiens,E-GEOD-51415,'tongue squamous cell carcinoma' vs 'normal' in 'vehicle',-6.6,4.51665951555767e-42,
ENSG00000131196,NFATC1,NFATC1,homo sapiens,E-MTAB-5537,'estrogen receptor alpha shRNA' vs 'scrambled shRNA',-3.9,6.4742026789058e-10,
ENSG00000131196,NFATC1,NFATC1,homo sapiens,E-GEOD-52194,'non-triple-negative breast cancer; breast carcinoma' vs 'normal',-3.8,3.60504244575309e-21,
ENSG00000131196,NFATC1,NFATC1,homo sapiens,E-GEOD-40776,'expressing O6-methylguanine methyltransferase' vs 'control',-3.7,0.000869972989189039,
ENSG00000131196,NFATC1,NFATC1,homo sapiens,E-GEOD-32424,'tumor' vs 'normal',3.2,0.00169637387338575,
ENSG00000131196,NFATC1,NFATC1,homo sapiens,E-MTAB-8480,'MEF2D-HNFNPUL1 knockdown by siRNA' vs 'luciferase siRNA',3,0,
ENSG00000131196,NFATC1,NFATC1,homo sapiens,E-MTAB-7884,'DGAT2 homozygous knockout' vs 'wild type genotype' in 'fatty acids (200 micromolar)',-3,0.00613479326182924,
ENSG00000131196,NFATC1,NFATC1,homo sapiens,E-GEOD-52194,'triple-negative breast cancer; breast carcinoma' vs 'normal',-2.9,9.81792988814112e-15,
ENSG00000131196,NFATC1,NFATC1,homo sapiens,E-GEOD-21750,'malignant mesothelioma; wild type' vs 'normal; wild type',2.7,2.75507008439087e-8,
ENSG00000131196,NFATC1,NFATC1,homo sapiens,E-MTAB-3645,'A2780cis' vs 'A2780' in Normoxia; None',2.6,1.20990200580472e-7,
ENSG00000131196,NFATC1,NFATC1,homo sapiens,E-GEOD-52942,'mutated IDH1' vs 'wild type',-2.6,0.0249335390042327,
ENSG00000131196,NFATC1,NFATC1,homo sapiens,E-GEOD-48433,'MOLT-4; acute lymphoblastic leukemia; P10' vs 'MOLT-4; acute lymphoblastic leukemia; P0',2.5,1.7783954948256e-8,
ENSG00000131196,NFATC1,NFATC1,homo sapiens,E-GEOD-48433,'MOLT-4; acute lymphoblastic leukemia; P04' vs 'MOLT-4; acute lymphoblastic leukemia; P0',2.4,2.41544066674034e-8,
ENSG00000131196,NFATC1,NFATC1,homo sapiens,E-GEOD-48433,'MOLT-4; acute lymphoblastic leukemia; P01' vs 'MOLT-4; acute lymphoblastic leukemia; P0',2.4,2.56806876253879e-7,
ENSG00000131196,NFATC1,NFATC1,homo sapiens,E-GEOD-66354,'supratentorial ependymoma' vs 'normal',2.4,3.79333640299508e-7,
ENSG00000131196,NFATC1,NFATC1,homo sapiens,E-MTAB-4054,'esophageal adenocarcinoma' vs 'normal',2.3,1.1725876920383e-10,
ENSG00000131196,NFATC1,NFATC1,homo sapiens,E-MTAB-3645,'A2780cis' vs 'A2780' in Hypoxia; None',2.2,1.16772425784628e-7,
ENSG00000131196,NFATC1,NFATC1,homo sapiens,E-MTAB-3645,'A2780cis' vs 'A2780' in Hypoxia; Cisplatin',2.2,0.00000205853203217368,
ENSG00000131196,NFATC1,NFATC1,homo sapiens,E-MTAB-3645,'A2780cis' vs 'A2780' in Normoxia; Cisplatin',2.2,0.00000823699957428049,
ENSG00000131196,NFATC1,NFATC1,homo sapiens,E-GEOD-52194,'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal',-2.1,0.00588584263500417,
ENSG00000131196,NFATC1,NFATC1,homo sapiens,E-MTAB-7884,'DGAT2 homozygous knockout' vs 'wild type genotype' in 'fatty acids (800 micromolar) and fructose (5.5 millimolar)',-2,5.31285178791365e-8,
ENSG00000131196,NFATC1,NFATC1,homo sapiens,E-MTAB-7025,'JQ1 (1 micromolar) and THZ1 (35 nanomolar)' vs 'none',-1.9,2.13495253742409e-15,
ENSG00000131196,NFATC1,NFATC1,homo sapiens,E-GEOD-21668,'early mesodermal progenitors' vs 'undifferentiated cells',1.9,0.0000059026378851359,
ENSG00000131196,NFATC1,NFATC1,homo sapiens,E-MTAB-11313,'ERO1 knockout' vs 'wild type genotype' in 'vehicle',-1.9,0.0000815355414470234,
ENSG00000131196,NFATC1,NFATC1,homo sapiens,E-MTAB-7591,'SOX2 overexpression' vs 'wild type' in 'U-2982',1.8,1.70567397994989e-27,
ENSG00000131196,NFATC1,NFATC1,homo sapiens,E-MTAB-4054,'Barrett’s esophagus; low-grade dysplasia' vs 'normal',1.8,3.19774218270571e-7,
ENSG00000131196,NFATC1,NFATC1,homo sapiens,E-GEOD-48433,'K-562; chronic myelogenous (blast crisis) leukemia; P10' vs 'K-562; chronic myelogenous (blast crisis) leukemia; P0',1.8,0.00000851328643772963,
ENSG00000131196,NFATC1,NFATC1,homo sapiens,E-MTAB-8677,'SPI1 -/-' vs 'SPI1 +/+',-1.7,2.25603756224244e-123,
