Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000132915	homo sapiens	E-GEOD-68086	'breast carcinoma' vs 'normal'	-4.3	9.37471484375072e-29	
ENSG00000132915	homo sapiens	E-GEOD-32424	'tumor' vs 'normal'	-4	0.0000201858840479392	
ENSG00000132915	homo sapiens	E-GEOD-52194	'triple-negative breast cancer; breast carcinoma' vs 'normal'	3.9	0.00114276378606806	
ENSG00000132915	homo sapiens	E-MTAB-10819	'circDOCK1 overexpression' vs 'empty vector' in 'MDAMB231; not applicable'	-3.8	0.0281773423902621	
ENSG00000132915	homo sapiens	E-GEOD-76987	'colon adenocarcinoma' vs 'normal'	-3.6	6.48148473103928e-19	
ENSG00000132915	homo sapiens	E-GEOD-68086	'pancreatic adenocarcinoma' vs 'normal'	-3.6	8.10389149623974e-15	
ENSG00000132915	homo sapiens	E-MTAB-10317	'lapatinib; 500 nanomolar' vs 'none' in 'PPARGC1A siRNA'	3.5	0.000135559580253062	
ENSG00000132915	homo sapiens	E-GEOD-68086	'colorectal carcinoma' vs 'normal'	-3.4	2.87873512829696e-15	
ENSG00000132915	homo sapiens	E-GEOD-57116	'3 h DRB 8 min 4sU' vs 'untreated'	-3.4	0.0000458376503793004	
ENSG00000132915	homo sapiens	E-GEOD-68086	'non-small cell lung carcinoma' vs 'normal'	-3.1	9.20619103661554e-16	
ENSG00000132915	homo sapiens	E-MTAB-1776	'EGR2-E356K' vs 'wild type genotype'	-3	0.0020230112997677	
ENSG00000132915	homo sapiens	E-GEOD-52194	'non-triple-negative breast cancer; breast carcinoma' vs 'normal'	2.9	0.00423763729780329	
ENSG00000132915	homo sapiens	E-GEOD-52194	'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal'	2.9	0.0198694442427001	
ENSG00000132915	homo sapiens	E-MTAB-7591	'SFRP2 overexpression' vs 'wild type' in 'U-2987'	2.7	4.21054922432983e-8	
ENSG00000132915	homo sapiens	E-MTAB-10317	'lapatinib; 500 nanomolar' vs 'none' in 'scrambled siRNA'	2.7	0.0064688201444257	
ENSG00000132915	homo sapiens	E-GEOD-50760	'colorectal cancer metastatic in the liver' vs 'normal'	-2.6	0.00000957547982853449	
ENSG00000132915	homo sapiens	E-GEOD-68086	'hepatobiliary carcinoma' vs 'normal'	-2.5	0.0000100530281865255	
ENSG00000132915	homo sapiens	E-GEOD-59612	'contrast-enhancing core; glioma' vs 'normal'	2.4	4.54161028021225e-7	
ENSG00000132915	homo sapiens	E-GEOD-50760	'primary tumor' vs 'normal'	-2.3	0.0000010038768514851	
ENSG00000132915	homo sapiens	E-MTAB-4054	'Barrett’s esophagus; low-grade dysplasia' vs 'normal'	-2.3	0.0000133411334791835	
ENSG00000132915	homo sapiens	E-GEOD-64912	'papillary thyroid carcinoma' vs 'normal'	2.3	0.0298574355313934	
ENSG00000132915	homo sapiens	E-GEOD-68086	'glioblastoma' vs 'normal'	-2	0.00000368441897050178	
ENSG00000132915	homo sapiens	E-MTAB-3021	'PRPF8' vs 'control'	-2	0.0000168173187677674	
ENSG00000132915	homo sapiens	E-MTAB-4054	'esophageal adenocarcinoma' vs 'normal'	-1.9	0.0000062392548878351	
ENSG00000132915	homo sapiens	E-GEOD-57116	'3 h DRB 0 min 4sU' vs 'untreated'	-1.9	0.0125948391627907	
ENSG00000132915	homo sapiens	E-MTAB-7453	'PLX4720; 1 micromolar' vs 'none'	1.8	0.000192136573640724	
ENSG00000132915	homo sapiens	E-GEOD-18105	'metastatic recurrence; tumor' vs 'metastatic recurrence; normal adjacent tissue'	-1.8	0.00030426817659554	
