Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000133256,PDE6B,PDE6B,homo sapiens,E-MTAB-7591,'SOX2 overexpression' vs 'wild type' in 'U-2982',4.6,1.09716729302232e-9,
ENSG00000133256,PDE6B,PDE6B,homo sapiens,E-MTAB-9767,"after autologous stem cell transplantation vs ""before autologous stem cell transplantation""",-3.5,2.48019775725883e-8,
ENSG00000133256,PDE6B,PDE6B,homo sapiens,E-GEOD-52194,'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal',-2.5,0.0000429773802784461,
ENSG00000133256,PDE6B,PDE6B,homo sapiens,E-MTAB-7613,'human cytomegalovirus (Towne strain)' vs 'none',2.4,0.00338716351127854,
ENSG00000133256,PDE6B,PDE6B,homo sapiens,E-CURD-45,'neoplasm' vs 'normal tissue adjacent to neoplasm',2.1,0.00307220792230075,
ENSG00000133256,PDE6B,PDE6B,homo sapiens,E-GEOD-52194,'triple-negative breast cancer; breast carcinoma' vs 'normal',-1.8,0.000205268518806288,
ENSG00000133256,PDE6B,PDE6B,homo sapiens,E-GEOD-63816,'erythroleukemia; ZRSR2 shRNA' vs 'normal',-1.8,0.0457581457238199,
ENSG00000133256,PDE6B,PDE6B,homo sapiens,E-GEOD-57116,'3 h DRB 8 min 4sU' vs 'untreated',1.7,0.00108887928221855,
ENSG00000133256,PDE6B,PDE6B,homo sapiens,E-GEOD-60052,'small cell lung carcinoma' vs 'normal',1.7,0.00850179807543987,
ENSG00000133256,PDE6B,PDE6B,homo sapiens,E-GEOD-59612,'contrast-enhancing core; glioma' vs 'normal',-1.6,2.62195956400931e-10,
ENSG00000133256,PDE6B,PDE6B,homo sapiens,E-MTAB-5982,'Digoxin; 400 nanomolar' vs 'DMSO',-1.6,0.0269471660051897,
ENSG00000133256,PDE6B,PDE6B,homo sapiens,E-MTAB-7591,'SFRP2 overexpression' vs 'wild type' in 'U-2987',-1.4,2.01537701498053e-9,
ENSG00000133256,PDE6B,PDE6B,homo sapiens,E-GEOD-68086,'non-small cell lung carcinoma' vs 'normal',-1.4,0.00000174587386245128,
ENSG00000133256,PDE6B,PDE6B,homo sapiens,E-MTAB-567,'tumor tissue' vs 'adjacent non-tumor tissue',-1.4,0.00000450001794699101,
ENSG00000133256,PDE6B,PDE6B,homo sapiens,E-MTAB-7453,'PLX4720; 1 micromolar' vs 'none',1.4,0.0300506583026873,
ENSG00000133256,PDE6B,PDE6B,homo sapiens,E-GEOD-48433,'CCRF-CEM; acute lymphoblastic (T-ALL) leukemia; P10' vs 'CCRF-CEM; acute lymphoblastic (T-ALL) leukemia; P0',-1.3,0.00000658210388610681,
ENSG00000133256,PDE6B,PDE6B,homo sapiens,E-GEOD-45581,'inflammatory breast cancer' vs 'normal',-1.3,0.00198628385435022,
ENSG00000133256,PDE6B,PDE6B,homo sapiens,E-GEOD-95132,'primary tumor' vs 'adjacent non-tumor colon' in 'colorectal cancer',-1.3,0.0175755203232039,
ENSG00000133256,PDE6B,PDE6B,homo sapiens,E-GEOD-68086,'pancreatic adenocarcinoma' vs 'normal',-1.2,0.0000347944952489771,
ENSG00000133256,PDE6B,PDE6B,homo sapiens,E-GEOD-48433,'CCRF-CEM; acute lymphoblastic (T-ALL) leukemia; P04' vs 'CCRF-CEM; acute lymphoblastic (T-ALL) leukemia; P0',-1.2,0.000351408735244781,
ENSG00000133256,PDE6B,PDE6B,homo sapiens,E-GEOD-66270,'tumour staging pT3; disease staging 2; neoplasm' vs 'normal tissue adjacent to neoplasm',1.2,0.000871407055858657,
ENSG00000133256,PDE6B,PDE6B,homo sapiens,E-GEOD-66270,'tumour staging pT1; disease staging 2; neoplasm' vs 'normal tissue adjacent to neoplasm',1.1,1.23275236532356e-7,
ENSG00000133256,PDE6B,PDE6B,homo sapiens,E-GEOD-48433,'HOP-62; adenocarcinoma of lung; P04' vs 'HOP-62; adenocarcinoma of lung; P0',-1.1,0.0000681679533908918,
ENSG00000133256,PDE6B,PDE6B,homo sapiens,E-GEOD-42407,'highly invasive' vs 'poorly invasive',-1.1,0.00363667433512098,
ENSG00000133256,PDE6B,PDE6B,homo sapiens,E-MTAB-4363,'expression of estrogen receptor beta fused to C terminus tandem affinity purification tag' vs 'expression of estrogen receptor alpha fused to C terminus tandem affinity purification tag',1,6.69877875748301e-7,
ENSG00000133256,PDE6B,PDE6B,homo sapiens,E-GEOD-48433,'HOP-62; adenocarcinoma of lung; P10' vs 'HOP-62; adenocarcinoma of lung; P0',-1,9.27990242547068e-7,
