Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000169750,RAC3,RAC3,homo sapiens,E-GEOD-63452,'12 hour' vs '0 hour' in 'MCF-10A-H1047R',4.2,1.47912893709437e-57,
ENSG00000169750,RAC3,RAC3,homo sapiens,E-GEOD-63452,'24 hour' vs '0 hour' in 'MCF-10A-H1047R',4,2.04007998062799e-40,
ENSG00000169750,RAC3,RAC3,homo sapiens,E-MTAB-4771,'astrocyte overexpressing 4 genes' vs 'glioblastoma cell line',3.6,0.00013686008080325,
ENSG00000169750,RAC3,RAC3,homo sapiens,E-GEOD-63252,'p53KO; BREFELDIN A' vs 'p53KO; control',-3.2,0.0173530139501053,
ENSG00000169750,RAC3,RAC3,homo sapiens,E-MTAB-4771,'astrocyte overexpressing 7 genes' vs 'glioblastoma cell line',3,0.000116759986209591,
ENSG00000169750,RAC3,RAC3,homo sapiens,E-GEOD-63452,'12 hour' vs '0 hour' in 'MCF-10A',2.9,4.79245466660325e-35,
ENSG00000169750,RAC3,RAC3,homo sapiens,E-GEOD-63452,'24 hour' vs '0 hour' in 'MCF-10A',2.8,4.5690098078182e-23,
ENSG00000169750,RAC3,RAC3,homo sapiens,E-GEOD-63816,'erythroleukemia; ZRSR2 shRNA' vs 'normal',2.7,1.22380970250712e-7,
ENSG00000169750,RAC3,RAC3,homo sapiens,E-MTAB-5762,'uterine leiomyosarcoma' vs 'normal',2.5,0.000257199471095835,
ENSG00000169750,RAC3,RAC3,homo sapiens,E-GEOD-81089,'tumor tissue' vs 'non-malignant tissue',2.2,7.09199651106339e-13,
ENSG00000169750,RAC3,RAC3,homo sapiens,E-GEOD-48433,'786-0; renal adenocarcinoma; P04' vs '786-0; renal adenocarcinoma; P0',-2.2,7.31466821827077e-8,
ENSG00000169750,RAC3,RAC3,homo sapiens,E-GEOD-48433,'786-0; renal adenocarcinoma; P01' vs '786-0; renal adenocarcinoma; P0',-2.2,0.00000256502729420223,
ENSG00000169750,RAC3,RAC3,homo sapiens,E-GEOD-60052,'small cell lung carcinoma' vs 'normal',2.2,0.000643557844885849,
