Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000146374	homo sapiens	E-GEOD-55048	'tumor' vs 'paratumoral tissue'	-6.3	3.83177051443341e-15	
ENSG00000146374	homo sapiens	E-GEOD-50627	'stem cell from lung adenocarcinoma cell' vs 'stem cell from normal lung epithelial cell'	5.5	3.17046074106462e-11	
ENSG00000146374	homo sapiens	E-MTAB-4054	'esophageal adenocarcinoma' vs 'normal'	5.4	1.32432502147059e-10	
ENSG00000146374	homo sapiens	E-GEOD-21668	'early mesodermal progenitors' vs 'undifferentiated cells'	5	1.6657769961218e-7	
ENSG00000146374	homo sapiens	E-GEOD-33294	'liver tumor' vs 'adjacent non-tumor tissue'	-4.7	0.00000911677646590499	
ENSG00000146374	homo sapiens	E-MTAB-7591	'SOX2 overexpression' vs 'wild type' in 'U-2982'	-4.3	4.72541293563019e-243	
ENSG00000146374	homo sapiens	E-GEOD-10927	'adrenocortical carcinoma' vs 'normal'	-4.3	7.6934884004846e-11	
ENSG00000146374	homo sapiens	E-MTAB-4054	'Barrett’s esophagus; low-grade dysplasia' vs 'normal'	4.3	0.00000188442005624632	
ENSG00000146374	homo sapiens	E-GEOD-59612	'contrast-enhancing core; glioma' vs 'normal'	-4.1	2.85648306345822e-16	
ENSG00000146374	homo sapiens	E-GEOD-51651	'GAPLINC knock down' vs 'control'	4.1	4.44784958358174e-7	
ENSG00000146374	homo sapiens	E-GEOD-33455	'DU-145; converted to docetaxel resistant cells' vs 'DU-145; none'	4.1	0.00000533627075407774	
ENSG00000146374	homo sapiens	E-GEOD-32424	'tumor' vs 'normal'	4.1	0.000147745932354826	
ENSG00000146374	homo sapiens	E-MTAB-5537	'estrogen receptor alpha shRNA' vs 'scrambled shRNA'	3.9	0.0182939094524874	
ENSG00000146374	homo sapiens	E-GEOD-57463	'SOX9 overexpression' vs 'control'	3.4	0.0199849854941922	
ENSG00000146374	homo sapiens	E-GEOD-22334	'cells p16-transfected' vs 'control'	-3.3	0.0000566616368186188	
ENSG00000146374	homo sapiens	E-GEOD-29137	'Numb4 overexpression' vs 'control' in 'MDAMB231'	-3.2	1.26507988874955e-8	
ENSG00000146374	homo sapiens	E-GEOD-29137	'Numb6 overexpression' vs 'control' in 'MDAMB231'	-3.1	1.61124836292022e-8	
ENSG00000146374	homo sapiens	E-MTAB-5933	'oral squamous cell carcinoma; neoplasm' vs 'normal; 5 mm beyond neoplasm as visible by narrow band imaging' in 'mouth floor'	-3.1	0.00149520859867927	
ENSG00000146374	homo sapiens	E-MTAB-7808	'doxycycline' vs 'none' in 'Caki1'	-3	1.55628276851035e-21	
ENSG00000146374	homo sapiens	E-MTAB-11620	'PAF1 knockout' vs 'ncgRNA' in 'tumor necrosis factor-alpha'	-3	3.8407185368087e-10	
ENSG00000146374	homo sapiens	E-GEOD-48433	'A549; adenocarcinoma of lung; P04' vs 'A549; adenocarcinoma of lung; P0'	-3	0.0000041714546051821	
