Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000020633	homo sapiens	E-MTAB-7613	'human cytomegalovirus (Towne strain)' vs 'none'	5.7	1.11668143011306e-8	
ENSG00000020633	homo sapiens	E-MTAB-8677	'SPI1 -/-' vs 'SPI1 +/+'	-5.6	2.07819122385803e-9	
ENSG00000020633	homo sapiens	E-GEOD-51415	'tongue squamous cell carcinoma' vs 'normal' in 'vehicle'	5.5	5.67704922272539e-63	
ENSG00000020633	homo sapiens	E-GEOD-21750	'malignant mesothelioma; wild type' vs 'normal; wild type'	4.3	1.57163660027044e-7	
ENSG00000020633	homo sapiens	E-GEOD-63816	'erythroleukemia; ZRSR2 shRNA' vs 'normal'	-3.4	2.96774170515449e-12	
ENSG00000020633	homo sapiens	E-GEOD-52327	'aldehyde dehydrogenase positive' vs 'aldehyde dehydrogenase negative'	-3.4	0.00752582179978612	
ENSG00000020633	homo sapiens	E-GEOD-48433	'HCC-2998; colon carcinoma; P01' vs 'HCC-2998; colon carcinoma; P0'	3.3	0.00000481733989037069	
ENSG00000020633	homo sapiens	E-GEOD-52194	'non-triple-negative breast cancer; breast carcinoma' vs 'normal'	-3	1.28345060112726e-10	
ENSG00000020633	homo sapiens	E-MTAB-5678	'squamous cell carcinoma' vs 'normal'	2.8	6.28627807850786e-17	
ENSG00000020633	homo sapiens	E-MTAB-7591	'SFRP2 overexpression' vs 'wild type' in 'U-2987'	2.8	0.00323041657853325	
ENSG00000020633	homo sapiens	E-GEOD-59612	'contrast-enhancing core; glioma' vs 'normal'	2.6	3.50409721543341e-17	
ENSG00000020633	homo sapiens	E-GEOD-48433	'HOP-92; large cell undifferentiated lung; P04' vs 'HOP-92; large cell undifferentiated lung; P0'	2.6	1.74217490686307e-9	
ENSG00000020633	homo sapiens	E-MTAB-7591	'SOX2 overexpression' vs 'wild type' in 'U-2982'	-2.5	1.19744900511458e-38	
ENSG00000020633	homo sapiens	E-GEOD-48433	'HOP-92; large cell undifferentiated lung; P10' vs 'HOP-92; large cell undifferentiated lung; P0'	2.5	1.64302612090285e-9	
ENSG00000020633	homo sapiens	E-GEOD-40776	'expressing O6-methylguanine methyltransferase' vs 'control'	-2.5	0.000301038838197552	
ENSG00000020633	homo sapiens	E-MTAB-6598	'interferon alpha; 1000 international units per millliter' vs 'none' in 'K562; lymphoblast'	2.4	0.00905619180513072	
ENSG00000020633	homo sapiens	E-GEOD-53757	'tumor' vs 'normal' in 'stage 3'	2.3	3.13769652949803e-8	
ENSG00000020633	homo sapiens	E-GEOD-48433	'HCC-2998; colon carcinoma; P10' vs 'HCC-2998; colon carcinoma; P0'	2.3	0.0000032448476554561	
ENSG00000020633	homo sapiens	E-GEOD-68086	'pancreatic adenocarcinoma' vs 'normal'	-2.2	1.53020916684437e-13	
ENSG00000020633	homo sapiens	E-TABM-282	'clear cell renal carcinoma' vs 'normal'	2.2	2.07458738593857e-7	
ENSG00000020633	homo sapiens	E-GEOD-33455	'PC3; converted to docetaxel resistant cells' vs 'PC3; none'	2.2	6.88872369781509e-7	
ENSG00000020633	homo sapiens	E-GEOD-44408	'lymph node metastasis' vs 'unaffected lymph node' at 'metastatic at presentation'	2.2	0.000401504234646036	
ENSG00000020633	homo sapiens	E-MTAB-4771	'astrocyte overexpressing 4 genes' vs 'glioblastoma cell line'	2.2	0.000592315098788354	
ENSG00000020633	homo sapiens	E-GEOD-68086	'colorectal carcinoma' vs 'normal'	-2.1	6.8506048580694e-15	
ENSG00000020633	homo sapiens	E-GEOD-48433	'CCRF-CEM; acute lymphoblastic (T-ALL) leukemia; P10' vs 'CCRF-CEM; acute lymphoblastic (T-ALL) leukemia; P0'	-2.1	0.00000112189171461233	
ENSG00000020633	homo sapiens	E-GEOD-38007	'expression of BRAF(V600E) and MITF' vs 'expression of BRAF(V600E)'	2.1	0.0110637486412431	
ENSG00000020633	homo sapiens	E-GEOD-52194	'triple-negative breast cancer; breast carcinoma' vs 'normal'	-2	0.0000265913307473831	
ENSG00000020633	homo sapiens	E-GEOD-53757	'tumor' vs 'normal' in 'stage 2'	1.9	1.83604261816294e-12	
ENSG00000020633	homo sapiens	E-GEOD-48433	'HOP-92; large cell undifferentiated lung; P01' vs 'HOP-92; large cell undifferentiated lung; P0'	1.9	1.32766549704105e-8	
ENSG00000020633	homo sapiens	E-MTAB-6214	'metastatic melanoma; responder' vs 'normal; not applicable'	-1.9	0.00166093444748435	
ENSG00000020633	homo sapiens	E-MTAB-9209	'5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide; 0.4 millimolar' vs 'none'	1.8	5.21969998744706e-47	
ENSG00000020633	homo sapiens	E-GEOD-53757	'tumor' vs 'normal' in 'stage 1'	1.8	6.84162256571174e-11	
ENSG00000020633	homo sapiens	E-MTAB-7143	'liver' vs 'blood' in 'mucosal invariant T cell; Uveal Melanoma'	1.8	2.88203150655379e-9	
ENSG00000020633	homo sapiens	E-MTAB-6738	'dexamethasone; 1 micromolar' vs 'ethanol'	-1.8	1.49597992804204e-7	
ENSG00000020633	homo sapiens	E-MTAB-3645	'A2780cis' vs 'A2780' in Normoxia; None'	1.8	3.64180881169886e-7	
ENSG00000020633	homo sapiens	E-MTAB-6564	'RNPS1 knockdown and rescue with RNPS1 loss of function mutant' vs 'wild type phenotype'	-1.8	0.0000420296542751267	
ENSG00000020633	homo sapiens	E-MTAB-9767	"after autologous stem cell transplantation" vs "before autologous stem cell transplantation"	-1.8	0.000837580900080797	
ENSG00000020633	homo sapiens	E-GEOD-48433	'CCRF-CEM; acute lymphoblastic (T-ALL) leukemia; P04' vs 'CCRF-CEM; acute lymphoblastic (T-ALL) leukemia; P0'	-1.8	0.00102428223983225	
