Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000163785,RYK,RYK,homo sapiens,E-MTAB-8677,'SPI1 -/-' vs 'SPI1 +/+',-4.3,8.43286084091787e-45,
ENSG00000163785,RYK,RYK,homo sapiens,E-GEOD-68086,'pancreatic adenocarcinoma' vs 'normal',-3.4,9.27324237186451e-22,
ENSG00000163785,RYK,RYK,homo sapiens,E-GEOD-68086,'breast carcinoma' vs 'normal',-2.8,6.72630741291931e-19,
ENSG00000163785,RYK,RYK,homo sapiens,E-GEOD-68086,'colorectal carcinoma' vs 'normal',-2.4,2.7375972445356e-10,
ENSG00000163785,RYK,RYK,homo sapiens,E-MTAB-8677,'SPI1 +/-' vs 'SPI1 +/+',-2.3,1.26434978668542e-20,
ENSG00000163785,RYK,RYK,homo sapiens,E-GEOD-68086,'non-small cell lung carcinoma' vs 'normal',-2.3,1.85632418407849e-12,
ENSG00000163785,RYK,RYK,homo sapiens,E-GEOD-68086,'hepatobiliary carcinoma' vs 'normal',-2.2,7.20370573209629e-7,
ENSG00000163785,RYK,RYK,homo sapiens,E-GEOD-37003,'anti-m6A' vs 'none',-2.1,0.00966637605483105,
ENSG00000163785,RYK,RYK,homo sapiens,E-GEOD-66354,'supratentorial ependymoma' vs 'normal',2,2.85780466735302e-7,
ENSG00000163785,RYK,RYK,homo sapiens,E-GEOD-50161,'medulloblastoma' vs 'normal',1.6,2.20787343924896e-8,
ENSG00000163785,RYK,RYK,homo sapiens,E-GEOD-40595,'ovarian cancer' vs 'normal' in 'epithelial cell',-1.6,0.0000301723514948945,
ENSG00000163785,RYK,RYK,homo sapiens,E-GEOD-18105,'metastasis; tumor' vs 'metastasis; normal adjacent tissue',1.6,0.0000751142043298149,
ENSG00000163785,RYK,RYK,homo sapiens,E-GEOD-68086,'glioblastoma' vs 'normal',-1.5,0.0000199747320667619,
ENSG00000163785,RYK,RYK,homo sapiens,E-GEOD-63452,'6 hour' vs '0 hour' in 'MCF-10A',-1.4,1.99269365255583e-12,
ENSG00000163785,RYK,RYK,homo sapiens,E-GEOD-66354,'atypical teratoid/rhabdoid tumor' vs 'normal',1.4,9.84057487585013e-8,
ENSG00000163785,RYK,RYK,homo sapiens,E-MTAB-3619,'UV' vs 'none' in '(no brct expression) GFP control',-1.4,0.0000300241176122904,
ENSG00000163785,RYK,RYK,homo sapiens,E-MTAB-6087,'hypoxia' vs 'normoxia' in 'SW684',-1.4,0.00103651237206123,
