Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000127922	homo sapiens	E-GEOD-63452	'24 hour' vs '0 hour' in 'MCF-10A-H1047R'	-2.3	4.74521106510301e-42	
ENSG00000127922	homo sapiens	E-GEOD-63452	'12 hour' vs '0 hour' in 'MCF-10A-H1047R'	-2.1	2.55525525590426e-41	
ENSG00000127922	homo sapiens	E-MTAB-9712	'RRx-1; 20 micromolar' vs 'none'	1.6	2.98915818344294e-178	
ENSG00000127922	homo sapiens	E-GEOD-63452	'12 hour' vs '0 hour' in 'MCF-10A'	-1.6	6.51458140324384e-31	
ENSG00000127922	homo sapiens	E-GEOD-12606	'metastatic tissue' vs 'normal tissue adjacent to neoplasm' in 'clear cell renal cell carcinoma'	1.6	0.0281110087759962	
ENSG00000127922	homo sapiens	E-GEOD-63452	'24 hour' vs '0 hour' in 'MCF-10A'	-1.5	3.04632157731078e-23	
ENSG00000127922	homo sapiens	E-GEOD-41678	'Cal51; cocultured with fibroblast HFF1' vs 'Cal51; normal'	-1.5	1.57398742325374e-8	
ENSG00000127922	homo sapiens	E-GEOD-41678	'MDAMB231; cocultured with fibroblast HFF1' vs 'MDAMB231; normal'	-1.5	0.00000121801276672963	
ENSG00000127922	homo sapiens	E-GEOD-19249	'lung cancer' vs 'normal' in 'lung; Formalin-fixed paraffin-embedded tissue'	1.5	0.0000500959480578679	
ENSG00000127922	homo sapiens	E-GEOD-52194	'non-triple-negative breast cancer; breast carcinoma' vs 'normal'	-1.4	9.57615167411081e-7	
ENSG00000127922	homo sapiens	E-GEOD-19249	'lung cancer' vs 'normal' in 'lung; Fresh-frozen tissue'	1.3	0.0000685957187399227	
ENSG00000127922	homo sapiens	E-MTAB-8444	'Crispr-mediated SOX4 knockout' vs 'wild type genotype' in 'HIV-1' at '30 hour'	1.3	0.000502798200337236	
ENSG00000127922	homo sapiens	E-MTAB-7518	'cisplatin; 100 micromolar' vs 'none' in 'scrambled siRNA'	1.2	8.03709746225217e-15	
ENSG00000127922	homo sapiens	E-MTAB-7518	'cisplatin; 100 micromolar' vs 'none' in 'TMEM45A knockdown by siRNA'	1.2	1.26467730580022e-13	
ENSG00000127922	homo sapiens	E-GEOD-57116	'3 h DRB 8 min 4sU' vs 'untreated'	1.2	0.00000451331223947854	
ENSG00000127922	homo sapiens	E-MTAB-7847	'Sorafenib; 5 micromolar' vs 'vehicle' in 'HuH-7'	-1.1	5.11019449761201e-114	
ENSG00000127922	homo sapiens	E-GEOD-68086	'colorectal carcinoma' vs 'normal'	-1.1	4.07935986347843e-14	
ENSG00000127922	homo sapiens	E-MTAB-6957	'non small cell lung carcinoma neoplasm' vs 'normal tissue adjacent to neoplasm'	1.1	2.987892448382e-10	
ENSG00000127922	homo sapiens	E-GEOD-17385	'beta-catenin knockdown' vs 'control'	-1.1	0.00000126349540597925	
ENSG00000127922	homo sapiens	E-GEOD-60123	'ING2 targeting' vs 'control'	-1.1	0.00171751044547479	
ENSG00000127922	homo sapiens	E-MEXP-2351	'subependymal giant cell astrocytoma' vs 'normal'	1.1	0.0152075321600619	
ENSG00000127922	homo sapiens	E-GEOD-56788	'PSMD13 knock-down' vs 'mock'	1	1.82761783264279e-27	
ENSG00000127922	homo sapiens	E-GEOD-18842	'non-small cell lung cancer' vs 'normal'	1	1.63187524851391e-19	
ENSG00000127922	homo sapiens	E-GEOD-49608	'7 hour' vs '0 hour' in 'MDA-LM2'	1	2.16205979867439e-16	
ENSG00000127922	homo sapiens	E-GEOD-81089	'tumor tissue' vs 'non-malignant tissue'	1	2.0145958083559e-12	
ENSG00000127922	homo sapiens	E-GEOD-68086	'breast carcinoma' vs 'normal'	-1	1.45012740129863e-11	
ENSG00000127922	homo sapiens	E-GEOD-15641	'transitional cell carcinoma of kidney' vs 'normal'	1	1.26963685678573e-7	
ENSG00000127922	homo sapiens	E-GEOD-38959	'breast cancer; breast' vs 'normal; breast'	1	0.0000132538561587253	
ENSG00000127922	homo sapiens	E-GEOD-7307	'CXCL12, 75 nanomolar; 6 hour' vs 'none; 6 hour' in 'MDAMB231; adenocarcinoma; mammary gland'	-1	0.0000180010311273717	
ENSG00000127922	homo sapiens	E-MTAB-3619	'UV' vs 'none' in '(no brct expression) GFP control'	1	0.000021872347445228	
ENSG00000127922	homo sapiens	E-MTAB-5678	'squamous cell carcinoma' vs 'normal'	1	0.000501796691416901	
ENSG00000127922	homo sapiens	E-GEOD-28542	'5 micromolar CG-1521' vs 'vehicle' in 'SUM190PT'	1	0.000934190025325585	
