Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000108854,SMURF2,SMURF2,homo sapiens,E-GEOD-22334,'cells p16-transfected' vs 'control',3.5,0.000158911390010436,
ENSG00000108854,SMURF2,SMURF2,homo sapiens,E-GEOD-38007,'expression of BRAF(V600E) and MITF' vs 'expression of BRAF(V600E)',-3.5,0.000608529882897085,
ENSG00000108854,SMURF2,SMURF2,homo sapiens,E-GEOD-68086,'pancreatic adenocarcinoma' vs 'normal',-3.1,4.50536861983994e-16,
ENSG00000108854,SMURF2,SMURF2,homo sapiens,E-GEOD-7307,"'CXCL12, 75 nanomolar; 6 hour' vs 'none; 6 hour' in 'MDAMB231; adenocarcinoma; mammary gland'",-2.9,4.78265727369906e-8,
ENSG00000108854,SMURF2,SMURF2,homo sapiens,E-GEOD-68086,'non-small cell lung carcinoma' vs 'normal',-2.8,1.4373677888113e-17,
ENSG00000108854,SMURF2,SMURF2,homo sapiens,E-GEOD-68086,'breast carcinoma' vs 'normal',-2.7,2.2446253733618e-15,
ENSG00000108854,SMURF2,SMURF2,homo sapiens,E-GEOD-27473,'estrogen receptor alpha knockdown' vs 'control',2.6,3.74294330572282e-9,
ENSG00000108854,SMURF2,SMURF2,homo sapiens,E-GEOD-40584,'Nkx2-1 overexpression' vs 'wild type',2.3,1.19804115268411e-8,
ENSG00000108854,SMURF2,SMURF2,homo sapiens,E-GEOD-63252,'wild type; tunicamycin' vs 'wild type; control',2.3,0.0108962451595794,
ENSG00000108854,SMURF2,SMURF2,homo sapiens,E-GEOD-61966,'501Mel; shBRG1 knockdown' vs '501Mel; control',2.2,1.78067283731667e-277,
ENSG00000108854,SMURF2,SMURF2,homo sapiens,E-GEOD-68086,'colorectal carcinoma' vs 'normal',-2.2,1.33755019898994e-8,
ENSG00000108854,SMURF2,SMURF2,homo sapiens,E-GEOD-7835,'deferoxamine; 100 nanomolar echinomycin' vs 'deferoxamine; none',-2.2,5.83008292369002e-8,
ENSG00000108854,SMURF2,SMURF2,homo sapiens,E-GEOD-38678,'CLF1' vs 'CLS1; co-culture with CAF to generate sphere',2,4.01242826477908e-8,
ENSG00000108854,SMURF2,SMURF2,homo sapiens,E-GEOD-52989,'8 hour' vs '0 hour',2,6.3524148787979e-7,
ENSG00000108854,SMURF2,SMURF2,homo sapiens,E-GEOD-68086,'hepatobiliary carcinoma' vs 'normal',-2,0.0000117331362873154,
ENSG00000108854,SMURF2,SMURF2,homo sapiens,E-GEOD-8961,'human metapneumovirus' at '72 hour' vs 'none' at '48 hour',2,0.000062256319814125,
ENSG00000108854,SMURF2,SMURF2,homo sapiens,E-GEOD-40595,'ovarian cancer' vs 'normal' in 'epithelial cell',-1.9,1.8687284615311e-7,
ENSG00000108854,SMURF2,SMURF2,homo sapiens,E-GEOD-63252,'DICERER5/EX5; tunicamycin' vs 'DICERER5/EX5; control',1.9,0.00486936154670129,
ENSG00000108854,SMURF2,SMURF2,homo sapiens,E-GEOD-63252,'p53KO; tunicamycin' vs 'p53KO; control',1.9,0.0301562547186574,
