Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000167941,SOST,SOST,homo sapiens,E-TABM-282,'clear cell renal carcinoma' vs 'normal',-4.3,2.9277708731782e-9,
ENSG00000167941,SOST,SOST,homo sapiens,E-MTAB-11313,'ERO1 knockout' vs 'wild type genotype' in 'ISRIB; 2.5 milligram per kilogram and paclitaxel; 15 milligram per kilogram',-4.3,0.000620481302608991,
ENSG00000167941,SOST,SOST,homo sapiens,E-GEOD-53757,'tumor' vs 'normal' in 'stage 3',-4.2,8.40096171182461e-16,
ENSG00000167941,SOST,SOST,homo sapiens,E-GEOD-66270,'tumour staging pT3; disease staging 2; neoplasm' vs 'normal tissue adjacent to neoplasm',-4.2,0.0000176154591135975,
ENSG00000167941,SOST,SOST,homo sapiens,E-GEOD-53757,'tumor' vs 'normal' in 'stage 1',-4,6.94071636280739e-16,
ENSG00000167941,SOST,SOST,homo sapiens,E-GEOD-11151,'clear cell renal carcinoma' vs 'normal' in 'adult',-4,1.07193118838138e-15,
ENSG00000167941,SOST,SOST,homo sapiens,E-GEOD-53757,'tumor' vs 'normal' in 'stage 2',-4,1.1016309881208e-14,
ENSG00000167941,SOST,SOST,homo sapiens,E-GEOD-11151,'papillary renal cell carcinoma' vs 'normal' in 'adult',-4,5.41894093862052e-13,
ENSG00000167941,SOST,SOST,homo sapiens,E-GEOD-66270,'tumour staging pT1; disease staging 2; neoplasm' vs 'normal tissue adjacent to neoplasm',-3.9,4.3839374509208e-9,
ENSG00000167941,SOST,SOST,homo sapiens,E-GEOD-32424,'tumor' vs 'normal',3.9,0.00148538739788005,
ENSG00000167941,SOST,SOST,homo sapiens,E-GEOD-53757,'tumor' vs 'normal' in 'stage 4',-3.8,2.33506550962782e-7,
ENSG00000167941,SOST,SOST,homo sapiens,E-GEOD-21668,'early mesodermal progenitors' vs 'undifferentiated cells',3.8,0.000574949774366454,
ENSG00000167941,SOST,SOST,homo sapiens,E-GEOD-11151,'chromophobe renal cell carcinoma' vs 'normal' in 'adult',-3.8,0.000691302334522356,
ENSG00000167941,SOST,SOST,homo sapiens,E-MTAB-5537,'estrogen receptor alpha shRNA' vs 'scrambled shRNA',3.6,0.0311975233334841,
ENSG00000167941,SOST,SOST,homo sapiens,E-GEOD-81089,'tumor tissue' vs 'non-malignant tissue',3.2,0.00000898842367241131,
ENSG00000167941,SOST,SOST,homo sapiens,E-GEOD-46699,'neoplasm' vs 'normal tissue adjacent to neoplasm' in 'smoker; non-obese',-3.1,3.85046920115349e-11,
ENSG00000167941,SOST,SOST,homo sapiens,E-GEOD-68086,'colorectal carcinoma' vs 'normal',-3.1,2.22554712880173e-7,
ENSG00000167941,SOST,SOST,homo sapiens,E-GEOD-68086,'breast carcinoma' vs 'normal',-3,9.98044197350402e-7,
ENSG00000167941,SOST,SOST,homo sapiens,E-GEOD-48433,'NCI-H226; squamous cell lung carcinoma; P10' vs 'NCI-H226; squamous cell lung carcinoma; P0',2.7,0.00000122385714337347,
ENSG00000167941,SOST,SOST,homo sapiens,E-GEOD-46699,'neoplasm' vs 'normal tissue adjacent to neoplasm' in 'non-smoker; non-obese',-2.5,9.86360381599636e-10,
ENSG00000167941,SOST,SOST,homo sapiens,E-GEOD-56084,'shATAD3A for ATAD3A knockdown' vs 'control',-2.4,0.00000110718777883882,
ENSG00000167941,SOST,SOST,homo sapiens,E-GEOD-46699,'neoplasm' vs 'normal tissue adjacent to neoplasm' in 'non-smoker; obese',-2.4,0.00120941042420611,
ENSG00000167941,SOST,SOST,homo sapiens,E-GEOD-48433,'NCI-H226; squamous cell lung carcinoma; P04' vs 'NCI-H226; squamous cell lung carcinoma; P0',2.4,0.0191760747407746,
ENSG00000167941,SOST,SOST,homo sapiens,E-GEOD-37571,'A/CA/04/2009 Influenza virus' at '18 hour' vs 'mock' at '18 hour',2.3,0.00000492360165649635,
ENSG00000167941,SOST,SOST,homo sapiens,E-GEOD-68086,'glioblastoma' vs 'normal',-2.3,0.000106449928812773,
ENSG00000167941,SOST,SOST,homo sapiens,E-MTAB-8701,'myxosarcoma' vs 'normal',2.3,0.0111694782479219,
ENSG00000167941,SOST,SOST,homo sapiens,E-GEOD-68086,'non-small cell lung carcinoma' vs 'normal',-2.1,0.000129013851989755,
ENSG00000167941,SOST,SOST,homo sapiens,E-GEOD-37571,'A/CA/04/2009 Influenza virus' at '12 hour' vs 'mock' at '12 hour',2,0.0000744247361865195,
ENSG00000167941,SOST,SOST,homo sapiens,E-MEXP-3230,'CBF-beta knock down' vs 'control',-2,0.00740267797194371,
ENSG00000167941,SOST,SOST,homo sapiens,E-MEXP-3230,'Runx2 knock down' vs 'control',-2,0.0125188964086567,
ENSG00000167941,SOST,SOST,homo sapiens,E-MTAB-5933,'oral squamous cell carcinoma; neoplasm' vs 'normal; 5 mm beyond neoplasm as visible by white light' in 'tongue',2,0.0295614403828818,
ENSG00000167941,SOST,SOST,homo sapiens,E-MTAB-11313,'ERO1 knockout' vs 'wild type genotype' in 'paclitaxel; 15 milligram per kilogram',-2,0.0317746380675342,
ENSG00000167941,SOST,SOST,homo sapiens,E-GEOD-66354,'atypical teratoid/rhabdoid tumor' vs 'normal',1.9,0.0363617630203139,
ENSG00000167941,SOST,SOST,homo sapiens,E-MTAB-7518,'cisplatin; 100 micromolar' vs 'none' in 'scrambled siRNA',1.9,0.0423687129998206,
ENSG00000167941,SOST,SOST,homo sapiens,E-GEOD-68086,'pancreatic adenocarcinoma' vs 'normal',-1.7,0.012919645034261,
ENSG00000167941,SOST,SOST,homo sapiens,E-GEOD-7307,"'CXCL12, 75 nanomolar; 6 hour' vs 'none; 6 hour' in 'MDAMB231; adenocarcinoma; mammary gland'",-1.6,0.0000359403489147826,
ENSG00000167941,SOST,SOST,homo sapiens,E-GEOD-9350,'hypoxia' vs 'normal atmospheric oxygen pressure' in 'high metastatic cell line',-1.6,0.0235693707923231,
ENSG00000167941,SOST,SOST,homo sapiens,E-GEOD-37571,'A/CA/04/2009 Influenza virus' at '24 hour' vs 'mock' at '24 hour',1.5,0.0000254512290399438,
ENSG00000167941,SOST,SOST,homo sapiens,E-GEOD-50697,'miR-203 expressing cells' vs 'control',1.5,0.000358015676344216,
ENSG00000167941,SOST,SOST,homo sapiens,E-GEOD-29137,'Numb4 overexpression' vs 'control' in 'MDAMB231',1.3,7.42078149535123e-7,
ENSG00000167941,SOST,SOST,homo sapiens,E-MTAB-7033,'p63 knockdown by siRNA' vs 'scrambled siRNA' in 'L3.6pl',-1.3,0.00381727283462583,
ENSG00000167941,SOST,SOST,homo sapiens,E-GEOD-59612,'contrast-enhancing core; glioma' vs 'normal',1.3,0.0280244195256589,
ENSG00000167941,SOST,SOST,homo sapiens,E-GEOD-37571,'A/CA/04/2009 Influenza virus' at '48 hour' vs 'mock' at '48 hour',1.2,0.000240617109884487,
ENSG00000167941,SOST,SOST,homo sapiens,E-GEOD-37571,'A/CA/04/2009 Influenza virus' at '36 hour' vs 'mock' at '36 hour',1.2,0.023934397359824,
ENSG00000167941,SOST,SOST,homo sapiens,E-GEOD-40422,'HOXA1 expression' vs 'control',1.1,0.0000268465778107832,
