Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000143842,SOX13,SOX13,homo sapiens,E-GEOD-63816,'erythroleukemia; ZRSR2 shRNA' vs 'normal',4,3.77307346672972e-7,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-GEOD-68086,'pancreatic adenocarcinoma' vs 'normal',-3.9,5.0194141225598e-16,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-MTAB-9209,'5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide; 0.4 millimolar' vs 'none',3.6,2.64882075498675e-46,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-GEOD-68086,'breast carcinoma' vs 'normal',-3.3,2.92745554448455e-13,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-GEOD-68086,'non-small cell lung carcinoma' vs 'normal',-2.8,9.52780595271153e-12,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-GEOD-68086,'colorectal carcinoma' vs 'normal',-2.5,5.32172444172239e-8,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-MTAB-9767,"after autologous stem cell transplantation vs ""before autologous stem cell transplantation""",-2.5,0.0186509235736727,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-GEOD-68086,'hepatobiliary carcinoma' vs 'normal',-2.3,0.0000576577547497516,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-MTAB-7613,'human cytomegalovirus (Towne strain)' vs 'none',-2.1,7.13606593776387e-34,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-MTAB-5762,'uterine leiomyosarcoma' vs 'normal',-2,0.00273284672096056,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-GEOD-37003,'anti-m6A' vs 'none',2,0.0476268303677685,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-MTAB-7791,'CRISPR/Cas9 mediated knockout of ARIDA1A' vs 'wild type genotype' in 'scrambled siRNA; DLD1',-1.9,2.27389107353788e-14,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-GEOD-68086,'glioblastoma' vs 'normal',-1.9,0.0000109594235018431,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-GEOD-38007,'expression of BRAF(V600E) and MITF' vs 'expression of BRAF(V600E)',1.9,0.00171155989499664,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-MTAB-5102,'154; 1 micromolar' vs 'DMSO',1.8,1.13011050711118e-8,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-GEOD-58252,'Snail overexpression' vs 'control',-1.8,0.000017258994876833,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-MTAB-4771,'astrocyte overexpressing 7 genes' vs 'glioma stem cell line',-1.7,0.000120903554951268,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-MTAB-7143,'liver' vs 'blood' in 'mucosal invariant T cell; Uveal Melanoma',-1.7,0.00696689289069734,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-GEOD-57116,'3 h DRB 8 min 4sU' vs 'untreated',-1.6,4.33552288054039e-7,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-GEOD-27473,'estrogen receptor alpha knockdown' vs 'control',-1.6,4.79436052425533e-7,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-GEOD-21668,'early mesodermal progenitors' vs 'undifferentiated cells',-1.6,0.00000349787530455771,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-MTAB-4771,'astrocyte overexpressing 4 genes' vs 'glioma stem cell line',-1.6,0.000826830728808506,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-MTAB-7591,'SOX2 overexpression' vs 'wild type' in 'U-2982',1.5,2.46181477331663e-103,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-GEOD-49608,'7 hour' vs '0 hour' in 'MDA-LM2',-1.5,8.51415611608694e-15,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-GEOD-11941,'100 microgram per milliliter trovafloxacin' vs 'none',1.5,0.000257005941926802,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-GEOD-80832,'Zaire ebolavirus lacking the mucin domain of GP' vs 'mock' at '8 hour',1.5,0.000358947760060345,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-MTAB-7453,'PLX4720; 1 micromolar' vs 'none',1.5,0.0038548146585194,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-MTAB-7591,'SFRP2 overexpression' vs 'wild type' in 'U-2987',-1.4,8.16321116862303e-52,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-MTAB-7745,'dexamethasone; 1 micromolar' vs 'vehicle',1.3,2.93764110866444e-33,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-MTAB-3649,'Listeria monocytogenes EGD-e' vs 'none',1.3,7.9092049237104e-19,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-MTAB-5537,'estrogen receptor alpha shRNA' vs 'scrambled shRNA',-1.3,9.70185983618756e-8,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-GEOD-7835,'deferoxamine; 100 nanomolar echinomycin' vs 'deferoxamine; none',-1.3,8.51646924436639e-7,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-GEOD-57116,'3 h DRB 0 min 4sU' vs 'untreated',-1.3,0.0000324952025407634,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-MTAB-8446,'KLF5 knockdown by siRNA' vs 'scrambled siRNA',-1.2,1.7924887557736e-35,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-MTAB-10304,'lapatinib; 500 nanomolar; 35 day' vs 'dimethyl sulfoxide; 1 day',-1.2,1.71130464702242e-15,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-GEOD-63452,'24 hour' vs '0 hour' in 'MCF-10A',1.2,0.00000405104304470443,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-MTAB-5244,'Snai1 knockout' vs 'wild type',1.2,0.00000555764726334756,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-GEOD-50161,"'Astrocytoma, Pilocytic' vs 'normal'",1.2,0.00000929133740956166,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-GEOD-66354,'pilocytic astrocytoma' vs 'normal',1.2,0.0000195255486219475,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-GEOD-65485,'neoplasm' vs 'normal tissue adjacent to neoplasm',1.2,0.00972843546280152,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-MTAB-8198,'EPZ004777; 6.4 micromolar' vs 'dimethyl sulfoxide; 1E-08 molar' in 'PEO4',-1.2,0.0475341868898084,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-MTAB-8198,"'ICI 182,780; 1E-08 molar' vs 'dimethyl sulfoxide; 1E-08 molar' in 'PEO4'",-1.2,0.0487506305871461,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-GEOD-49608,'4 hour' vs '0 hour' in 'MDA-LM2',-1.1,2.32479983310752e-15,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-GEOD-56677,'Human betacoronavirus 2c England-Qatar/2012' vs 'mock' at '18 hour',-1.1,0.00000222316553144439,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-GEOD-45042,'Human betacoronavirus 2c EMC/2012; 18 hour' vs 'mock; 24 hour',-1.1,0.00000591229341585296,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-GEOD-38678,'CLF1' vs 'CLS1; co-culture with CAF to generate sphere',-1.1,0.00000964392801337536,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-GEOD-21750,'malignant mesothelioma; ERK1 knockdown' vs 'malignant mesothelioma; scrambled control',1.1,0.0000203309648337186,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-GEOD-48433,'COLO 205; adenocarcinoma of colon; P10' vs 'COLO 205; adenocarcinoma of colon; P0',1.1,0.000138942680082434,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-GEOD-56677,'Human betacoronavirus 2c England-Qatar/2012' vs 'mock' at '12 hour',-1.1,0.00138187560803431,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-GEOD-33294,'liver tumor' vs 'adjacent non-tumor tissue',1.1,0.0444753402774999,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-MTAB-4363,'expression of estrogen receptor beta fused to N terminus tandem affinity purification tag' vs 'expression of estrogen receptor alpha fused to C terminus tandem affinity purification tag',-1,6.03281770558942e-33,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-GEOD-48433,'HCT-116; colon carcinoma; P10' vs 'HCT-116; colon carcinoma; P0',-1,0.00000526486010310007,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-GEOD-59612,'contrast-enhancing core; glioma' vs 'normal',1,0.00000535069646715709,
ENSG00000143842,SOX13,SOX13,homo sapiens,E-GEOD-45042,'Human betacoronavirus 2c EMC/2012' vs 'mock' at '24 hour',-1,0.00000544478393571459,
