Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000110693	homo sapiens	E-MTAB-7591	'SFRP2 overexpression' vs 'wild type' in 'U-2987'	-6.6	6.10667063073359e-46	
ENSG00000110693	homo sapiens	E-GEOD-63816	'erythroleukemia; ZRSR2 shRNA' vs 'normal'	-6	2.25883301312295e-22	
ENSG00000110693	homo sapiens	E-MTAB-7591	'SOX2 overexpression' vs 'wild type' in 'U-2982'	5.1	5.00953704871277e-54	
ENSG00000110693	homo sapiens	E-MTAB-5175	'doxycycline-mediated expression of dominant-negative FOS' vs 'wild type'	4.7	8.98893609652589e-24	
ENSG00000110693	homo sapiens	E-GEOD-48812	'DMSO; prostate carcinoma' at '24 hour' vs 'DMSO; normal' at '24 hour'	-4.6	1.29525505816206e-13	
ENSG00000110693	homo sapiens	E-GEOD-37136	'transduced with HOXA1' vs 'control'	-4.6	1.25462865990218e-7	
ENSG00000110693	homo sapiens	E-GEOD-48812	'DMSO; prostate carcinoma' at '6 hour' vs 'DMSO; normal' at '6 hour'	-4.1	1.11510402606807e-7	
ENSG00000110693	homo sapiens	E-GEOD-37003	'anti-m6A' vs 'none'	-4	0.0100427756420683	
ENSG00000110693	homo sapiens	E-GEOD-68086	'pancreatic adenocarcinoma' vs 'normal'	-3.7	3.80853844759622e-14	
ENSG00000110693	homo sapiens	E-GEOD-68086	'breast carcinoma' vs 'normal'	-3.6	3.81807895603358e-16	
ENSG00000110693	homo sapiens	E-MTAB-5537	'estrogen receptor alpha shRNA' vs 'scrambled shRNA'	-3.6	0.0211917961802196	
ENSG00000110693	homo sapiens	E-GEOD-48812	'sulforaphane; prostate carcinoma' at '24 hour' vs 'sulforaphane; normal' at '24 hour'	-3.5	1.90610727714563e-9	
ENSG00000110693	homo sapiens	E-GEOD-51415	'tongue squamous cell carcinoma' vs 'normal' in 'vehicle'	-3.4	5.51582317752134e-11	
ENSG00000110693	homo sapiens	E-GEOD-40595	'ovarian cancer' vs 'normal' in 'epithelial cell'	-3.3	3.632059492545e-8	
ENSG00000110693	homo sapiens	E-MTAB-7061	'MTF2 homozygous knockout' vs 'wild type'	-3.2	1.45266681882824e-34	
ENSG00000110693	homo sapiens	E-MEXP-1372	'cooked broccoli' at '1 minute' vs 'water'	-3.1	0.000071196694804129	
ENSG00000110693	homo sapiens	E-GEOD-48433	'A549; adenocarcinoma of lung; P10' vs 'A549; adenocarcinoma of lung; P0'	2.9	8.86943346057681e-8	
ENSG00000110693	homo sapiens	E-GEOD-39091	'MLN4924; 650 nanomolar' vs 'DMSO; 0.065 percent' in 'BRCA1'	-2.9	0.00000121364467503326	
ENSG00000110693	homo sapiens	E-GEOD-68086	'non-small cell lung carcinoma' vs 'normal'	-2.8	2.52900008535525e-13	
ENSG00000110693	homo sapiens	E-GEOD-48433	'A549; adenocarcinoma of lung; P04' vs 'A549; adenocarcinoma of lung; P0'	2.8	0.0000853936873793771	
ENSG00000110693	homo sapiens	E-GEOD-48812	'sulforaphane; prostate carcinoma' at '6 hour' vs 'sulforaphane; normal' at '6 hour'	-2.8	0.00120930342548056	
ENSG00000110693	homo sapiens	E-MTAB-10304	'lapatinib; 500 nanomolar; 7 day' vs 'dimethyl sulfoxide; 1 day'	2.7	5.51910133819707e-19	
ENSG00000110693	homo sapiens	E-GEOD-55048	'tumor' vs 'paratumoral tissue'	-2.7	7.72728674029083e-10	
ENSG00000110693	homo sapiens	E-GEOD-68086	'colorectal carcinoma' vs 'normal'	-2.7	1.05833235984651e-8	
ENSG00000110693	homo sapiens	E-MEXP-1372	'cooked broccoli' at '0 minute' vs 'water'	-2.7	0.00152256460391187	
ENSG00000110693	homo sapiens	E-GEOD-50161	'Astrocytoma, Pilocytic' vs 'normal'	2.6	3.37114382626797e-8	
ENSG00000110693	homo sapiens	E-GEOD-66354	'pilocytic astrocytoma' vs 'normal'	2.6	7.65753636360157e-8	
ENSG00000110693	homo sapiens	E-GEOD-48433	'HCC-2998; colon carcinoma; P01' vs 'HCC-2998; colon carcinoma; P0'	2.6	5.79936997865344e-7	
ENSG00000110693	homo sapiens	E-MTAB-5678	'squamous cell carcinoma' vs 'normal'	-2.5	0.00000818415502899157	
ENSG00000110693	homo sapiens	E-GEOD-52194	'triple-negative breast cancer; breast carcinoma' vs 'normal'	2.5	0.0000284317045433464	
ENSG00000110693	homo sapiens	E-MTAB-7061	'EIF2AK3 homozygous knockout' vs 'wild type'	-2.4	6.83155434353858e-15	
ENSG00000110693	homo sapiens	E-GEOD-19665	'cancer tissue' vs 'surrounding noncancerous tissue' in 'hepatitis C virus induced hepatocellular carcinoma'	-2.4	0.0105374304638396	
ENSG00000110693	homo sapiens	E-GEOD-68086	'hepatobiliary carcinoma' vs 'normal'	-2.3	0.0000106491514164729	
ENSG00000110693	homo sapiens	E-GEOD-58252	'Snail overexpression' vs 'control'	2.2	0.00000117988723132837	
ENSG00000110693	homo sapiens	E-GEOD-21422	'invasive ductal carcinoma' vs 'normal'	-2.2	0.000190349828961096	
ENSG00000110693	homo sapiens	E-GEOD-61966	'501Mel; shBRG1 knockdown' vs '501Mel; control'	-2.1	1.25056143231437e-170	
ENSG00000110693	homo sapiens	E-GEOD-16066	'resistant to methotrexate' vs 'sensitive to methotrexate'	2.1	0.0000560947722728034	
ENSG00000110693	homo sapiens	E-GEOD-13309	'tobacco smoke condensate 3 microgram per milliliter' vs 'control' in 'Calu-6'	-2.1	0.000167239752545974	
ENSG00000110693	homo sapiens	E-MTAB-3073	'oligodendroglioma' vs 'normal'	2	2.346210485951e-12	
ENSG00000110693	homo sapiens	E-GEOD-39091	'MLN4924; 650 nanomolar' vs 'DMSO; 0.065 percent' in 'CDT1'	-2	6.06867772351438e-7	
ENSG00000110693	homo sapiens	E-MTAB-3645	'A2780cis' vs 'A2780' in Hypoxia; None'	-2	0.00000167478703256557	
ENSG00000110693	homo sapiens	E-GEOD-48433	'K-562; chronic myelogenous (blast crisis) leukemia; P10' vs 'K-562; chronic myelogenous (blast crisis) leukemia; P0'	-2	0.000584714841479224	
ENSG00000110693	homo sapiens	E-MTAB-7453	'PLX4720; 1 micromolar' vs 'none'	1.9	4.75263203611843e-11	
ENSG00000110693	homo sapiens	E-MTAB-7061	'RIPK1 homozygous knockout' vs 'wild type'	-1.9	4.46032460877426e-9	
ENSG00000110693	homo sapiens	E-MTAB-7079	'miR-24-3p lentiviral knockdown' vs 'wild type genotype' in 'MES-MM 98'	1.9	4.99220479568899e-8	
ENSG00000110693	homo sapiens	E-MTAB-7061	'KDM1A homozygous knockout' vs 'wild type'	-1.9	7.82868892529192e-8	
ENSG00000110693	homo sapiens	E-GEOD-39091	'MLN4924; 650 nanomolar' vs 'DMSO; 0.065 percent' in 'p53'	-1.9	0.00000144280289848965	
ENSG00000110693	homo sapiens	E-GEOD-39091	'MLN4924; 650 nanomolar' vs 'DMSO; 0.065 percent' in 'GL2'	-1.9	0.000077807789951583	
ENSG00000110693	homo sapiens	E-GEOD-16179	'lapatinib and foretinib' vs 'DMSO' in 'acquired resistant to lapatinib'	1.9	0.000458100607742396	
ENSG00000110693	homo sapiens	E-GEOD-13309	'tobacco smoke condensate 1 microgram per milliliter' vs 'control' in 'Calu-6'	-1.9	0.0137960640779848	
ENSG00000110693	homo sapiens	E-MTAB-10819	'circDOCK1 overexpression' vs 'empty vector' in 'MDAMB231; not applicable'	-1.9	0.0169103056544483	
ENSG00000110693	homo sapiens	E-GEOD-21354	'oligodendroglioma' vs 'normal'	1.9	0.0194581891929655	
ENSG00000110693	homo sapiens	E-MTAB-3073	'astrocytoma' vs 'normal'	1.8	4.17830194102603e-15	
ENSG00000110693	homo sapiens	E-GEOD-74000	'acetaminophen; 13 millimolar' vs 'none' in 'HepaRG; hepatitis C virus infection; liver'	-1.8	8.01686249724815e-7	
ENSG00000110693	homo sapiens	E-GEOD-10289	'SDHB siRNA' vs 'control'	-1.8	0.00000244769664570657	
ENSG00000110693	homo sapiens	E-GEOD-68086	'glioblastoma' vs 'normal'	-1.8	0.0000176834699931362	
ENSG00000110693	homo sapiens	E-GEOD-48433	'SW-620; adenocarcinoma of colon; P04' vs 'SW-620; adenocarcinoma of colon; P0'	1.8	0.00376176069996662	
ENSG00000110693	homo sapiens	E-GEOD-55092	'neoplasm' vs 'normal tissue adjacent to neoplasm' in 'liver'	-1.7	5.93529647730816e-12	
ENSG00000110693	homo sapiens	E-MTAB-7061	'BRD4 homozygous knockout' vs 'wild type'	-1.7	1.79905835127649e-8	
ENSG00000110693	homo sapiens	E-MTAB-10304	'lapatinib; 500 nanomolar; 35 day' vs 'dimethyl sulfoxide; 1 day'	1.7	4.02105883970412e-8	
ENSG00000110693	homo sapiens	E-MTAB-3645	'A2780cis' vs 'A2780' in Normoxia; Cisplatin'	-1.7	0.0000355462913674889	
ENSG00000110693	homo sapiens	E-GEOD-50161	'glioblastoma' vs 'normal'	1.7	0.00010754713755904	
ENSG00000110693	homo sapiens	E-GEOD-57116	'3 h DRB 8 min 4sU' vs 'untreated'	1.7	0.0001836859030401	
ENSG00000110693	homo sapiens	E-GEOD-21422	'ductal carcinoma in situ' vs 'normal'	-1.7	0.00243897244095201	
ENSG00000110693	homo sapiens	E-MTAB-7613	'human cytomegalovirus (Towne strain)' vs 'none'	-1.6	5.94063096307602e-15	
ENSG00000110693	homo sapiens	E-GEOD-59612	'contrast-enhancing core; glioma' vs 'normal'	1.6	8.63541053992489e-10	
ENSG00000110693	homo sapiens	E-MTAB-9209	'5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide; 0.4 millimolar' vs 'none'	1.6	0.0000183602288426249	
ENSG00000110693	homo sapiens	E-GEOD-53757	'tumor' vs 'normal' in 'stage 3'	-1.6	0.000392285434556761	
ENSG00000110693	homo sapiens	E-MEXP-2351	'subependymal giant cell astrocytoma' vs 'normal'	1.6	0.026564782956552	
ENSG00000110693	homo sapiens	E-MEXP-3628	'osteosarcoma' vs 'normal'	-1.6	0.0280708641838854	
ENSG00000110693	homo sapiens	E-GEOD-35493	'medulloblastoma' vs 'normal'	-1.6	0.0386038663311675	
ENSG00000110693	homo sapiens	E-MTAB-8480	'MEF2D-HNFNPUL1 knockdown by siRNA' vs 'luciferase siRNA'	-1.5	5.58166149070338e-8	
ENSG00000110693	homo sapiens	E-MTAB-7061	'EP300 homozygous knockout' vs 'wild type'	-1.5	0.0000047364852357856	
ENSG00000110693	homo sapiens	E-MTAB-7061	'ATAD2 homozygous knockout' vs 'wild type'	-1.5	0.0000060144810699761	
ENSG00000110693	homo sapiens	E-MTAB-7061	'UCHL1 homozygous knockout' vs 'wild type'	-1.5	0.0000127535751388327	
ENSG00000110693	homo sapiens	E-GEOD-48433	'A549; adenocarcinoma of lung; P01' vs 'A549; adenocarcinoma of lung; P0'	1.5	0.0000151384547995067	
ENSG00000110693	homo sapiens	E-MTAB-7061	'BAZ2A homozygous knockout' vs 'wild type'	-1.5	0.000380657576827154	
ENSG00000110693	homo sapiens	E-GEOD-12606	'metastatic tissue' vs 'normal tissue adjacent to neoplasm' in 'clear cell renal cell carcinoma'	-1.5	0.0133158053491589	
ENSG00000110693	homo sapiens	E-GEOD-46493	'doxorubicin; 0.6 microgram per milliliter' vs 'none'	-1.4	8.01228362515482e-7	
ENSG00000110693	homo sapiens	E-MTAB-7061	'BRD2 homozygous knockout' vs 'wild type'	-1.4	0.00000927331679821832	
ENSG00000110693	homo sapiens	E-GEOD-26966	'pituitary cancer' vs 'normal'	1.4	0.000144434169956688	
ENSG00000110693	homo sapiens	E-GEOD-54002	'breast cancer' vs 'normal'	-1.4	0.00231994562011645	
ENSG00000110693	homo sapiens	E-MTAB-8135	'neoplasm' vs 'normal tissue adjacent to neoplasm'	-1.4	0.0227106376745661	
ENSG00000110693	homo sapiens	E-MTAB-8701	'myxosarcoma' vs 'normal'	1.4	0.02470694027607	
ENSG00000110693	homo sapiens	E-GEOD-35525	'siRNA-HMGA1' vs 'control'	1.3	5.9976450452681e-7	
ENSG00000110693	homo sapiens	E-MTAB-3645	'A2780cis' vs 'A2780' in Normoxia; None'	-1.3	0.00000246802129136925	
ENSG00000110693	homo sapiens	E-GEOD-53757	'tumor' vs 'normal' in 'stage 2'	-1.3	0.0000918996861231315	
ENSG00000110693	homo sapiens	E-GEOD-63569	'myelodysplastic syndrome; SF3B1 mutated K700E' vs 'normal'	1.3	0.00259520962328531	
ENSG00000110693	homo sapiens	E-GEOD-48433	'UACC-62; melanoma; P10' vs 'UACC-62; melanoma; P0'	1.3	0.00561513401550173	
ENSG00000110693	homo sapiens	E-GEOD-16179	'foretinib' vs 'DMSO' in 'acquired resistant to lapatinib'	1.3	0.00745311955796666	
ENSG00000110693	homo sapiens	E-GEOD-66207	'Crohn's disease; B3, penetrating' vs 'non inflammatory bowel disease control'	1.3	0.0145220100516853	
ENSG00000110693	homo sapiens	E-GEOD-34015	'MALT lymphoma' vs 'normal'	1.3	0.0425295870622236	
ENSG00000110693	homo sapiens	E-GEOD-39091	'Daunorubicin; 100 nanomolar' vs 'DMSO; 0.065 percent' in 'GL2'	1.2	2.82340535821021e-8	
ENSG00000110693	homo sapiens	E-GEOD-48433	'NCI-H226; squamous cell lung carcinoma; P10' vs 'NCI-H226; squamous cell lung carcinoma; P0'	-1.2	0.00000297556495309837	
ENSG00000110693	homo sapiens	E-GEOD-48433	'NCI-H226; squamous cell lung carcinoma; P04' vs 'NCI-H226; squamous cell lung carcinoma; P0'	-1.2	0.000012501177234926	
ENSG00000110693	homo sapiens	E-GEOD-48433	'K-562; chronic myelogenous (blast crisis) leukemia; P04' vs 'K-562; chronic myelogenous (blast crisis) leukemia; P0'	1.2	0.0000157852193932654	
ENSG00000110693	homo sapiens	E-GEOD-46699	'neoplasm' vs 'normal tissue adjacent to neoplasm' in 'smoker; non-obese'	-1.2	0.0000527559277154781	
ENSG00000110693	homo sapiens	E-MTAB-3645	'A2780cis' vs 'A2780' in Hypoxia; Cisplatin'	-1.2	0.0001560013300747	
ENSG00000110693	homo sapiens	E-GEOD-42781	'delta-her2 overexpression' vs 'control'	-1.2	0.000374074855967301	
ENSG00000110693	homo sapiens	E-MTAB-7061	'BRD9 homozygous knockout' vs 'wild type'	-1.2	0.00125967158607167	
ENSG00000110693	homo sapiens	E-GEOD-63452	'24 hour' vs '0 hour' in 'MCF-10A-H1047R'	-1.2	0.0209566159063495	
ENSG00000110693	homo sapiens	E-MTAB-11313	'ERO1 knockout' vs 'wild type genotype' in 'ISRIB; 2.5 milligram per kilogram and paclitaxel; 15 milligram per kilogram'	1.1	8.0249605011932e-7	
ENSG00000110693	homo sapiens	E-GEOD-55859	'acquired TRAIL-resistance' vs 'control'	-1.1	0.0000234081784253387	
ENSG00000110693	homo sapiens	E-MEXP-3911	'delta ex2/3p73 overexpression' vs 'empty vector'	-1.1	0.0000443731925729816	
ENSG00000110693	homo sapiens	E-TABM-1029	'FLT3-ITD present' vs 'wild type, FLT3-ITD absent'	-1.1	0.0000742076315570554	
ENSG00000110693	homo sapiens	E-MTAB-4054	'esophageal adenocarcinoma' vs 'Barrett’s esophagus; low-grade dysplasia'	-1.1	0.000195754862326063	
