Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000152284,TCF7L1,TCF7L1,homo sapiens,E-GEOD-21750,'malignant mesothelioma; wild type' vs 'normal; wild type',5.1,2.96527861262657e-10,
ENSG00000152284,TCF7L1,TCF7L1,homo sapiens,E-GEOD-52194,'non-triple-negative breast cancer; breast carcinoma' vs 'normal',-4.5,1.02510731842211e-25,
ENSG00000152284,TCF7L1,TCF7L1,homo sapiens,E-GEOD-51415,'tongue squamous cell carcinoma' vs 'normal' in 'vehicle',-3.9,1.25711141640895e-27,
ENSG00000152284,TCF7L1,TCF7L1,homo sapiens,E-GEOD-37003,'anti-m6A' vs 'none',-3.9,0.0159957077146598,
ENSG00000152284,TCF7L1,TCF7L1,homo sapiens,E-GEOD-68086,'hepatobiliary carcinoma' vs 'normal',-3.8,1.86765181844901e-8,
ENSG00000152284,TCF7L1,TCF7L1,homo sapiens,E-GEOD-68086,'breast carcinoma' vs 'normal',-3.6,1.90794616207635e-14,
ENSG00000152284,TCF7L1,TCF7L1,homo sapiens,E-GEOD-68086,'pancreatic adenocarcinoma' vs 'normal',-3.2,1.34919173684531e-10,
ENSG00000152284,TCF7L1,TCF7L1,homo sapiens,E-GEOD-52194,'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal',-3.2,3.09281511779469e-7,
ENSG00000152284,TCF7L1,TCF7L1,homo sapiens,E-GEOD-52194,'triple-negative breast cancer; breast carcinoma' vs 'normal',-3,2.20639243385461e-12,
ENSG00000152284,TCF7L1,TCF7L1,homo sapiens,E-GEOD-52707,'SKR6LR cells resistant to lapanitib' vs 'SKR6 cells with elevated HER2 expression',2.9,7.05004890085002e-8,
ENSG00000152284,TCF7L1,TCF7L1,homo sapiens,E-GEOD-38678,'CLF1' vs 'CLS1; co-culture with CAF to generate sphere',2.9,5.82852479813292e-7,
ENSG00000152284,TCF7L1,TCF7L1,homo sapiens,E-GEOD-68086,'non-small cell lung carcinoma' vs 'normal',-2.7,1.33741206706674e-10,
ENSG00000152284,TCF7L1,TCF7L1,homo sapiens,E-GEOD-68086,'colorectal carcinoma' vs 'normal',-2.7,4.45268377869661e-7,
ENSG00000152284,TCF7L1,TCF7L1,homo sapiens,E-MTAB-7518,'cisplatin; 100 micromolar' vs 'none' in 'TMEM45A knockdown by siRNA',-2.4,2.15884460236121e-22,
