Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000148737	homo sapiens	E-GEOD-7835	'deferoxamine; 100 nanomolar echinomycin' vs 'deferoxamine; none'	-5.1	1.83749156480794e-9	
ENSG00000148737	homo sapiens	E-GEOD-40776	'expressing O6-methylguanine methyltransferase' vs 'control'	4.3	0.0000204008558248412	
ENSG00000148737	homo sapiens	E-MTAB-3619	'UV' vs 'none' in '(no brct expression) GFP control'	-3.5	0.00000673600680458751	
ENSG00000148737	homo sapiens	E-MTAB-3619	'UV' vs 'none' in 'brct expression'	-3.3	8.45522565049484e-7	
ENSG00000148737	homo sapiens	E-MTAB-4054	'esophageal adenocarcinoma' vs 'normal'	3.1	6.09706719004272e-17	
ENSG00000148737	homo sapiens	E-GEOD-6400	'5 microgram per milliliter dose of actinomycin D' vs '5 percent dose of mannitol'	-3	2.63879415826415e-7	
ENSG00000148737	homo sapiens	E-MTAB-8480	'MEF2D-HNFNPUL1 knockdown by siRNA' vs 'luciferase siRNA'	2.8	4.21632917309517e-95	
ENSG00000148737	homo sapiens	E-GEOD-63776	'TCF7L2 siRNA' vs 'control'	-2.7	3.36159099617543e-238	
ENSG00000148737	homo sapiens	E-GEOD-45120	'epithelial-to-mesenchymal transition' vs 'normal'	2.7	0.00000593584116840626	
ENSG00000148737	homo sapiens	E-MTAB-1776	'EGR2-E356K' vs 'wild type genotype'	2.6	0.000239286072444947	
ENSG00000148737	homo sapiens	E-MTAB-4054	'Barrett’s esophagus; low-grade dysplasia' vs 'normal'	2.5	4.33253419542445e-13	
ENSG00000148737	homo sapiens	E-MTAB-7061	'HDAC1 homozygous knockout' vs 'wild type'	2.4	0.000957517305963576	
ENSG00000148737	homo sapiens	E-GEOD-52194	'triple-negative breast cancer; breast carcinoma' vs 'normal'	-2.3	4.946337826563e-9	
ENSG00000148737	homo sapiens	E-GEOD-18912	'resistant to BMS-554417' vs 'sensitive to BMS-554417'	2.3	2.00228608453796e-7	
ENSG00000148737	homo sapiens	E-GEOD-45042	'Human betacoronavirus 2c EMC/2012; 18 hour' vs 'mock; 24 hour'	-2.3	9.96126601321512e-7	
ENSG00000148737	homo sapiens	E-GEOD-52194	'non-triple-negative breast cancer; breast carcinoma' vs 'normal'	-2.3	0.00000979228956517695	
ENSG00000148737	homo sapiens	E-MTAB-5982	'Digoxin; 400 nanomolar' vs 'DMSO'	2.2	1.42466379223657e-65	
ENSG00000148737	homo sapiens	E-GEOD-44077	'lung carcinoma' vs 'normal'	-2.2	2.68750305310317e-30	
ENSG00000148737	homo sapiens	E-MTAB-7518	'cisplatin; 100 micromolar' vs 'none' in 'TMEM45A knockdown by siRNA'	-2.2	4.42246232173343e-20	
ENSG00000148737	homo sapiens	E-GEOD-1417	'camptothecin' vs 'none'	-2.2	0.000014681154287505	
ENSG00000148737	homo sapiens	E-GEOD-27473	'estrogen receptor alpha knockdown' vs 'control'	2.1	6.43829536590062e-8	
ENSG00000148737	homo sapiens	E-GEOD-22334	'cells p16-transfected' vs 'control'	-2	0.00105507341414576	
ENSG00000148737	homo sapiens	E-MTAB-7061	'PI4KB homozygous knockout' vs 'wild type'	2	0.0203760555138056	
ENSG00000148737	homo sapiens	E-GEOD-45042	'Human betacoronavirus 2c EMC/2012' vs 'mock' at '24 hour'	-1.9	3.68851680993798e-7	
ENSG00000148737	homo sapiens	E-MEXP-567	'astrocytoma' vs 'normal'	1.9	0.00357974380052403	
ENSG00000148737	homo sapiens	E-GEOD-68086	'breast carcinoma' vs 'normal'	-1.8	1.93690626451305e-7	
ENSG00000148737	homo sapiens	E-GEOD-68086	'non-small cell lung carcinoma' vs 'normal'	-1.8	6.50702244344552e-7	
ENSG00000148737	homo sapiens	E-MTAB-9767	"after autologous stem cell transplantation" vs "before autologous stem cell transplantation"	1.8	0.00000668487771309738	
ENSG00000148737	homo sapiens	E-GEOD-43049	'Apical anaerobic' vs 'Conventional'	1.7	0.0000164398122268303	
ENSG00000148737	homo sapiens	E-GEOD-26966	'pituitary cancer' vs 'normal'	-1.7	0.0000311190172012334	
ENSG00000148737	homo sapiens	E-GEOD-8717	'herpes simplex virus G207' vs 'none'	1.7	0.00392537978944793	
ENSG00000148737	homo sapiens	E-GEOD-21422	'invasive ductal carcinoma' vs 'normal'	-1.7	0.0234842978412895	
ENSG00000148737	homo sapiens	E-MTAB-7518	'cisplatin; 100 micromolar' vs 'none' in 'scrambled siRNA'	-1.6	1.45513697770651e-12	
ENSG00000148737	homo sapiens	E-GEOD-54002	'breast cancer' vs 'normal'	-1.6	1.04848408650815e-7	
ENSG00000148737	homo sapiens	E-GEOD-68086	'pancreatic adenocarcinoma' vs 'normal'	-1.6	0.00000292420293790985	
ENSG00000148737	homo sapiens	E-GEOD-45417	'PMA' vs 'vehicle' in 'ZXDC1 knockdown'	1.6	0.00000502649291192993	
ENSG00000148737	homo sapiens	E-MTAB-688	'MOF siRNA' vs 'control siRNA' in 'FOXP3 expression'	-1.6	0.0000106694298350695	
ENSG00000148737	homo sapiens	E-GEOD-45581	'non-inflammatory breast cancer' vs 'normal'	-1.6	0.0138120358137098	
