Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000164362	homo sapiens	E-MTAB-10304	'lapatinib; 500 nanomolar; 7 day' vs 'dimethyl sulfoxide; 1 day'	-5.9	1.09768254882468e-28	
ENSG00000164362	homo sapiens	E-GEOD-48812	'DMSO; prostate carcinoma' at '6 hour' vs 'DMSO; normal' at '6 hour'	5.7	0.0000109504855339914	
ENSG00000164362	homo sapiens	E-GEOD-63452	'12 hour' vs '0 hour' in 'MCF-10A-H1047R'	5.6	2.29214618887346e-13	
ENSG00000164362	homo sapiens	E-MTAB-8677	'SPI1 -/-' vs 'SPI1 +/+'	-5.5	0	
ENSG00000164362	homo sapiens	E-MTAB-5243	'ZEB1 knockout' vs 'wild type'	-5.5	0.000187822489043106	
ENSG00000164362	homo sapiens	E-GEOD-65485	'neoplasm' vs 'normal tissue adjacent to neoplasm'	5.3	5.1010892152463e-7	
ENSG00000164362	homo sapiens	E-GEOD-63452	'24 hour' vs '0 hour' in 'MCF-10A-H1047R'	5.2	1.93061544151816e-12	
ENSG00000164362	homo sapiens	E-MTAB-6957	'non small cell lung carcinoma neoplasm' vs 'normal tissue adjacent to neoplasm'	5	8.59738311305041e-19	
ENSG00000164362	homo sapiens	E-GEOD-33294	'liver tumor' vs 'adjacent non-tumor tissue'	5	0.000204925609800916	
ENSG00000164362	homo sapiens	E-GEOD-48812	'DMSO; prostate carcinoma' at '24 hour' vs 'DMSO; normal' at '24 hour'	4.9	0.000223336450630368	
ENSG00000164362	homo sapiens	E-GEOD-81089	'tumor tissue' vs 'non-malignant tissue'	4	1.07801534956962e-10	
ENSG00000164362	homo sapiens	E-GEOD-55048	'tumor' vs 'paratumoral tissue'	4	0.000242411640676014	
ENSG00000164362	homo sapiens	E-GEOD-63816	'erythroleukemia; ZRSR2 shRNA' vs 'normal'	3.9	4.02238895983545e-14	
ENSG00000164362	homo sapiens	E-GEOD-68086	'breast carcinoma' vs 'normal'	-3.9	1.49706281192517e-13	
ENSG00000164362	homo sapiens	E-MTAB-9209	'5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide; 0.4 millimolar' vs 'none'	-3.9	1.04882217315315e-9	
ENSG00000164362	homo sapiens	E-GEOD-63452	'12 hour' vs '0 hour' in 'MCF-10A'	3.8	3.11656452305826e-11	
ENSG00000164362	homo sapiens	E-MTAB-5316	'CD40L; 500 nanogram per milliliter' vs 'DMSO' in 'HL-60; acute promyelocytic leukemia'	3.7	1.23193958624924e-58	
ENSG00000164362	homo sapiens	E-MTAB-10304	'lapatinib; 500 nanomolar; 1 day' vs 'dimethyl sulfoxide; 1 day'	-3.7	3.45475030103441e-20	
ENSG00000164362	homo sapiens	E-GEOD-48433	'HL-60(TB); promyelocytic leukemia; P04' vs 'HL-60(TB); promyelocytic leukemia; P0'	3.6	3.57256898134678e-7	
ENSG00000164362	homo sapiens	E-MTAB-10317	'lapatinib; 500 nanomolar' vs 'none' in 'PPARGC1A siRNA'	-3.5	5.95589293753541e-12	
ENSG00000164362	homo sapiens	E-MTAB-10304	'lapatinib; 500 nanomolar; 35 day' vs 'dimethyl sulfoxide; 1 day'	-3.4	1.03366729651196e-16	
ENSG00000164362	homo sapiens	E-GEOD-59612	'contrast-enhancing core; glioma' vs 'normal'	3.4	7.8581066698194e-12	
ENSG00000164362	homo sapiens	E-GEOD-68086	'colorectal carcinoma' vs 'normal'	-3.4	8.75736897096163e-10	
ENSG00000164362	homo sapiens	E-GEOD-48433	'HL-60(TB); promyelocytic leukemia; P01' vs 'HL-60(TB); promyelocytic leukemia; P0'	3.4	5.2005766643037e-9	
ENSG00000164362	homo sapiens	E-MTAB-7453	'PLX4720; 1 micromolar' vs 'none'	-3.4	0.00247278347369026	
ENSG00000164362	homo sapiens	E-GEOD-48812	'sulforaphane; prostate carcinoma' at '6 hour' vs 'sulforaphane; normal' at '6 hour'	3.4	0.0157759483843936	
ENSG00000164362	homo sapiens	E-GEOD-68086	'pancreatic adenocarcinoma' vs 'normal'	-3.3	1.86793854819192e-8	
ENSG00000164362	homo sapiens	E-MTAB-567	'tumor tissue' vs 'adjacent non-tumor tissue'	3.3	0.000570520146700572	
ENSG00000164362	homo sapiens	E-MTAB-8677	'SPI1 +/-' vs 'SPI1 +/+'	-3.1	0	
ENSG00000164362	homo sapiens	E-MTAB-10317	'lapatinib; 500 nanomolar' vs 'none' in 'scrambled siRNA'	-3.1	1.49031421939923e-9	
ENSG00000164362	homo sapiens	E-MTAB-7061	'BRD4 homozygous knockout' vs 'wild type'	-3	3.73663542273119e-8	
ENSG00000164362	homo sapiens	E-GEOD-48433	'HL-60(TB); promyelocytic leukemia; P10' vs 'HL-60(TB); promyelocytic leukemia; P0'	3	8.67307238114327e-7	
ENSG00000164362	homo sapiens	E-CURD-45	'neoplasm' vs 'normal tissue adjacent to neoplasm'	3	0.0163336587540442	
ENSG00000164362	homo sapiens	E-GEOD-60052	'small cell lung carcinoma' vs 'normal'	2.9	0.00281176014119324	
ENSG00000164362	homo sapiens	E-GEOD-63452	'24 hour' vs '0 hour' in 'MCF-10A'	2.7	0.00142236226437017	
ENSG00000164362	homo sapiens	E-GEOD-21668	'early mesodermal progenitors' vs 'undifferentiated cells'	-2.6	1.30315395945851e-7	
ENSG00000164362	homo sapiens	E-MTAB-4054	'esophageal adenocarcinoma' vs 'normal'	2.6	0.0000214783268398525	
ENSG00000164362	homo sapiens	E-MTAB-7518	'cisplatin; 100 micromolar' vs 'none' in 'TMEM45A knockdown by siRNA'	2.5	5.59346455546136e-30	
ENSG00000164362	homo sapiens	E-MTAB-5982	'Digoxin; 400 nanomolar' vs 'DMSO'	-2.5	0.000677761274443455	
ENSG00000164362	homo sapiens	E-GEOD-68086	'hepatobiliary carcinoma' vs 'normal'	-2.4	0.00108450824731397	
ENSG00000164362	homo sapiens	E-MTAB-5917	'phorbol 13-acetate 12-myristate; 100 nanomolar' at '3 day' vs 'none' at '0 day' in 'none'	-2.3	6.26211809538335e-7	
ENSG00000164362	homo sapiens	E-GEOD-68086	'non-small cell lung carcinoma' vs 'normal'	-2.3	6.45843318962215e-7	
ENSG00000164362	homo sapiens	E-MTAB-5917	'phorbol 13-acetate 12-myristate; 100 nanomolar; lipopolysaccharide; 1 day' vs 'none; none; 0 day'	-2.3	0.0000142499733020429	
ENSG00000164362	homo sapiens	E-MTAB-5917	'phorbol 13-acetate 12-myristate; 100 nanomolar; lipopolysaccharide and interferon gamma; 1 day' vs 'none; none; 0 day'	-2.2	0.00000774485203480353	
ENSG00000164362	homo sapiens	E-MTAB-5917	'phorbol 13-acetate 12-myristate; 100 nanomolar; interferon gamma; 1 day' vs 'none; 3 day' in 'none; none; 0 day'	-2.2	0.0000405175682747089	
ENSG00000164362	homo sapiens	E-MTAB-5917	'phorbol 13-acetate 12-myristate; 100 nanomolar; interleukin-4; 2 day' vs 'none; 3 day' in 'none; none; 0 day'	-2.1	0.0000114717425835814	
ENSG00000164362	homo sapiens	E-MTAB-5917	'phorbol 13-acetate 12-myristate; 100 nanomolar; interleukin-4 and interleukin-13; 2 day' vs 'none; none; 0 day'	-2.1	0.0000168314451620729	
ENSG00000164362	homo sapiens	E-MTAB-6564	'RNPS1 knockdown and rescue with RNPS1 loss of function mutant' vs 'wild type phenotype'	-2.1	0.000279368376362647	
ENSG00000164362	homo sapiens	E-GEOD-63452	'6 hour' vs '0 hour' in 'MCF-10A-H1047R'	2.1	0.00247418999113327	
ENSG00000164362	homo sapiens	E-MTAB-5285	'gefitinib; 24 hour' vs 'none; 2 hour'	-2.1	0.00397402353999626	
ENSG00000164362	homo sapiens	E-GEOD-22139	'DAOY M2.1; MYC knockdown' vs 'DAOY; siRNA scambled'	-2	1.56769770280058e-7	
ENSG00000164362	homo sapiens	E-MTAB-4771	'astrocyte overexpressing 7 genes' vs 'glioblastoma cell line'	2	0.000115386096335627	
ENSG00000164362	homo sapiens	E-GEOD-59612	'non-enhancing margin; glioma' vs 'normal'	2	0.000555991447690929	
ENSG00000164362	homo sapiens	E-GEOD-55092	'neoplasm' vs 'normal tissue adjacent to neoplasm' in 'liver'	1.9	1.86938243864587e-11	
ENSG00000164362	homo sapiens	E-GEOD-68086	'glioblastoma' vs 'normal'	-1.9	0.000121886057339996	
ENSG00000164362	homo sapiens	E-MTAB-7518	'cisplatin; 100 micromolar' vs 'none' in 'scrambled siRNA'	1.8	1.22062914417453e-10	
ENSG00000164362	homo sapiens	E-GEOD-48433	'NCI-H460; large cell lung carcinoma; P01' vs 'NCI-H460; large cell lung carcinoma; P0'	1.8	6.7658791740598e-9	
ENSG00000164362	homo sapiens	E-GEOD-48433	'CCRF-CEM; acute lymphoblastic (T-ALL) leukemia; P10' vs 'CCRF-CEM; acute lymphoblastic (T-ALL) leukemia; P0'	1.8	0.00000745578057247256	
ENSG00000164362	homo sapiens	E-GEOD-48433	'K-562; chronic myelogenous (blast crisis) leukemia; P10' vs 'K-562; chronic myelogenous (blast crisis) leukemia; P0'	1.8	0.000136620892757876	
ENSG00000164362	homo sapiens	E-GEOD-48812	'sulforaphane; prostate carcinoma' at '6 hour' vs 'DMSO; prostate carcinoma' at '6 hour'	-1.7	2.14657034101403e-11	
ENSG00000164362	homo sapiens	E-MTAB-6087	'hypoxia' vs 'normoxia' in '93T449'	1.7	0.0000114897425069321	
ENSG00000164362	homo sapiens	E-GEOD-30296	'stable expression of BRCA1' vs 'empty vector'	-1.6	6.26298918571555e-8	
ENSG00000164362	homo sapiens	E-GEOD-48812	'sulforaphane; prostate carcinoma' at '24 hour' vs 'DMSO; prostate carcinoma' at '24 hour'	-1.5	1.1158758501357e-8	
ENSG00000164362	homo sapiens	E-MTAB-7294	'Enzalutamide, 1 micromolar' vs 'vehicle' at '48 hour'	-1.5	2.43356306008069e-7	
ENSG00000164362	homo sapiens	E-MTAB-8579	'ERBB2 siRNA' vs 'scrambled siRNA'	-1.5	0.00000154142229039878	
ENSG00000164362	homo sapiens	E-GEOD-51403	'17beta-estradiol; 10 nanomolar' vs 'vehicle'	1.5	0.00000217332889289788	
ENSG00000164362	homo sapiens	E-GEOD-22139	'DAOY M14; MYC overexpression' vs 'DAOY; vector control'	1.5	0.000034663751853776	
ENSG00000164362	homo sapiens	E-MTAB-4771	'astrocyte overexpressing 4 genes' vs 'glioblastoma cell line'	1.5	0.00284357938073359	
ENSG00000164362	homo sapiens	E-MTAB-2610	'FL4' vs 'T24'	1.5	0.0176491972973751	
ENSG00000164362	homo sapiens	E-GEOD-48433	'CCRF-CEM; acute lymphoblastic (T-ALL) leukemia; P04' vs 'CCRF-CEM; acute lymphoblastic (T-ALL) leukemia; P0'	1.4	0.0000234863285541714	
ENSG00000164362	homo sapiens	E-GEOD-22139	'DAOY M14; MYC overexpression' vs 'DAOY; wild type'	1.4	0.0000554329486154393	
ENSG00000164362	homo sapiens	E-MTAB-7354	'hypoxia' vs 'normoxia' at '7 day'	-1.4	0.000236229984905643	
ENSG00000164362	homo sapiens	E-GEOD-41586	'5-aza-deoxy-cytidine; 5 micromolar' vs 'none'	1.4	0.00487327500898171	
ENSG00000164362	homo sapiens	E-MTAB-7886	'SPRY1 knockdown by siRNA' vs 'none'	1.3	0.0000336406108809978	
ENSG00000164362	homo sapiens	E-MTAB-11313	'ERO1 knockout' vs 'wild type genotype' in 'ISRIB; 2.5 milligram per kilogram and paclitaxel; 15 milligram per kilogram'	-1.3	0.000567861061039296	
ENSG00000164362	homo sapiens	E-GEOD-58252	'Snail overexpression' vs 'control'	1.3	0.000711041699671763	
ENSG00000164362	homo sapiens	E-GEOD-48433	'CCRF-CEM; acute lymphoblastic (T-ALL) leukemia; P01' vs 'CCRF-CEM; acute lymphoblastic (T-ALL) leukemia; P0'	1.3	0.000768873219254159	
ENSG00000164362	homo sapiens	E-MTAB-7808	'doxycycline' vs 'none' in 'Caki1'	-1.3	0.00571084271683834	
ENSG00000164362	homo sapiens	E-MTAB-7847	'AD80; 0.05 micromolar' vs 'vehicle' in 'HuH-7'	-1.2	1.99471768043991e-12	
ENSG00000164362	homo sapiens	E-MTAB-2758	'osmium-based compound' vs 'control' at '48 hour'	1.2	5.1774538084389e-12	
ENSG00000164362	homo sapiens	E-MTAB-108	'transfection with GFP-FOXP3 cDNA' vs 'transfection with GFP cDNA'	-1.2	0.0000697783974604861	
ENSG00000164362	homo sapiens	E-GEOD-22139	'DAOY M2.1; MYC overexpression' vs 'DAOY; vector control'	1.2	0.000129389544038092	
ENSG00000164362	homo sapiens	E-GEOD-48433	'NCI-H460; large cell lung carcinoma; P04' vs 'NCI-H460; large cell lung carcinoma; P0'	1.2	0.000187452625184092	
ENSG00000164362	homo sapiens	E-GEOD-22139	'DAOY M2.1; MYC overexpression' vs 'DAOY; wild type'	1.2	0.00020785136448781	
ENSG00000164362	homo sapiens	E-GEOD-49644	'TGFb-induced epithelial-mesenchymal transition' vs 'normal' in 'NCI-H358'	1.2	0.000235008706106176	
ENSG00000164362	homo sapiens	E-MTAB-4771	'astrocyte overexpressing 7 genes' vs 'glioma stem cell line'	1.2	0.000240018359925472	
ENSG00000164362	homo sapiens	E-MTAB-6485	'neratinib; 250 nanomolar' vs 'none'	-1.2	0.0367441789468668	
ENSG00000164362	homo sapiens	E-MTAB-7025	'THZ1 (35 nanomolar)' vs 'none'	-1.2	0.0481655422811572	
ENSG00000164362	homo sapiens	E-GEOD-40595	'ovarian cancer' vs 'normal' in 'stromal cell'	-1.1	0.00000370361359555074	
ENSG00000164362	homo sapiens	E-GEOD-23031	'ribavirin 100 microgram per milliliter' vs 'phosphate buffered saline'	-1.1	0.00000749122922773574	
ENSG00000164362	homo sapiens	E-MTAB-7294	'SR2211, 1 micromolar' vs 'vehicle' at '48 hour'	-1.1	0.0000504895144960694	
ENSG00000164362	homo sapiens	E-MTAB-6598	'interferon alpha; 1000 international units per millliter' vs 'none' in 'K562; lymphoblast'	1.1	0.00534457138501685	
ENSG00000164362	homo sapiens	E-GEOD-50760	'colorectal cancer metastatic in the liver' vs 'normal'	1.1	0.0291883728679178	
ENSG00000164362	homo sapiens	E-MTAB-5873	'MED13 and MED13L knockdown by siRNA' vs 'wild type phenotype'	-1	4.68990100067349e-7	
ENSG00000164362	homo sapiens	E-MTAB-9207	'KRAS-G13D expression' vs 'wild type genotype' in 'CFIm25 siRNA'	1	6.10561366562693e-7	
ENSG00000164362	homo sapiens	E-MTAB-3645	'Cisplatin' vs 'None' in 'A2780; Hypoxia'	-1	0.000331370367948031	
ENSG00000164362	homo sapiens	E-MTAB-5690	'DMSO-mediated cell differentiation during experiment' vs 'not cultured with DMSO' in 'none'	-1	0.000502607967187011	
ENSG00000164362	homo sapiens	E-GEOD-59020	'treated with MEK inhibitor U0126' vs 'control'	-1	0.00511337139255529	
ENSG00000164362	homo sapiens	E-MTAB-7808	'doxycycline' vs 'none' in '769P'	-1	0.00585525760064118	
ENSG00000164362	homo sapiens	E-MTAB-7033	'p63 knockdown by siRNA' vs 'scrambled siRNA' in 'BxPC-3'	-1	0.0146844324967828	
