Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000106829,TLE4,TLE4,homo sapiens,E-MTAB-5537,'estrogen receptor alpha shRNA' vs 'scrambled shRNA',-8,1.43307934060166e-12,
ENSG00000106829,TLE4,TLE4,homo sapiens,E-GEOD-51415,'tongue squamous cell carcinoma' vs 'normal' in 'vehicle',-5.7,3.73292923205906e-49,
ENSG00000106829,TLE4,TLE4,homo sapiens,E-MTAB-3645,'A2780cis' vs 'A2780' in Normoxia; None',-5.2,2.08228654066282e-10,
ENSG00000106829,TLE4,TLE4,homo sapiens,E-MTAB-3645,'A2780cis' vs 'A2780' in Hypoxia; Cisplatin',-5,7.64241232518692e-9,
ENSG00000106829,TLE4,TLE4,homo sapiens,E-MTAB-3645,'A2780cis' vs 'A2780' in Normoxia; Cisplatin',-4.9,1.45958511079181e-9,
ENSG00000106829,TLE4,TLE4,homo sapiens,E-MTAB-3645,'A2780cis' vs 'A2780' in Hypoxia; None',-4.7,1.87621078187575e-10,
ENSG00000106829,TLE4,TLE4,homo sapiens,E-GEOD-52707,'SKR6LR cells resistant to lapanitib' vs 'SKR6 cells with elevated HER2 expression',4,4.06263887878914e-8,
ENSG00000106829,TLE4,TLE4,homo sapiens,E-GEOD-40584,'Nkx2-1 overexpression' vs 'wild type',-3.4,8.28132465653544e-9,
ENSG00000106829,TLE4,TLE4,homo sapiens,E-GEOD-48812,'sulforaphane; prostate carcinoma' at '6 hour' vs 'sulforaphane; normal' at '6 hour',-3.2,0.00409709806856608,
ENSG00000106829,TLE4,TLE4,homo sapiens,E-GEOD-52194,'non-triple-negative breast cancer; breast carcinoma' vs 'normal',-2.9,6.34153948081028e-10,
ENSG00000106829,TLE4,TLE4,homo sapiens,E-GEOD-45120,'epithelial-to-mesenchymal transition' vs 'normal',2.9,3.82811666172111e-7,
ENSG00000106829,TLE4,TLE4,homo sapiens,E-GEOD-63816,'erythroleukemia; ZRSR2 shRNA' vs 'normal',-2.8,0.0000014226365170879,
ENSG00000106829,TLE4,TLE4,homo sapiens,E-GEOD-48812,'DMSO; prostate carcinoma' at '6 hour' vs 'DMSO; normal' at '6 hour',-2.8,0.0486323787832334,
ENSG00000106829,TLE4,TLE4,homo sapiens,E-MTAB-11620,'poly I:C' vs 'mock' in 'ncgRNA',2.6,0.000942599368029725,
ENSG00000106829,TLE4,TLE4,homo sapiens,E-GEOD-52194,'triple-negative breast cancer; breast carcinoma' vs 'normal',-2.5,0.00000561270204251836,
ENSG00000106829,TLE4,TLE4,homo sapiens,E-GEOD-41678,'MDAMB231; cocultured with fibroblast Wi38' vs 'MDAMB231; normal',2.4,6.76251095401138e-8,
ENSG00000106829,TLE4,TLE4,homo sapiens,E-MTAB-7808,'doxycycline' vs 'none' in '769P',2.2,5.39123132028262e-139,
