Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-GEOD-63252,'wild type; BREFELDIN A' vs 'wild type; control',3.6,0.000451814430133288,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-GEOD-7835,'deferoxamine; 100 nanomolar echinomycin' vs 'deferoxamine; none',-2.7,8.79338196014941e-8,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-GEOD-48433,'HCT-116; colon carcinoma; P10' vs 'HCT-116; colon carcinoma; P0',-2.6,1.71738983420461e-7,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-GEOD-63252,'DICERER5/EX5; tunicamycin' vs 'DICERER5/EX5; control',2.6,0.0030441097863196,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-GEOD-63252,'wild type; tunicamycin' vs 'wild type; control',2.4,0.0125516538364146,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-GEOD-12854,'PKA RI-alpha over expression' vs 'wild type',-2.3,0.0000903783079034665,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-GEOD-29598,'infected with adenovirus expressing RAS; ; messageAmp Premier methodology' vs 'infected with adenovirus expressing RAS; ; normal',-2.2,4.42008427502949e-12,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-MTAB-3619,'UV' vs 'none' in '(no brct expression) GFP control',-2.2,0.000601421042533217,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-GEOD-29598,'infected with adenovirus expressing MYC; ; messageAmp Premier methodology' vs 'infected with adenovirus expressing MYC; ; normal',-2.1,7.08395171983837e-12,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-GEOD-68086,'colorectal carcinoma' vs 'normal',-2,4.57598181399005e-14,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-GEOD-38678,'CLF1' vs 'CLS1; co-culture with CAF to generate sphere',-1.9,1.21069757701384e-7,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-MTAB-3619,'UV' vs 'none' in 'brct expression',-1.9,0.000147468110644763,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-GEOD-68086,'pancreatic adenocarcinoma' vs 'normal',-1.7,3.37756899636414e-8,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-GEOD-22334,'cells p16-transfected' vs 'control',-1.7,0.0000590649502525466,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-MTAB-9712,'RRx-1; 20 micromolar' vs 'none',-1.6,1.6746738586471e-114,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-GEOD-29598,'infected with adenovirus expressing GFP; ; messageAmp Premier methodology' vs 'infected with adenovirus expressing GFP; ; normal',-1.6,1.87017228728006e-8,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-MEXP-1072,'poliovirus' vs 'mock',-1.6,0.00000181006416976549,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-GEOD-11941,'100 microgram per milliliter trovafloxacin' vs 'none',1.6,0.0000184136650404642,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-MTAB-6401,'high Twist expression; weak Slug expression' vs 'low Twist expression; strong Slug expression' in 'angioimmunoblastic T-cell lymphoma',-1.5,0.00978729890573693,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-GEOD-63452,'6 hour' vs '0 hour' in 'MCF-10A-H1047R',-1.4,5.47031324465457e-30,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-GEOD-35493,"'medulloblastoma, large-cell' vs 'normal'",-1.4,0.00250626714922103,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-GEOD-37136,'transduced with HOXA1' vs 'control',-1.4,0.00270471992993831,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-GEOD-22772,'expression of a dominant negative form of MAML1' vs 'control',1.4,0.0205977913844062,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-MTAB-7518,'cisplatin; 100 micromolar' vs 'none' in 'TMEM45A knockdown by siRNA',-1.3,6.87062846201288e-26,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-MTAB-7518,'cisplatin; 100 micromolar' vs 'none' in 'scrambled siRNA',-1.3,2.69499530911014e-24,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-GEOD-68086,'breast carcinoma' vs 'normal',-1.3,0.00000186185857904342,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-GEOD-68086,'non-small cell lung carcinoma' vs 'normal',-1.3,0.00000812045348600235,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-GEOD-22772,'overexpression of Deltex1' vs 'control',1.3,0.00495708979368322,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-MTAB-4054,'Barrett’s esophagus; low-grade dysplasia' vs 'normal',-1.2,1.15790802534651e-23,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-GEOD-30516,'BT20; 6 hour' vs 'BT20; 0 hour',1.2,0.0126355393865112,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-MTAB-688,'MOF siRNA' vs 'control siRNA' in 'FOXP3 expression',-1.1,0.00000798468880418429,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-MTAB-3645,'A2780cis' vs 'A2780' in Normoxia; None',-1.1,0.00000865703733862986,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-MTAB-3645,'Cisplatin' vs 'None' in 'A2780cis; Normoxia',1.1,0.0000393465658904154,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-GEOD-40595,'ovarian cancer' vs 'normal' in 'epithelial cell',-1.1,0.000141295804243604,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-MEXP-1482,'miR15a/miR16-1' vs 'empty vector',-1.1,0.000199400132487516,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-GEOD-12854,'PKA RII-beta over expression' vs 'wild type',-1.1,0.00021869894513976,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-MTAB-5102,'154; 1 micromolar' vs 'DMSO',1.1,0.000437779371039603,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-GEOD-48433,'HCT-116; colon carcinoma; P04' vs 'HCT-116; colon carcinoma; P0',-1.1,0.0289093337217668,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-MTAB-5982,'Digoxin; 400 nanomolar' vs 'DMSO',1,6.08754589672073e-26,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-MTAB-4054,'esophageal adenocarcinoma' vs 'normal',-1,5.45920861329715e-15,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-GEOD-33267,'SARS coronavirus Urbani ΔORF6 mutant' vs 'mock' at '54 hour',1,0.00000609412118287737,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-GEOD-33267,'SARS coronavirus Urbani ΔORF6 mutant' vs 'mock' at '48 hour',1,0.0000213500376611404,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-GEOD-48433,'AsPC-1; pancreatic adenocarcinoma; P01' vs 'AsPC-1; pancreatic adenocarcinoma; P0',-1,0.0000220775284125206,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-MTAB-339,'17-(allylamino)-17-demethosygeldanamycin (17-AAG); 3 micromolar' vs 'none; 0 micromolar',1,0.0000268178767005071,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-GEOD-26262,'mutant-p53 knockout' vs 'control',-1,0.0000574692504928066,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-MTAB-3645,'A2780cis' vs 'A2780' in Hypoxia; None',-1,0.0000579309247709987,
ENSG00000107854,TNKS2,TNKS2,homo sapiens,E-MTAB-3645,'Hypoxia' vs 'Normoxia' in 'A2780cis; None',1,0.0000678073626721865,
