Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000090905	homo sapiens	E-GEOD-63252	'wild type; BREFELDIN A' vs 'wild type; control'	2.4	0.00326159986399669	
ENSG00000090905	homo sapiens	E-GEOD-68086	'non-small cell lung carcinoma' vs 'normal'	-2.3	1.73714785123425e-25	
ENSG00000090905	homo sapiens	E-GEOD-63252	'p53KO; tunicamycin' vs 'p53KO; control'	2.3	0.0112279206971423	
ENSG00000090905	homo sapiens	E-MTAB-9712	'RRx-1; 20 micromolar' vs 'none'	-2.2	8.68331998007832e-127	
ENSG00000090905	homo sapiens	E-GEOD-68086	'breast carcinoma' vs 'normal'	-2.2	1.21354041440051e-23	
ENSG00000090905	homo sapiens	E-GEOD-68086	'colorectal carcinoma' vs 'normal'	-2.2	8.1012300269567e-19	
ENSG00000090905	homo sapiens	E-GEOD-40595	'ovarian cancer' vs 'normal' in 'epithelial cell'	-2.1	3.19494630199657e-11	
ENSG00000090905	homo sapiens	E-GEOD-11941	'100 microgram per milliliter trovafloxacin' vs 'none'	2.1	0.0000193748361772968	
ENSG00000090905	homo sapiens	E-GEOD-68086	'pancreatic adenocarcinoma' vs 'normal'	-2	8.45368875783869e-19	
ENSG00000090905	homo sapiens	E-GEOD-68086	'hepatobiliary carcinoma' vs 'normal'	-2	8.71207473528068e-9	
ENSG00000090905	homo sapiens	E-GEOD-6400	'5 microgram per milliliter dose of actinomycin D' vs '5 percent dose of mannitol'	-2	0.00000252704166185047	
ENSG00000090905	homo sapiens	E-GEOD-63252	'wild type; tunicamycin' vs 'wild type; control'	2	0.0166545387576751	
ENSG00000090905	homo sapiens	E-GEOD-7835	'deferoxamine; 100 nanomolar echinomycin' vs 'deferoxamine; none'	-1.9	0.00000421023558332809	
ENSG00000090905	homo sapiens	E-GEOD-63252	'DICERER5/EX5; tunicamycin' vs 'DICERER5/EX5; control'	1.9	0.0097915086488341	
ENSG00000090905	homo sapiens	E-GEOD-6400	'2.25 micromolar dose of sapphyrin PCI-2050' vs '5 percent dose of mannitol'	-1.6	0.000148119847773319	
ENSG00000090905	homo sapiens	E-GEOD-63776	'TCF7L2 siRNA' vs 'control'	1.4	1.69491247932846e-128	
ENSG00000090905	homo sapiens	E-MTAB-7518	'cisplatin; 100 micromolar' vs 'none' in 'TMEM45A knockdown by siRNA'	-1.4	2.72013761837446e-41	
ENSG00000090905	homo sapiens	E-GEOD-39733	'SDS3 knockdown' vs 'scrambled siRNA'	1.4	0.00000213196604356535	
ENSG00000090905	homo sapiens	E-MTAB-7518	'cisplatin; 100 micromolar' vs 'none' in 'scrambled siRNA'	-1.3	8.75963828187382e-31	
ENSG00000090905	homo sapiens	E-GEOD-68086	'glioblastoma' vs 'normal'	-1.3	0.00000117576529186846	
ENSG00000090905	homo sapiens	E-GEOD-21668	'early mesodermal progenitors' vs 'undifferentiated cells'	-1.2	0.00000560980343201359	
ENSG00000090905	homo sapiens	E-GEOD-48433	'MOLT-4; acute lymphoblastic leukemia; P04' vs 'MOLT-4; acute lymphoblastic leukemia; P0'	-1.2	0.0000518607647474834	
ENSG00000090905	homo sapiens	E-GEOD-22973	'phorbol 13-acetate 12-myristate; 1 micromolar' vs 'none' in 'BxPC-3'	-1.2	0.000663412803636973	
ENSG00000090905	homo sapiens	E-GEOD-21354	'oligodendroglioma' vs 'normal'	1.2	0.00562184637532636	
ENSG00000090905	homo sapiens	E-MTAB-7591	'SOX2 overexpression' vs 'wild type' in 'U-2982'	1.1	3.38350860139042e-149	
ENSG00000090905	homo sapiens	E-MTAB-9848	'ZNF84 siRNA' vs 'scrambled siRNA' in 'none'	1.1	7.4481240742029e-25	
ENSG00000090905	homo sapiens	E-GEOD-39733	'FAM60A knockdown' vs 'scrambled siRNA'	1.1	6.47959738628061e-8	
ENSG00000090905	homo sapiens	E-GEOD-48433	'MOLT-4; acute lymphoblastic leukemia; P01' vs 'MOLT-4; acute lymphoblastic leukemia; P0'	-1.1	5.99015644863513e-7	
ENSG00000090905	homo sapiens	E-GEOD-52194	'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal'	1.1	0.00321413643892539	
ENSG00000090905	homo sapiens	E-GEOD-21354	'astrocytic glioma' vs 'normal'	1.1	0.0196258734717081	
ENSG00000090905	homo sapiens	E-GEOD-49608	'7 hour' vs '0 hour' in 'MDA-LM2'	-1	2.13654019657166e-89	
ENSG00000090905	homo sapiens	E-GEOD-56788	'DPPA5 knock-down' vs 'mock'	1	2.90803251158076e-19	
ENSG00000090905	homo sapiens	E-MTAB-9848	'ZNF84 siRNA' vs 'scrambled siRNA' in 'doxorubicin; 100 nanomolar'	1	8.90441884491094e-12	
ENSG00000090905	homo sapiens	E-GEOD-48433	'MOLT-4; acute lymphoblastic leukemia; P10' vs 'MOLT-4; acute lymphoblastic leukemia; P0'	-1	0.000015019392042111	
ENSG00000090905	homo sapiens	E-GEOD-41827	'casiopeina II-gly' vs 'control'	-1	0.0000227673919443009	
ENSG00000090905	homo sapiens	E-GEOD-31782	'JMJD6 over-expressed; MCF-7' vs 'control; MCF-7'	1	0.0000850695030126222	
ENSG00000090905	homo sapiens	E-MTAB-5537	'estrogen receptor alpha shRNA' vs 'scrambled shRNA'	-1	0.000573722324012865	
ENSG00000090905	homo sapiens	E-GEOD-51258	'doxyxylcline-mediated overexpression of ERG' vs 'control'	-1	0.00357836977680811	
ENSG00000090905	homo sapiens	E-MEXP-2280	'progressive supranuclear palsy' vs 'normal'	-1	0.00755107988340042	
ENSG00000090905	homo sapiens	E-MEXP-1372	'cooked broccoli' at '0 minute' vs 'water'	-1	0.00798308190921814	
