Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000114251	homo sapiens	E-GEOD-52707	'SKR6LR cells resistant to lapanitib' vs 'SKR6 cells with elevated HER2 expression'	-6.8	2.90098648842222e-7	
ENSG00000114251	homo sapiens	E-GEOD-49644	'TGFb-induced epithelial-mesenchymal transition' vs 'normal' in 'HCC827'	6.2	5.85440252569232e-9	
ENSG00000114251	homo sapiens	E-GEOD-58252	'Snail overexpression' vs 'control'	6.2	2.86685092058106e-8	
ENSG00000114251	homo sapiens	E-GEOD-30296	'stable expression of BRCA1' vs 'empty vector'	5.9	7.27769357156535e-11	
ENSG00000114251	homo sapiens	E-GEOD-21668	'early mesodermal progenitors' vs 'undifferentiated cells'	5.7	5.22719719726319e-8	
ENSG00000114251	homo sapiens	E-GEOD-50683	'C1013G/CXCR4 variant' vs 'control'	5.2	6.18182812482707e-7	
ENSG00000114251	homo sapiens	E-MTAB-4771	'astrocyte overexpressing 4 genes' vs 'glioblastoma cell line'	-5.2	0.000139376982011013	
ENSG00000114251	homo sapiens	E-GEOD-38007	'expression of BRAF(V600E) and MITF' vs 'expression of BRAF(V600E)'	-5.2	0.000206866779830572	
ENSG00000114251	homo sapiens	E-MTAB-9209	'5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide; 0.4 millimolar' vs 'none'	5	3.88534120640669e-32	
ENSG00000114251	homo sapiens	E-MTAB-4771	'astrocyte overexpressing 7 genes' vs 'glioma stem cell line'	4.8	0.0000592757394944408	
ENSG00000114251	homo sapiens	E-GEOD-68086	'breast carcinoma' vs 'normal'	-4.4	4.4166360717963e-17	
ENSG00000114251	homo sapiens	E-GEOD-68086	'pancreatic adenocarcinoma' vs 'normal'	-4.3	4.74758691356912e-13	
ENSG00000114251	homo sapiens	E-GEOD-27473	'estrogen receptor alpha knockdown' vs 'control'	4.3	5.9002230332793e-10	
ENSG00000114251	homo sapiens	E-GEOD-49644	'TGFb-induced epithelial-mesenchymal transition' vs 'normal' in 'A549'	4	2.6902854828779e-7	
ENSG00000114251	homo sapiens	E-GEOD-56517	'shHOXA9; GBML18; ' vs 'control; GBML18; '	3.8	0.000043808489177116	
ENSG00000114251	homo sapiens	E-GEOD-40595	'ovarian cancer' vs 'normal' in 'epithelial cell'	-3.7	2.32886521400596e-9	
ENSG00000114251	homo sapiens	E-GEOD-10696	'gefitinib resistant' vs 'gefitinib sensitive'	-3.7	4.4754632924703e-8	
ENSG00000114251	homo sapiens	E-GEOD-32526	'S2N; tumorigenic; spheres' vs 'S2; non-tumorigenic; spheres'	-3.7	4.08269547846328e-7	
ENSG00000114251	homo sapiens	E-GEOD-48433	'HOP-92; large cell undifferentiated lung; P10' vs 'HOP-92; large cell undifferentiated lung; P0'	3.6	2.09336035851609e-7	
ENSG00000114251	homo sapiens	E-GEOD-63816	'erythroleukemia; ZRSR2 shRNA' vs 'normal'	-3.3	0.0196718611829441	
ENSG00000114251	homo sapiens	E-GEOD-51415	'tongue squamous cell carcinoma' vs 'normal' in 'vehicle'	-3.2	1.2202739435482e-9	
ENSG00000114251	homo sapiens	E-GEOD-60888	'MeWo; skin; PAEP siRNA' vs 'MeWo; skin; control'	3.2	0.00592793205508636	
ENSG00000114251	homo sapiens	E-GEOD-59234	'SOX2 siRNA' vs 'negative control' in '2102Ep'	3.1	1.30431580135226e-7	
ENSG00000114251	homo sapiens	E-MEXP-3628	'osteosarcoma' vs 'normal'	3.1	0.00015387075167369	
ENSG00000114251	homo sapiens	E-GEOD-15641	'papillary renal cell carcinoma' vs 'normal'	3	1.14017192283744e-15	
ENSG00000114251	homo sapiens	E-GEOD-32526	'S2N; tumorigenic; monolayer' vs 'S2; non-tumorigenic; monolayer'	-3	9.92979761437733e-9	
ENSG00000114251	homo sapiens	E-GEOD-66354	'supratentorial ependymoma' vs 'normal'	3	2.5749737197515e-8	
ENSG00000114251	homo sapiens	E-GEOD-68086	'non-small cell lung carcinoma' vs 'normal'	-2.9	4.10245181613906e-9	
ENSG00000114251	homo sapiens	E-GEOD-22139	'DAOY M2.1; MYC knockdown' vs 'DAOY; siRNA scambled'	2.9	1.62966009439505e-8	
ENSG00000114251	homo sapiens	E-GEOD-41678	'MDAMB231; cocultured with fibroblast Wi38' vs 'MDAMB231; normal'	2.9	3.98411078155899e-8	
ENSG00000114251	homo sapiens	E-MTAB-3619	'UV' vs 'none' in 'brct expression'	-2.9	0.00000316360537008084	
ENSG00000114251	homo sapiens	E-GEOD-30037	'TFPI beta overexpression' vs 'empty vector'	2.9	0.00142491668344517	
