Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000111186	homo sapiens	E-MTAB-8803	'EpCAM+CD3-Live+' vs 'UNSORTED' in 'neoplasm'	8.8	0.000753983343566545	
ENSG00000111186	homo sapiens	E-GEOD-48812	'DMSO; prostate carcinoma' at '6 hour' vs 'DMSO; normal' at '6 hour'	-6.4	1.41881274496702e-25	
ENSG00000111186	homo sapiens	E-GEOD-38007	'expression of BRAF(V600E) and MITF' vs 'expression of BRAF(V600E)'	-5.3	0.00060539511632004	
ENSG00000111186	homo sapiens	E-GEOD-48812	'sulforaphane; prostate carcinoma' at '6 hour' vs 'sulforaphane; normal' at '6 hour'	-5.2	1.744183625973e-18	
ENSG00000111186	homo sapiens	E-GEOD-49644	'TGFb-induced epithelial-mesenchymal transition' vs 'normal' in 'HCC827'	5	2.02516522044751e-8	
ENSG00000111186	homo sapiens	E-MTAB-7591	'SOX2 overexpression' vs 'wild type' in 'U-2982'	-4.8	0	
ENSG00000111186	homo sapiens	E-GEOD-48812	'sulforaphane; prostate carcinoma' at '24 hour' vs 'sulforaphane; normal' at '24 hour'	-4.8	0.00000203442059765661	
ENSG00000111186	homo sapiens	E-GEOD-22334	'cells p16-transfected' vs 'control'	4.6	0.000141442179960242	
ENSG00000111186	homo sapiens	E-GEOD-49644	'TGFb-induced epithelial-mesenchymal transition' vs 'normal' in 'A549'	4.4	1.39525642105623e-8	
ENSG00000111186	homo sapiens	E-GEOD-48812	'DMSO; prostate carcinoma' at '24 hour' vs 'DMSO; normal' at '24 hour'	-4.4	0.000179272913171697	
ENSG00000111186	homo sapiens	E-GEOD-21668	'early mesodermal progenitors' vs 'undifferentiated cells'	3.7	1.14217776360055e-8	
ENSG00000111186	homo sapiens	E-GEOD-68086	'pancreatic adenocarcinoma' vs 'normal'	-3.6	2.56865205970434e-12	
ENSG00000111186	homo sapiens	E-MTAB-7591	'SFRP2 overexpression' vs 'wild type' in 'U-2987'	3.5	0	
ENSG00000111186	homo sapiens	E-GEOD-27473	'estrogen receptor alpha knockdown' vs 'control'	3.5	1.91630155902685e-8	
ENSG00000111186	homo sapiens	E-GEOD-38678	'CLF1' vs 'CLS1; co-culture with CAF to generate sphere'	3.2	2.69621242541844e-8	
ENSG00000111186	homo sapiens	E-MTAB-8701	'myxosarcoma' vs 'normal'	-3	1.30276548190056e-8	
ENSG00000111186	homo sapiens	E-GEOD-33294	'liver tumor' vs 'adjacent non-tumor tissue'	-2.9	0.00383588078439194	
ENSG00000111186	homo sapiens	E-GEOD-57116	'3 h DRB 0 min 4sU' vs 'untreated'	2.9	0.0047957032326927	
ENSG00000111186	homo sapiens	E-MTAB-7613	'human cytomegalovirus (Towne strain)' vs 'none'	2.7	9.46166289361498e-41	
ENSG00000111186	homo sapiens	E-GEOD-3325	'metastatic prostate cancer' vs 'benign prostate tumor'	-2.7	0.00514272910001384	
ENSG00000111186	homo sapiens	E-GEOD-24592	'siERK2; estradiol' at '4 hour' vs 'siERK2; ethanol' at '4 hour'	2.5	0.00000155412745773966	
ENSG00000111186	homo sapiens	E-GEOD-63452	'12 hour' vs '0 hour' in 'MCF-10A-H1047R'	2.5	0.00000201495673736841	
ENSG00000111186	homo sapiens	E-MTAB-6214	'metastatic melanoma; non-responder' vs 'normal; not applicable'	2.5	0.0453126249519171	
ENSG00000111186	homo sapiens	E-MTAB-7745	'dexamethasone; 1 micromolar' vs 'vehicle'	-2.4	1.33456054605944e-15	
ENSG00000111186	homo sapiens	E-GEOD-49644	'TGFb-induced epithelial-mesenchymal transition' vs 'normal' in 'NCI-H358'	2.4	0.00000128208675726557	
ENSG00000111186	homo sapiens	E-GEOD-17636	'overexpressing NF-C2' vs 'wild type'	-2.4	0.00000780136224551848	
ENSG00000111186	homo sapiens	E-GEOD-7307	'CXCL12, 75 nanomolar; 6 hour' vs 'none; 6 hour' in 'MDAMB231; adenocarcinoma; mammary gland'	-2.3	7.07175955875958e-8	
