Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-MTAB-7745,'dexamethasone; 1 micromolar' vs 'vehicle',-5.3,8.37402548994554e-19,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-CURD-45,'neoplasm' vs 'normal tissue adjacent to neoplasm',4.5,4.52231594658935e-19,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-GEOD-55048,'tumor' vs 'paratumoral tissue',-4.1,0.00086354574252029,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-GEOD-50760,'colorectal cancer metastatic in the liver' vs 'normal',4,1.08221614845849e-7,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-GEOD-68086,'breast carcinoma' vs 'normal',-3.9,3.02075263980303e-18,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-MTAB-8135,'neoplasm' vs 'normal tissue adjacent to neoplasm',3.8,0.0000521128865216025,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-GEOD-37003,'anti-m6A' vs 'none',3.2,0.0118077764942794,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-MTAB-5537,'estrogen receptor alpha shRNA' vs 'scrambled shRNA',-3.1,1.21520487040562e-16,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-GEOD-68086,'pancreatic adenocarcinoma' vs 'normal',-3.1,4.21527312979274e-11,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-MTAB-6991,'shRNA knockdown of PROX1' vs 'wild type phenotype' in 'U-343_MGa',3,1.33887988094102e-114,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-MTAB-7613,'human cytomegalovirus (Towne strain)' vs 'none',3,5.55655568540954e-27,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-MTAB-6738,'dexamethasone; 1 micromolar' vs 'ethanol',-3,2.71590779219481e-13,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-GEOD-76987,'colon adenocarcinoma' vs 'normal',3,0.000313569234254698,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-MTAB-7061,'MTF2 homozygous knockout' vs 'wild type',3,0.00166514378374205,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-MTAB-6087,'hypoxia' vs 'normoxia' in 'SW684',-2.9,4.74254726207625e-8,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-GEOD-40776,'expressing O6-methylguanine methyltransferase' vs 'control',2.9,0.0000182164053681956,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-GEOD-33294,'liver tumor' vs 'adjacent non-tumor tissue',-2.9,0.0367607907612391,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-MTAB-5678,'squamous cell carcinoma' vs 'normal',2.8,9.47217356937034e-21,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-GEOD-68086,'colorectal carcinoma' vs 'normal',-2.7,1.90946306997934e-9,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-MTAB-4054,'Barrett’s esophagus; low-grade dysplasia' vs 'normal',-2.7,3.79534373737431e-7,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-GEOD-68086,'hepatobiliary carcinoma' vs 'normal',-2.3,0.00010542214319737,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-GEOD-68086,'non-small cell lung carcinoma' vs 'normal',-2.2,6.05275656740221e-8,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-MTAB-4771,'astrocyte overexpressing 4 genes' vs 'glioblastoma cell line',-2.2,0.0000790951755418132,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-MTAB-4771,'astrocyte overexpressing 7 genes' vs 'glioblastoma cell line',-2.2,0.0000807461215404539,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-GEOD-63452,'24 hour' vs '0 hour' in 'MCF-10A',2.1,7.65507487148383e-13,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-MTAB-10819,'circDOCK1 overexpression' vs 'empty vector' in 'MDAMB231; not applicable',-2.1,2.44937181715759e-9,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-GEOD-45042,'Human betacoronavirus 2c EMC/2012' vs 'mock' at '24 hour',-2.1,0.00000613574956518013,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-MTAB-4363,'expression of estrogen receptor beta fused to C terminus tandem affinity purification tag' vs 'expression of estrogen receptor alpha fused to C terminus tandem affinity purification tag',-2,1.48072078006757e-36,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-MTAB-11313,'ERO1 knockout' vs 'wild type genotype' in 'vehicle',-2,1.86637143488538e-9,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-GEOD-48433,'AsPC-1; pancreatic adenocarcinoma; P10' vs 'AsPC-1; pancreatic adenocarcinoma; P0',-2,1.88061452897345e-7,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-GEOD-68086,'glioblastoma' vs 'normal',-2,0.0000074313798859354,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-MTAB-7591,'SFRP2 overexpression' vs 'wild type' in 'U-2987',2,0.00000777290109082669,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-GEOD-50760,'primary tumor' vs 'normal',2,0.00397135382524194,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-MTAB-9209,'5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide; 0.4 millimolar' vs 'none',2,0.0403724985831413,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-MTAB-4054,'esophageal adenocarcinoma' vs 'normal',-1.9,0.0000141410442714709,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-MTAB-8198,'EPZ004777; 6.4 micromolar' vs 'dimethyl sulfoxide; 1E-08 molar' in 'PEO4',-1.9,0.00787038441732914,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-MTAB-7518,'cisplatin; 100 micromolar' vs 'none' in 'scrambled siRNA',-1.8,4.18559475468957e-27,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-GEOD-63452,'12 hour' vs '0 hour' in 'MCF-10A',1.8,6.13051407828064e-13,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-MTAB-8198,"'ICI 182,780; 1E-08 molar' vs 'dimethyl sulfoxide; 1E-08 molar' in 'PEO4'",-1.8,0.0108895019651432,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-MTAB-7591,'SOX2 overexpression' vs 'wild type' in 'U-2982',-1.7,1.87204852920147e-35,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-MTAB-7518,'cisplatin; 100 micromolar' vs 'none' in 'TMEM45A knockdown by siRNA',-1.7,4.27698093956729e-18,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-GEOD-48433,'AsPC-1; pancreatic adenocarcinoma; P01' vs 'AsPC-1; pancreatic adenocarcinoma; P0',-1.7,0.0000011225501657913,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-GEOD-48433,'AsPC-1; pancreatic adenocarcinoma; P04' vs 'AsPC-1; pancreatic adenocarcinoma; P0',-1.7,0.00000147134977227392,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-MTAB-9848,'doxorubicin; 100 nanomolar' vs 'none' in 'scrambled siRNA',1.6,4.03158309093037e-14,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-GEOD-45042,'Human betacoronavirus 2c EMC/2012; 18 hour' vs 'mock; 24 hour',-1.6,0.0000103943071529716,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-GEOD-66354,'supratentorial ependymoma' vs 'normal',1.6,0.000562239760399837,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-MTAB-6647,'hypoxia' vs 'normoxia' in 'CAL120; DMEM-F12 media',1.5,6.80886820049651e-29,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-MTAB-6647,'hypoxia' vs 'normoxia' in 'CAL120; Plasmax media',1.5,1.30720204524674e-23,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-GEOD-49608,'7 hour' vs '0 hour' in 'MDA-LM2',-1.5,1.42906482976002e-14,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-MTAB-11313,'ERO1 knockout' vs 'wild type genotype' in 'paclitaxel; 15 milligram per kilogram',-1.5,2.42382800399879e-7,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-GEOD-81089,'tumor tissue' vs 'non-malignant tissue',1.5,0.00000154714331529037,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-MTAB-4363,'expression of estrogen receptor beta fused to N terminus tandem affinity purification tag' vs 'expression of estrogen receptor alpha fused to C terminus tandem affinity purification tag',-1.4,6.69488007119412e-24,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-MTAB-5243,'ZEB1 knockout' vs 'wild type',-1.4,8.12898228017375e-8,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-GEOD-45120,'epithelial-to-mesenchymal transition' vs 'normal',-1.4,0.00000354947848742318,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-GEOD-29137,'Numb5 overexpression' vs 'control' in 'MDAMB231',1.4,0.0000102053535739156,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-MTAB-11313,'ERO1 knockout' vs 'wild type genotype' in 'ISRIB (trans-isomer); 2.5 milligram per kilogram',-1.4,0.0000665731511753048,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-MEXP-3628,'osteosarcoma' vs 'normal',1.4,0.0000924585715642375,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-GEOD-58252,'Snail overexpression' vs 'control',-1.4,0.000304681198031185,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-MTAB-6008,'TRPS1 siRNA 2' vs 'scrambled control siRNA' in 'B42 subclone 11',1.4,0.000905736177548829,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-MTAB-5285,'gefitinib; 24 hour' vs 'none; 2 hour',1.3,2.35069758109245e-39,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-MTAB-8446,'KLF5 knockdown by siRNA' vs 'scrambled siRNA',-1.3,2.00468363623133e-19,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-MTAB-9848,'doxorubicin; 100 nanomolar' vs 'none' in 'ZNF84 siRNA',1.3,2.46185776316848e-9,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-MTAB-6647,'hypoxia' vs 'normoxia' in 'BT549; Plasmax media',1.3,0.00000265817414016202,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-MTAB-7681,'Candida albicans' vs 'none' at '24 hour',1.3,0.00000329452542269259,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-GEOD-63452,'6 hour' vs '0 hour' in 'MCF-10A',1.3,0.0000478686308810229,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-GEOD-37827,'SARS coronavirus Urbani' vs 'none' at '72 hour',1.3,0.0000753898495312507,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-GEOD-51005,'after docetaxel chemotherapy and androgen deprivation therapy' vs 'before docetaxel chemotherapy and androgen deprivation therapy',-1.3,0.000111442195543904,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-GEOD-41678,'Cal51; cocultured with fibroblast HFF1' vs 'Cal51; normal',1.2,0.00000129656094396981,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-GEOD-40584,'Nkx2-1 overexpression' vs 'wild type',-1.2,0.00000304343216443459,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-GEOD-29137,'Numb6 overexpression' vs 'control' in 'MDAMB231',1.2,0.0000201683367910149,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-GEOD-32424,'tumor' vs 'normal',1.2,0.000312009141310987,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-GEOD-66493,'cisplatin' at '24 hour' vs 'none' at '0 hour',-1.2,0.000867327345250889,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-MTAB-6008,'TRPS1 siRNA 2' vs 'none' in 'B42 subclone 11',1.2,0.00338437958867178,
ENSG00000188064,WNT7B,WNT7B,homo sapiens,E-MTAB-9712,'RRx-1; 20 micromolar' vs 'none',-1.1,1.60341198687318e-29,
