Uniprot ID,Protein Name,URL
P31751,AKT2,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22AKT2%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens
P49815,TSC2,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22TSC2%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens
Q92574,TSC1,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22TSC1%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens
Q8NBW4,SLC38A9,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22SLC38A9%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens
O43504,LAMTOR5,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22LAMTOR5%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens
Q6IAA8,LAMTOR1,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22LAMTOR1%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens
Q9Y2Q5,LAMTOR2,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22LAMTOR2%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens
Q9UHA4,LAMTOR3,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22LAMTOR3%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens
Q0VGL1,LAMTOR4,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22LAMTOR4%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens
Q9HB90,RRAGC,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22RRAGC%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens
