Protein Name,Gene Name,Fold Change Value,Fold Change Type,Adjusted p-value,Raw p-value,t-Statistic,Experiment,Citation,Year_of_Publication,Cancer Type,Comparison Category
Tuberous sclerosis 2,TSC2,2.04,Direct,-,0.0013,-,Semi-quantitative RT-PCR,"Chakraborty S, Mohiyuddin SM, Gopinath KS, Kumar A. Involvement of TSC genes and differential expression of other members of the mTOR signaling pathway in oral squamous cell carcinoma. BMC Cancer. 2008; 8:163.",2008,OSCC,Tumor vs. matched normal tissue (Sample 54)
"Ribosomal protein S6 kinase, 70 kDa, polypeptide 1",RPS6KB1,3.4,Direct,-,0.0048,-,Semi-quantitative RT-PCR,"Chakraborty S, Mohiyuddin SM, Gopinath KS, Kumar A. Involvement of TSC genes and differential expression of other members of the mTOR signaling pathway in oral squamous cell carcinoma. BMC Cancer. 2008; 8:163.",2008,OSCC,Tumor vs. matched normal tissue (Sample 54)
Eukaryotic translation initiation factor 4E,EIF4E,3.12,Direct,-,0.0004,-,Semi-quantitative RT-PCR,"Chakraborty S, Mohiyuddin SM, Gopinath KS, Kumar A. Involvement of TSC genes and differential expression of other members of the mTOR signaling pathway in oral squamous cell carcinoma. BMC Cancer. 2008; 8:163.",2008,OSCC,Tumor vs. matched normal tissue (Sample 54)
Activating transcription factor 3,ATF3,2.448,Direct (Fold change),-,<= 0.05,-,Microarray (44K),"Venkatesan N, Krishnakumar S, Deepa M, et al. Molecular deregulation induced by HMGA2 gene silencing in retinoblastoma cells. Molecular Vision. 2012; 18: 2420-2437.",2012,Retinoblastoma (RB),siRNA silenced HMGA2 vs. control Y79 cells
Matrix metallopeptidase 10,MMP10,2.958,Direct (Fold change),-,<= 0.05,-,Microarray (44K),"Venkatesan N, Krishnakumar S, Deepa M, et al. Molecular deregulation induced by HMGA2 gene silencing in retinoblastoma cells. Molecular Vision. 2012; 18: 2420-2437.",2012,Retinoblastoma (RB),siRNA silenced HMGA2 vs. control Y79 cells
Antigen identified by mAb Ki-67,MKI67,-2.378,Direct (Fold change),-,<= 0.05,-,Microarray (44K),"Venkatesan N, Krishnakumar S, Deepa M, et al. Molecular deregulation induced by HMGA2 gene silencing in retinoblastoma cells. Molecular Vision. 2012; 18: 2420-2437.",2012,Retinoblastoma (RB),siRNA silenced HMGA2 vs. control Y79 cells
-,CD14,2.05,Median fold change,-,0.0002,-,cDNA Microarray (10K),"Chattopadhyay I, Phukan R, Singh A, et al. Molecular profiling to identify molecular alterations in esophageal cancer with familial clustering. Oncology Reports. 2009; 21: 1135-1146.",2009,ESCC,Familial ESCC tumor vs. matched normal tissue
Arginase,ARG1,1.55,Median fold change,-,0.0002,-,cDNA Microarray (10K),"Chattopadhyay I, Phukan R, Singh A, et al. Molecular profiling to identify molecular alterations in esophageal cancer with familial clustering. Oncology Reports. 2009; 21: 1135-1146.",2009,ESCC,Familial ESCC tumor vs. matched normal tissue
Keratin 4,KRT4,-5.2,Median fold change,-,0,-,cDNA Microarray (10K),"Chattopadhyay I, Phukan R, Singh A, et al. Molecular profiling to identify molecular alterations in esophageal cancer with familial clustering. Oncology Reports. 2009; 21: 1135-1146.",2009,ESCC,Familial ESCC tumor vs. matched normal tissue
"DOT1-like, histone H3 methyltransferase",DOT1L,12.261,Fold Regulation,-,0.048491,-,RT-qPCR (PCR Array),"Singh V, Singh LC, Singh S, et al. Status of epigenetic chromatin modification enzymes in esophageal squamous cell carcinoma. American Journal of Cancer Research. 2015; 5(5): 1864–1876.",2015,ESCC,Pooled tumor tissue vs. adjacent normal tissue
K(lysine) acetyltransferase 7,KAT7,4.131,Fold Regulation,-,0.002656,-,RT-qPCR (PCR Array),"Singh V, Singh LC, Singh S, et al. Status of epigenetic chromatin modification enzymes in esophageal squamous cell carcinoma. American Journal of Cancer Research. 2015; 5(5): 1864–1876.",2015,ESCC,Pooled tumor tissue vs. adjacent normal tissue
-,IGFBP2,-2.4765,Log to the base 2,-,< 0.05,-,Agilent microarray,"Sehgal P, Kumar N, Praveen Kumar VR, et al. Regulation of protumorigenic pathways by Insulin like growth factor binding protein2 and its association along with beta-catenin in breast cancer lymph node metastasis. Molecular Cancer. 2013; 12: 63.",2013,Breast Cancer (BT474),shRNA knockdown vs. Scrambled control
-,SCGB2A2,4.2566,Direct (Fold change),-,< 0.05,-,Agilent microarray,"Sehgal P, Kumar N, Praveen Kumar VR, et al. Regulation of protumorigenic pathways by Insulin like growth factor binding protein2 and its association along with beta-catenin in breast cancer lymph node metastasis. Molecular Cancer. 2013; 12: 63.",2013,Breast Cancer,IGFBP2 positive vs. negative tumors
"C-type lectin domain family 2, member D",CLEC2D,4.6,Direct,-,< 0.001,-,Affymetrix U133 Plus 2.0,"Ganguly P, Ganguly N. Transcriptomic analyses of genes differentially expressed by high-risk and low-risk human papillomavirus E6 oncoproteins. Virusdisease. 2015; 26(3): 105–116.",2015,Oesophageal,HPV18 E6 transfected vs. Mock transfected
"Catenin, alpha 1",CTNNA1,3.7,Direct,-,< 0.001,-,Affymetrix U133 Plus 2.0,"Ganguly P, Ganguly N. Transcriptomic analyses of genes differentially expressed by high-risk and low-risk human papillomavirus E6 oncoproteins. Virusdisease. 2015; 26(3): 105–116.",2015,Oesophageal,HPV18 E6 transfected vs. Mock transfected
