Protein Name,Gene Name,Fold Change Value,Fold Change Type,Adjusted p-value,Raw p-value,t-Statistic,Experiment,Citation,Year_of_Publication,Cancer Type,Comparison Category
Tuberous sclerosis 2,TSC2,2.04,fold*,-,0.0048,-,semi-quantitative RT-PCR,"Chakraborty S, Mohiyuddin SM, Gopinath KS, Kumar A. Involvement of TSC genes and differential expression of other members of the mTOR signaling pathway in oral squamous cell carcinoma. BMC Cancer. 2008; 8:163.",2008,Oral Squamous Cell Carcinoma (OSCC),Tumor vs. matched normal tissue (Sample 54)
"Ribosomal protein S6 kinase, 70 kDa, polypeptide 1",RPS6KB1,3.4,fold*,-,0.0048,-,semi-quantitative RT-PCR,"Chakraborty S, Mohiyuddin SM, Gopinath KS, Kumar A. Involvement of TSC genes and differential expression of other members of the mTOR signaling pathway in oral squamous cell carcinoma. BMC Cancer. 2008; 8:163.",2008,OSCC,Tumor vs. matched normal tissue (Sample 54)
Eukaryotic translation initiation factor 4E,EIF4E,3.12,fold*,-,0.0004,-,semi-quantitative RT-PCR,"Chakraborty S, Mohiyuddin SM, Gopinath KS, Kumar A. Involvement of TSC genes and differential expression of other members of the mTOR signaling pathway in oral squamous cell carcinoma. BMC Cancer. 2008; 8:163.",2008,OSCC,Tumor vs. matched normal tissue (Sample 54)
"Activating transcription factor 3, transcript variant 2",ATF3,2.448,Fold change,-,?0.05,-,Microarray analysis,"Venkatesan N, Krishnakumar S, Deepa M, et al. Molecular deregulation induced by HMGA2 gene silencing in retinoblastoma cells. Molecular Vision. 2012; 18: 2420-2437.",2012,Retinoblastoma (RB),siRNA silenced HMGA2 vs. control Y79 cells
Matrix metallopeptidase 10 (stromelysin 2),MMP10,2.958,Fold change,-,?0.05,-,Microarray analysis,"Venkatesan N, Krishnakumar S, Deepa M, et al. Molecular deregulation induced by HMGA2 gene silencing in retinoblastoma cells. Molecular Vision. 2012; 18: 2420-2437.",2012,RB,siRNA silenced HMGA2 vs. control Y79 cells
Antigen identified by monoclonal antibody Ki-67,MKI67,-2.378,Fold change,-,?0.05,-,Microarray analysis,"Venkatesan N, Krishnakumar S, Deepa M, et al. Molecular deregulation induced by HMGA2 gene silencing in retinoblastoma cells. Molecular Vision. 2012; 18: 2420-2437.",2012,RB,siRNA silenced HMGA2 vs. control Y79 cells
-,CD14,2.05,Median fold change,-,0.0002,-,cDNA microarray,"Chattopadhyay I, Phukan R, Singh A, et al. Molecular profiling to identify molecular alterations in esophageal cancer with familial clustering. Oncology Reports. 2009; 21: 1135-1146.",2009,Esophageal Cancer (ESCC),tumor vs. normal tissue
Arginase,ARG1,1.55,Median fold change,-,0.01,-,cDNA microarray,"Chattopadhyay I, Phukan R, Singh A, et al. Molecular profiling to identify molecular alterations in esophageal cancer with familial clustering. Oncology Reports. 2009; 21: 1135-1146.",2009,ESCC,tumor vs. normal tissue
Keratin 4,KRT4,-5.2,Median fold change,-,0,-,cDNA microarray,"Chattopadhyay I, Phukan R, Singh A, et al. Molecular profiling to identify molecular alterations in esophageal cancer with familial clustering. Oncology Reports. 2009; 21: 1135-1146.",2009,ESCC,tumor vs. normal tissue
"DOT1-like, histone H3 methyltransferase (S. cerevisiae)",DOT1L,12.261,Fold Regulation,-,0.048491,-,PCR array,"Singh V, Singh LC, Singh S, et al. Status of epigenetic chromatin modification enzymes in esophageal squamous cell carcinoma. American Journal of Cancer Research. 2015; 5(5): 1864–1876.",2015,ESCC,tumor tissue samples and... normal tissue samples
K(lysine) acetyltransferase 7,KAT7,4.131,Fold Regulation,-,0.002656,-,PCR array,"Singh V, Singh LC, Singh S, et al. Status of epigenetic chromatin modification enzymes in esophageal squamous cell carcinoma. American Journal of Cancer Research. 2015; 5(5): 1864–1876.",2015,ESCC,tumor tissue samples and... normal tissue samples
-,IGFBP2,-2.4765,-,-,p < 0.05,-,Agilent microarray,"Sehgal P, Kumar N, Praveen Kumar VR, et al. Regulation of protumorigenic pathways by Insulin like growth factor binding protein2 and its association along with beta-catenin in breast cancer lymph node metastasis. Molecular Cancer. 2013; 12: 63.",2013,Breast Cancer,IGFBP2 knockdown clones
"C-type lectin domain family 2, member D",CLEC2D,4.6,Fold change,-,p B 0.001,-,Affymetrix Human Genome U133 Plus 2.0 Arrays,"Ganguly P, Ganguly N. Transcriptomic analyses of genes differentially expressed by high-risk and low-risk human papillomavirus E6 oncoproteins. Virusdisease. 2015; 26(3): 105–116.",2015,Oesophageal,HPV18E6-EPC2 compared to mock-EPC2
"Catenin (cadherin-associated protein), alpha 1",CTNNA1,3.7,Fold change,-,p B 0.001,-,Affymetrix Human Genome U133 Plus 2.0 Arrays,"Ganguly P, Ganguly N. Transcriptomic analyses of genes differentially expressed by high-risk and low-risk human papillomavirus E6 oncoproteins. Virusdisease. 2015; 26(3): 105–116.",2015,Oesophageal,HPV18E6-EPC2 compared to mock-EPC2
