Protein Name,Gene Name,Fold Change Value,Fold Change Type,Adjusted p-value,Raw p-value,t-Statistic,Experiment,Citation,Cancer Type,Comparison Category
Four and a half LIM domains 1,FHL1,9.6,iTRAQ ratio (tumor/nontumor,-,-,-,iTRAQ labeling... LC-MS/MS,"Chaerkady R, Harsha HC, Nalli A, et al. A Quantitative Proteomic Approach for Identification of Potential Biomarkers in Hepatocellular Carcinoma. J Proteome Res. 2008; 7(10): 4289–4298.",Hepatocellular Carcinoma (HCC),tumor and adjacent noncancerous liver tissues
Fibrillin 2,FBN2,8.4,iTRAQ ratio (tumor/nontumor,-,-,-,iTRAQ labeling... LC-MS/MS,"Chaerkady R, Harsha HC, Nalli A, et al. A Quantitative Proteomic Approach for Identification of Potential Biomarkers in Hepatocellular Carcinoma. J Proteome Res. 2008; 7(10): 4289–4298.",HCC,tumor and adjacent noncancerous liver tissues
Ornithine carbamoyltransferase,OTC,0.1,iTRAQ ratio (tumor/nontumor),-,-,-,iTRAQ labeling... LC-MS/MS,"Chaerkady R, Harsha HC, Nalli A, et al. A Quantitative Proteomic Approach for Identification of Potential Biomarkers in Hepatocellular Carcinoma. J Proteome Res. 2008; 7(10): 4289–4298.",HCC,tumor and adjacent noncancerous liver tissues
Superoxide dismutase,-,2.05,Average fold,-,p < 0.05,-,2D-PAGE... LC/MS/MS,"Liang S, Singh M, Gam LH. The differential expression of aqueous soluble proteins in breast normal and cancerous tissues in relation to ethnicity of the patients; Chinese, Malay and Indian. Disease Markers. 2010; 28: 149–165.",Breast Cancer,cancerous and normal breast tissues
Peroxiredoxin-2,-,3.115,Average fold,-,p < 0.05,-,2D-PAGE... LC/MS/MS,"Liang S, Singh M, Gam LH. The differential expression of aqueous soluble proteins in breast normal and cancerous tissues in relation to ethnicity of the patients; Chinese, Malay and Indian. Disease Markers. 2010; 28: 149–165.",Breast Cancer,cancerous and normal breast tissues
14-3-3 protein zeta,-,1019.138,Average fold,-,p < 0.05,-,2D-PAGE... LC/MS/MS,"Liang S, Singh M, Gam LH. The differential expression of aqueous soluble proteins in breast normal and cancerous tissues in relation to ethnicity of the patients; Chinese, Malay and Indian. Disease Markers. 2010; 28: 149–165.",Breast Cancer,cancerous and normal breast tissues
Calreticulin,-,4750.467,Average fold,-,p < 0.05,-,2D-PAGE... LC/MS/MS,"Liang S, Singh M, Gam LH. The differential expression of aqueous soluble proteins in breast normal and cancerous tissues in relation to ethnicity of the patients; Chinese, Malay and Indian. Disease Markers. 2010; 28: 149–165.",Breast Cancer,cancerous and normal breast tissues
"Actin, cytoplasmic 1/2",-,1.69±0.07,Fold Change,-,-,-,2D-PAGE... MALDI TOF-MS,"Desai S, Srambikkal N, Yadav HD, et al. Molecular Understanding of Growth Arrest and Apoptosis-Inducing Bystander Signals Released from Virally Infected and Ionizing Radiation-Treated Human Metastatic Cancer Cells. PLoS One. 2016; 11(5): e0154694.",Tumor bystander model,supernatant obtained from the control and irradiated cells
Galectin-1,-,2.54±0.62,Fold Change,-,-,-,2D-PAGE... MALDI TOF-MS,"Desai S, Srambikkal N, Yadav HD, et al. Molecular Understanding of Growth Arrest and Apoptosis-Inducing Bystander Signals Released from Virally Infected and Ionizing Radiation-Treated Human Metastatic Cancer Cells. PLoS One. 2016; 11(5): e0154694.",Tumor bystander model,supernatant obtained from the control and irradiated cells
Protein S100-A4,-,-1.50±0.18,Fold Change,-,-,-,2D-PAGE... MALDI TOF-MS,"Desai S, Srambikkal N, Yadav HD, et al. Molecular Understanding of Growth Arrest and Apoptosis-Inducing Bystander Signals Released from Virally Infected and Ionizing Radiation-Treated Human Metastatic Cancer Cells. PLoS One. 2016; 11(5): e0154694.",Tumor bystander model,supernatant obtained from the control and irradiated cells
