MoleculeType,Identifier,UniProt ID,Protein Name,Gene Name
Proteins,P31751,P31751,AKT2,AKT2
Proteins,P49815,P49815,TSC2,TSC2
Proteins,Q92574,Q92574,TSC1,TSC1
Proteins,Q8NBW4,Q8NBW4,SLC38A9,SLC38A9
Proteins,O43504,O43504,LAMTOR5,LAMTOR5
Proteins,Q6IAA8,Q6IAA8,LAMTOR1,LAMTOR1
Proteins,Q9Y2Q5,Q9Y2Q5,LAMTOR2,LAMTOR2
Proteins,Q9UHA4,Q9UHA4,LAMTOR3,LAMTOR3
Proteins,Q0VGL1,Q0VGL1,LAMTOR4,LAMTOR4
Proteins,Q9HB90,Q9HB90,RRAGC,RRAGC
Proteins,Q9NQL2,Q9NQL2,RRAGD,RRAGD
Proteins,Q7L523,Q7L523,RRAGA,RRAGA
Proteins,Q5VZM2,Q5VZM2,RRAGB,RRAGB
Proteins,Q96B36,Q96B36,AKT1S1,AKT1S1
Proteins,Q8N122,Q8N122,RPTOR,RPTOR
Proteins,P42345,P42345,MTOR,MTOR
Proteins,Q9BVC4,Q9BVC4,MLST8,MLST8
Proteins,Q15382,Q15382,RHEB,RHEB
Proteins,P31946,P31946,YWHAB,YWHAB
Proteins,P35813,P35813,PPM1A,PPM1A
Proteins,Q13131,Q13131,PRKAA1,PRKAA1
Proteins,P54646,P54646,PRKAA2,PRKAA2
Proteins,Q9Y478,Q9Y478,PRKAB1,PRKAB1
Proteins,O43741,O43741,PRKAB2,PRKAB2
Proteins,Q9UGJ0,Q9UGJ0,PRKAG2,PRKAG2
Proteins,P54619,P54619,PRKAG1,PRKAG1
Proteins,Q9UGI9,Q9UGI9,PRKAG3,PRKAG3
Proteins,Q7RTN6,Q7RTN6,STRADA,STRADA
Proteins,Q9C0K7,Q9C0K7,STRADB,STRADB
Proteins,Q9H9S4,Q9H9S4,CAB39L,CAB39L
Proteins,Q9Y376,Q9Y376,CAB39,CAB39
Proteins,Q15831,Q15831,STK11,STK11
Proteins,P31749,P31749,AKT1,AKT1
Proteins,P23443,P23443,RPS6KB1,RPS6KB1
Proteins,P23588,P23588,EIF4B,EIF4B
Proteins,P62942,P62942,FKBP1A,FKBP1A
Proteins,Q04637,Q04637,EIF4G1,EIF4G1
Proteins,P62753,P62753,RPS6,RPS6
Proteins,O00418,O00418,EEF2K,EEF2K
Proteins,P06730,P06730,EIF4E,EIF4E
Proteins,Q13541,Q13541,EIF4EBP1,EIF4EBP1
