Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000115592,PRKAG3,PRKAG3,homo sapiens,E-GEOD-68086,'breast carcinoma' vs 'normal',-5.3,1.57E-20,
ENSG00000115592,PRKAG3,PRKAG3,homo sapiens,E-MTAB-7613,'human cytomegalovirus (Towne strain)' vs 'none',4.8,0.017641272,
ENSG00000115592,PRKAG3,PRKAG3,homo sapiens,E-GEOD-68086,'colorectal carcinoma' vs 'normal',-4.5,1.23E-16,
ENSG00000115592,PRKAG3,PRKAG3,homo sapiens,E-GEOD-52194,'triple-negative breast cancer; breast carcinoma' vs 'normal',4.1,1.9428E-05,
ENSG00000115592,PRKAG3,PRKAG3,homo sapiens,E-GEOD-68086,'pancreatic adenocarcinoma' vs 'normal',-3.7,8.11E-10,
ENSG00000115592,PRKAG3,PRKAG3,homo sapiens,E-GEOD-68086,'hepatobiliary carcinoma' vs 'normal',-3.5,2.7787E-06,
ENSG00000115592,PRKAG3,PRKAG3,homo sapiens,E-GEOD-52194,'non-triple-negative breast cancer; breast carcinoma' vs 'normal',3.5,6.53282E-05,
ENSG00000115592,PRKAG3,PRKAG3,homo sapiens,E-MTAB-7284,'TIGAR knockdown' vs 'wild type',2.7,3.08322E-05,
ENSG00000115592,PRKAG3,PRKAG3,homo sapiens,E-GEOD-68086,'non-small cell lung carcinoma' vs 'normal',-2.6,1.03E-07,
ENSG00000115592,PRKAG3,PRKAG3,homo sapiens,E-GEOD-57116,'3 h DRB 0 min 4sU' vs 'untreated',2.6,0.022279714,
ENSG00000115592,PRKAG3,PRKAG3,homo sapiens,E-GEOD-68086,'glioblastoma' vs 'normal',-2.5,2.48162E-06,
ENSG00000115592,PRKAG3,PRKAG3,homo sapiens,E-MTAB-4054,'esophageal adenocarcinoma' vs 'Barrett’s esophagus; non-dysplastic',2.3,0.018642184,
ENSG00000115592,PRKAG3,PRKAG3,homo sapiens,E-MTAB-4054,'esophageal adenocarcinoma' vs 'normal',2.3,0.033664975,
ENSG00000115592,PRKAG3,PRKAG3,homo sapiens,E-MTAB-7886,'SPRY1 knockdown by siRNA' vs 'none',1.3,0.026500763,
ENSG00000115592,PRKAG3,PRKAG3,homo sapiens,E-GEOD-35493,"'medulloblastoma, large-cell' vs 'normal'",1.1,0.000100386,
ENSG00000115592,PRKAG3,PRKAG3,homo sapiens,E-MEXP-3628,'osteosarcoma' vs 'normal',1,0.000152075,
ENSG00000115592,PRKAG3,PRKAG3,homo sapiens,E-GEOD-80832,'Zaire ebolavirus lacking the VP30 gene' vs 'mock' at '18 hour',1,0.003299628,
