Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-GEOD-48433,'HOP-62; adenocarcinoma of lung; P10' vs 'HOP-62; adenocarcinoma of lung; P0',-1.7,5.95039687216884e-7,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-GEOD-38678,'CLF1' vs 'CLS1; co-culture with CAF to generate sphere',1.7,0.00000258679559831163,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-GEOD-48433,'HOP-62; adenocarcinoma of lung; P04' vs 'HOP-62; adenocarcinoma of lung; P0',-1.7,0.0000151939454692651,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-GEOD-21354,'astrocytic glioma' vs 'normal',-1.7,0.0127325101466523,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-GEOD-57116,'3 h DRB 0 min 4sU' vs 'untreated',-1.6,0.0000436851356893469,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-GEOD-68086,'colorectal carcinoma' vs 'normal',-1.6,0.0000858408315706275,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-MTAB-7591,'SFRP2 overexpression' vs 'wild type' in 'U-2987',-1.5,1.6433750191365e-106,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-MTAB-5982,'Digoxin; 400 nanomolar' vs 'DMSO',1.5,4.30708488752841e-12,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-GEOD-21354,'oligodendroglioma' vs 'normal',-1.5,0.0234374219824052,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-GEOD-61966,'501Mel; shBRG1 knockdown' vs '501Mel; control',1.4,8.84535996440457e-51,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-GEOD-21750,'malignant mesothelioma; wild type' vs 'normal; wild type',-1.4,0.00000513537541241429,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-GEOD-48433,'786-0; renal adenocarcinoma; P04' vs '786-0; renal adenocarcinoma; P0',-1.4,0.0000104616277051971,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-GEOD-48433,'786-0; renal adenocarcinoma; P01' vs '786-0; renal adenocarcinoma; P0',-1.4,0.000310772485547285,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-GEOD-48812,'sulforaphane; prostate carcinoma' at '6 hour' vs 'sulforaphane; normal' at '6 hour',1.4,0.000836559351417026,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-MTAB-5285,'gefitinib; 24 hour' vs 'none; 2 hour',1.3,2.3081441095868e-10,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-GEOD-48433,'786-0; renal adenocarcinoma; P10' vs '786-0; renal adenocarcinoma; P0',-1.3,0.00000442830953931271,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-GEOD-48812,'DMSO; prostate carcinoma' at '6 hour' vs 'DMSO; normal' at '6 hour',1.3,0.0000130064364436437,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-MTAB-7847,'Sorafenib; 5 micromolar' vs 'vehicle' in 'HuH-7',1.3,0.00275892699883456,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-MTAB-3021,'PRPF8' vs 'control',1.2,2.29808924733161e-13,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-MTAB-73,'doxycycline-mediated repression of FOXP3' vs 'expression of FOXP3',-1.2,0.00000560222778684338,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-GEOD-21668,'early mesodermal progenitors' vs 'undifferentiated cells',1.2,0.0000293937924816858,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-MTAB-7025,'THZ1 (35 nanomolar)' vs 'none',1.2,0.0000829192013610569,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-GEOD-26525,"'geldanamycin, IC50' vs 'DMSO' at '24 hour'",1.2,0.00034750281377817,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-MTAB-8480,'MEF2D-HNFNPUL1 knockdown by siRNA' vs 'luciferase siRNA',-1.1,3.1234967680029e-41,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-MTAB-7591,'SOX2 overexpression' vs 'wild type' in 'U-2982',-1.1,7.23225760967189e-37,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-MTAB-7518,'cisplatin; 100 micromolar' vs 'none' in 'scrambled siRNA',1.1,1.76683540588288e-13,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-MTAB-5175,'doxycycline-mediated expression of dominant-negative FOS' vs 'wild type',1.1,3.16628219918768e-13,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-GEOD-48433,'NCI-H460; large cell lung carcinoma; P01' vs 'NCI-H460; large cell lung carcinoma; P0',-1.1,8.42645392472087e-7,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-GEOD-50627,'stem cell from lung adenocarcinoma cell' vs 'stem cell from normal lung epithelial cell',1.1,9.03022557652099e-7,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-GEOD-21750,'malignant mesothelioma; ERK1 knockdown' vs 'malignant mesothelioma; scrambled control',1.1,0.0000525349223929497,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-GEOD-48433,'NCI-H460; large cell lung carcinoma; P10' vs 'NCI-H460; large cell lung carcinoma; P0',-1.1,0.0000540585073575711,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-GEOD-48433,'HCT-15; adenocarcinoma of colon; P10' vs 'HCT-15; adenocarcinoma of colon; P0',-1.1,0.000229970749943696,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-GEOD-48812,'sulforaphane; prostate carcinoma' at '24 hour' vs 'sulforaphane; normal' at '24 hour',1.1,0.000285945534377096,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-GEOD-26834,'insulin-like growth factor' at '24 hour' vs 'control' at '24 hour',-1.1,0.00115200043732715,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-GEOD-68086,'breast carcinoma' vs 'normal',-1.1,0.00195413561584844,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-GEOD-48812,'DMSO; prostate carcinoma' at '24 hour' vs 'DMSO; normal' at '24 hour',1.1,0.00631815364078657,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-GEOD-35493,'glioblastoma' vs 'normal',-1.1,0.00652266099367832,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-GEOD-68086,'pancreatic adenocarcinoma' vs 'normal',-1.1,0.00669488095126588,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-GEOD-18105,'metastatic recurrence; tumor' vs 'metastatic recurrence; normal adjacent tissue',1.1,0.0101325778871922,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-GEOD-35493,"'medulloblastoma, large-cell' vs 'normal'",-1.1,0.0245455559358096,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-GEOD-18105,'metastasis; tumor' vs 'metastasis; normal adjacent tissue',1.1,0.0266730132093844,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-MTAB-4363,'expression of estrogen receptor beta fused to C terminus tandem affinity purification tag' vs 'expression of estrogen receptor alpha fused to C terminus tandem affinity purification tag',1,8.63401385364131e-21,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-GEOD-48121,'GLV-1h153' at '24 hour' vs 'control',-1,0.00000206127871611452,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-GEOD-22139,'DAOY M2.1; MYC knockdown' vs 'DAOY; siRNA scambled',1,0.00000817153410504682,
ENSG00000083750,RRAGB,RRAGB,homo sapiens,E-MTAB-5678,'squamous cell carcinoma' vs 'normal',-1,0.000015535477095593,
