Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000118046	homo sapiens	E-MEXP-3628	'osteosarcoma' vs 'normal'	-3.7	3.80155731445912e-9	
ENSG00000118046	homo sapiens	E-GEOD-57116	'3 h DRB 0 min 4sU' vs 'untreated'	-2.1	1.91072905675688e-14	
ENSG00000118046	homo sapiens	E-GEOD-63452	'24 hour' vs '0 hour' in 'MCF-10A-H1047R'	1.7	1.38487297769369e-22	
ENSG00000118046	homo sapiens	E-GEOD-68086	'pancreatic adenocarcinoma' vs 'normal'	-1.7	0.00000362756393601015	
ENSG00000118046	homo sapiens	E-GEOD-63452	'12 hour' vs '0 hour' in 'MCF-10A-H1047R'	1.6	2.82753506362768e-14	
ENSG00000118046	homo sapiens	E-GEOD-63452	'24 hour' vs '0 hour' in 'MCF-10A'	1.5	7.06305852602651e-25	
ENSG00000118046	homo sapiens	E-MTAB-5678	'squamous cell carcinoma' vs 'normal'	1.5	1.31909715930159e-17	
ENSG00000118046	homo sapiens	E-GEOD-80832	'Zaire ebolavirus lacking the mucin domain of GP' vs 'mock' at '8 hour'	-1.5	0.00000340068739167103	
ENSG00000118046	homo sapiens	E-GEOD-63452	'12 hour' vs '0 hour' in 'MCF-10A'	1.4	9.15958925366397e-20	
ENSG00000118046	homo sapiens	E-MTAB-4363	'expression of estrogen receptor beta fused to N terminus tandem affinity purification tag' vs 'expression of estrogen receptor alpha fused to C terminus tandem affinity purification tag'	-1.2	1.00595896914003e-71	
ENSG00000118046	homo sapiens	E-MTAB-7061	'HDAC1 homozygous knockout' vs 'wild type'	-1.2	0.00000596055726070911	
ENSG00000118046	homo sapiens	E-GEOD-68086	'glioblastoma' vs 'normal'	-1.2	0.00199655918063428	
ENSG00000118046	homo sapiens	E-MTAB-7061	'BRD9 homozygous knockout' vs 'wild type'	-1.2	0.00399945612944788	
ENSG00000118046	homo sapiens	E-MEXP-3025	'PE e/10 adherent culture' vs 'sphere culture'	1.2	0.0079353324460385	
ENSG00000118046	homo sapiens	E-MTAB-7518	'cisplatin; 100 micromolar' vs 'none' in 'TMEM45A knockdown by siRNA'	-1.1	9.83423564218239e-11	
ENSG00000118046	homo sapiens	E-GEOD-52567	'shRNA mediated knockdown of MBD4 and retrovirus mediated expression of RON and MSP' vs 'none'	-1.1	0.0000138655782683768	
ENSG00000118046	homo sapiens	E-MTAB-5102	'154; 1 micromolar' vs 'DMSO'	1.1	0.0000628927648800633	
ENSG00000118046	homo sapiens	E-MTAB-7061	'BLVRB homozygous knockout' vs 'wild type'	-1.1	0.0000728930688376926	
ENSG00000118046	homo sapiens	E-GEOD-66354	'supratentorial ependymoma' vs 'normal'	1.1	0.00021447205689115	
ENSG00000118046	homo sapiens	E-GEOD-40595	'ovarian cancer' vs 'normal' in 'stromal cell'	1.1	0.00039019262202743	
ENSG00000118046	homo sapiens	E-MTAB-6204	'PTBP1/2 and MATR3 knock down by siRNA' vs 'scrambled siRNA' in 'cytoplasmic RNA'	1.1	0.0406297349936318	
ENSG00000118046	homo sapiens	E-MTAB-7518	'cisplatin; 100 micromolar' vs 'none' in 'scrambled siRNA'	-1	2.10822275878805e-8	
ENSG00000118046	homo sapiens	E-GEOD-63452	'6 hour' vs '0 hour' in 'MCF-10A'	-1	3.85849533043594e-7	
ENSG00000118046	homo sapiens	E-MTAB-7033	'p63 knockdown by siRNA' vs 'scrambled siRNA' in 'L3.6pl'	1	0.000934705226855249	
