Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000266173	homo sapiens	E-GEOD-52194	'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal'	2.8	0.0000658863996801655	
ENSG00000266173	homo sapiens	E-GEOD-68086	'breast carcinoma' vs 'normal'	-2.6	1.06055159242831e-18	
ENSG00000266173	homo sapiens	E-GEOD-68086	'colorectal carcinoma' vs 'normal'	-2.6	3.53824123034807e-18	
ENSG00000266173	homo sapiens	E-GEOD-68086	'pancreatic adenocarcinoma' vs 'normal'	-2.6	5.22549365110504e-13	
ENSG00000266173	homo sapiens	E-GEOD-68086	'non-small cell lung carcinoma' vs 'normal'	-2.5	5.37785793154517e-15	
ENSG00000266173	homo sapiens	E-GEOD-63816	'erythroleukemia; ZRSR2 shRNA' vs 'normal'	-1.5	0.00000115328928375584	
ENSG00000266173	homo sapiens	E-GEOD-68086	'hepatobiliary carcinoma' vs 'normal'	-1.5	0.000301537287409314	
ENSG00000266173	homo sapiens	E-GEOD-52194	'non-triple-negative breast cancer; breast carcinoma' vs 'normal'	1.5	0.000324924824496512	
ENSG00000266173	homo sapiens	E-MTAB-5982	'Digoxin; 400 nanomolar' vs 'DMSO'	-1.5	0.0115155240080243	
ENSG00000266173	homo sapiens	E-MEXP-3628	'osteosarcoma' vs 'normal'	1.4	0.00000328697271614277	
ENSG00000266173	homo sapiens	E-GEOD-68086	'glioblastoma' vs 'normal'	-1.4	0.0000432076933883447	
ENSG00000266173	homo sapiens	E-MTAB-5678	'squamous cell carcinoma' vs 'normal'	-1.3	3.68085320475148e-12	
ENSG00000266173	homo sapiens	E-MTAB-7453	'PLX4720; 1 micromolar' vs 'none'	1.2	0.00363841965823555	
ENSG00000266173	homo sapiens	E-MTAB-7025	'THZ1 (35 nanomolar)' vs 'none'	-1.1	0.0019080296009452	
ENSG00000266173	homo sapiens	E-MTAB-7025	'JQ1 (1 micromolar) and THZ1 (35 nanomolar)' vs 'none'	-1.1	0.00697026565816481	
ENSG00000266173	homo sapiens	E-MTAB-9712	'RRx-1; 20 micromolar' vs 'none'	-1	0.000173805830279732	
ENSG00000266173	homo sapiens	E-GEOD-63452	'12 hour' vs '0 hour' in 'MCF-10A-H1047R'	-1	0.00029835749971484	
ENSG00000266173	homo sapiens	E-GEOD-48258	'CDKI-73, 0.1 micromolar and fludarabine, 10 micromolar' vs 'control'	1	0.00575751679441552	
ENSG00000266173	homo sapiens	E-MTAB-4054	'esophageal adenocarcinoma' vs 'Barrett’s esophagus; low-grade dysplasia'	1	0.0123066777721309	
ENSG00000266173	homo sapiens	E-GEOD-51415	'tongue squamous cell carcinoma' vs 'normal' in 'vehicle'	1	0.0211852107795415	
ENSG00000266173	homo sapiens	E-GEOD-52194	'triple-negative breast cancer; breast carcinoma' vs 'normal'	1	0.0413245810347177	
