Andaman & Nicobar Islands,
Andaman Nicobar Island Institute of Medical Sciences (ANIIMS),"DHS Annexe Building, Port Blair, PB744104, India"
Andhra Pradesh,
"Alluri Sitaram Raju Academy of Medical Sciences, Malkapuram,Eluru","Malkapuram Village, Eluru (Mandal), 534005, Eluru District, AP"
Apollo Hospitals Enterprise Limited,"Apollo Hopsitals, Health City, Arilova, Chinagadhili, Visakhapatnam 530040, AP"
Good Samaritan Cancer and General Hospital,"Good Samaritan Cancer and General Hospital, Jose Nagar, Eluru, AP - 534001"
"HCG Curie City Cancer Centre , Vijayawada","# 44-1-1/3, Padavalarevu, Machavaram Down, Gunadala, Vijayawada – 520 004 "
"Homi Bhabha Cancer Hospital & Research Centre, Vizag","Aganampudi, Gajuwaka Mandalam, Visakhapatnam 530 053, Andhra Pradesh"
Jayathi Hospitals,"OPP.APSRTC Bus Stand,Old Club Road Kothapeta,Guntur -52201"
Mahatma Gandhi Cancer Hospital & Research Institute,"1/7, MVP Main Road, MVP Colony, Vishakapatnam, Andhra Pradesh 5300177"
Sri Venkateshwara Institute of Medical Sciences Univerity Cancer Centre,"Alipiri Road, Chittoor District, Tirupati, Andhra Pradesh 517 507"
Sri Venkateswara Institute of Cancer Care and Advanced Research (SVICCAR) - a unit of Alamelu Charitable Foundation (ACF),"Prakasam Nagar Colony, Sri Padmavati Mahila Visvavidyalayam, Tirupati, Andhra Pradesh 517507"
Viswabharathi Cancer Hospital (A Unit of Viswabharathi Medical College and General Hospital,"RT Nagar, Penchikaapadu Village, Off. Bellary Road, Kurnool 518463"
Arunachal Pradesh,
"Tertiary Cancer Centre, Arunachal Pradesh","Tomo Riba State Hospital, Naharlagun, Arunachal Pradesh"
Assam,
Assam Cancer Care Foundation,"Assam Cancer Care Foundation 3rd and 4th Floor, V K Trade Centre Opposite Downtown Hospital G S Road, Guwahati - 781022 Assam, India"
Cachar Cancer Hospital & Research Centre,"N. S. Avenue, Meharpur, Beltolla, Silchar, Assam 788 005"
Deepsikha Foundation (Cancer Care Foundation),"HO - House No.18, Bhola Baba Path, Six Mile, Guwahati - 781022"
Dr. B. Borooah Cancer Institute,"Gopinath Nagar, Guwahati, Assam 781 016"
Guwahati Medical College Hospital,"GMCH Complex, GMCH Road, Bhangagarh, Guwahati 781032 Assam"
"Shankara Cancer and Research Institute, Tezpur, Assam - Only Medical Oncology","Dorika Hospitals, 3rd Floor, Majgaon, Tezpur, Assam 784001"
Bihar,
"All India Institute of Medical Sciences, Patna","Patna - Aurangabad Rd, Phulwari Sharif, Patna, Bihar 801507"
"Homi Bhabha Hospital and Cancer Research , Tata Memorial Centre, Muzaffarpur","Uma Nagar, Rasulpur, SKMCH Campus, Bihar 842004, India"
"Indira Gandhi Institute of Medical Sciences, Patna","Sheikhpura, Patna 800014, Bihar"
Magadh Cancer Centre,"Vishweshwariya Nagarm, Near Bihar Collage of Pharmacy , Gola Road, Bailey Road, Patna 801503"
Mahavir Cancer Sansthan,"Khagoul Road, Phulwari Sharif, Patna, Bihar 801 505"
Paras Cancer Centre,"Paras HMRI Hospital, NH 30, Raja Bazar, Bailey Road, Patna, Bihar 800014"
S S Hospital and Research Centre,"Doctors Colony (Near malahi Pakri Chowk), Kankarbagh, Patna 800020"
Savera Cancer and Multispecialty Hospital,"GC/5GC6, Dr R N Singh Road,Lohiya Nagar, Kankarbagh, Patna-800020"
Swami Vivekanand Cancer Aspatal,"Vivekananda Nagar, Mabbi, Darbhanga, Bihar – 846005, India."
Chandigarh,
Postgraduate Institute of Medical Education & Research (PGI Chandigarh)- Regional Cancer Centre,"Sector 12, Chandigarh 160 012"
Chattisgarh,
BALCO Medical Centre (Vedanta Medical Research Foundation),"Road, Sector 36, Uparwara, Naya Raipur, Chhattisgarh 493661"
"Jan Swasthya Sahayog, (Peoples Health Support Group)","Ganiyari Village, P O Bilaspur District, Chhattisgarh 495112,"
"Regional Cancer Centre, Raipur","Jail Road, Raipur, Chhattisgarh 492001"
Sanjeevani CBCC USA Cancer Hospital,"In front of Jain Mandir, Near Ram Krishna Care Hospital, Dawada Colony, Pachpedhi Naka, Raipur, Chattisgarh 492 001"
Delhi,
"All India Institute of Medical Sciences, Dr. B. R. A. Institute Rotary Cancer Hospital, New Delhi","Ansari Nagar, New Delhi 110 029"
CanKids,"D 7/7, Vasant Vihar New Delhi"
CanSupport Services,"A2 (2nd Floor), Gulmohar Park, (Opp Kamla Nehru College) New Delhi-110049"
Delhi State Cancer Institute,"EAST: Dilshad Garden, Delhi 110 095 WEST: C-2/B, Janak Puri, New Delhi 110 058"
Dharamshila Hospital & Research Centre,"Vasundhara Enclave, Near New Ashok Nagar Metro Station, New Delhi, Delhi 110096"
"Fortis Cancer Institute Vasant Kunj, New Delhi","Fortis Flt, Lt. Rajan Dhall Charitable Trust Hospital, Sector B , pocket 1, Aruna Asaf Ali Marg, Vasant Kunj, New Delhi 110070"
Fortis Shalimarbagh – New Delhi,"Fortis Hospital, A block, Shalimar Bagh, New Delhi 110088"
