MoleculeType,Identifier,Uniprot ID,Protein Name,Gene Name
Proteins,Q5T9L3,Q5T9L3,WLS,WLS
Proteins,O75436,O75436,VPS26A,VPS26A
Proteins,Q9UBQ0,Q9UBQ0,VPS29,VPS29
Proteins,Q96QK1,Q96QK1,VPS35,VPS35
Proteins,O60493,O60493,SNX3,SNX3
Proteins,O96014,O96014,WNT11,WNT11
Proteins,P09544,P09544,WNT2,WNT2
Proteins,Q9UBV4,Q9UBV4,WNT16,WNT16
Proteins,Q93098,Q93098,WNT8B,WNT8B
Proteins,O14905,O14905,WNT9B,WNT9B
Proteins,Q9H1J5,Q9H1J5,WNT8A,WNT8A
Proteins,Q9GZT5,Q9GZT5,WNT10A,WNT10A
Proteins,Q93097,Q93097,WNT2B,WNT2B
Proteins,O14904,O14904,WNT9A,WNT9A
Proteins,O00744,O00744,WNT10B,WNT10B
Proteins,P56705,P56705,WNT4,WNT4
Proteins,P56706,P56706,WNT7B,WNT7B
Proteins,P41221,P41221,WNT5A,WNT5A
Proteins,Q9Y6F9,Q9Y6F9,WNT6,WNT6
Proteins,P56703,P56703,WNT3,WNT3
Proteins,O00755,O00755,WNT7A,WNT7A
Proteins,P04628,P04628,WNT1,WNT1
Proteins,Q9H1J7,Q9H1J7,WNT5B,WNT5B
Proteins,P56704,P56704,WNT3A,WNT3A
Proteins,Q9Y3A6,Q9Y3A6,TMED5,TMED5
Proteins,Q9H237,Q9H237,PORCN,PORCN
Proteins,Q08117,Q08117,TLE5,TLE5
Proteins,Q04725,Q04725,TLE2,TLE2
Proteins,Q04724,Q04724,TLE1,TLE1
Proteins,Q04726,Q04726,TLE3,TLE3
Proteins,Q04727,Q04727,TLE4,TLE4
Proteins,P56545,P56545,CTBP2,CTBP2
Proteins,Q13363,Q13363,CTBP1,CTBP1
Proteins,Q9HCS4,Q9HCS4,TCF7L1,TCF7L1
Proteins,Q9NQB0,Q9NQB0,TCF7L2,TCF7L2
Proteins,P36402,P36402,TCF7,TCF7
Proteins,Q9UJU2,Q9UJU2,LEF1,LEF1
Proteins,Q13547,Q13547,HDAC1,HDAC1
Proteins,P25054,P25054,APC,APC
Proteins,Q9UGI0,Q9UGI0,ZRANB1,ZRANB1
Proteins,P62979,P62979,RPS27A,RPS27A
Proteins,P0CG48,P0CG48,UBC,UBC
Proteins,P0CG47,P0CG47,UBB,UBB
Proteins,P62987,P62987,UBA52,UBA52
Proteins,Q5JTC6,Q5JTC6,AMER1,AMER1
Proteins,O15169,O15169,AXIN1,AXIN1
Proteins,P49841,P49841,GSK3B,GSK3B
Proteins,P30153,P30153,PPP2R1A,PPP2R1A
Proteins,P30154,P30154,PPP2R1B,PPP2R1B
Proteins,Q15173,Q15173,PPP2R5B,PPP2R5B
Proteins,Q13362,Q13362,PPP2R5C,PPP2R5C
Proteins,Q15172,Q15172,PPP2R5A,PPP2R5A
Proteins,Q14738,Q14738,PPP2R5D,PPP2R5D
Proteins,Q16537,Q16537,PPP2R5E,PPP2R5E
Proteins,P67775,P67775,PPP2CA,PPP2CA
Proteins,P62714,P62714,PPP2CB,PPP2CB
Proteins,P48729,P48729,CSNK1A1,CSNK1A1
Proteins,P35222,P35222,CTNNB1,CTNNB1
Proteins,P63208,P63208,SKP1,SKP1
Proteins,Q13616,Q13616,CUL1,CUL1
Proteins,P62877,P62877,RBX1,RBX1
Proteins,Q9Y297,Q9Y297,BTRC,BTRC
Proteins,P48556,P48556,PSMD8,PSMD8
Proteins,Q15008,Q15008,PSMD6,PSMD6
Proteins,P60896,P60896,SEM1,SEM1
Proteins,O43242,O43242,PSMD3,PSMD3
Proteins,O00231,O00231,PSMD11,PSMD11
Proteins,O00487,O00487,PSMD14,PSMD14
Proteins,P51665,P51665,PSMD7,PSMD7
Proteins,O00232,O00232,PSMD12,PSMD12
Proteins,Q9UNM6,Q9UNM6,PSMD13,PSMD13
Proteins,Q99460,Q99460,PSMD1,PSMD1
Proteins,Q16186,Q16186,ADRM1,ADRM1
Proteins,P17980,P17980,PSMC3,PSMC3
Proteins,P62333,P62333,PSMC6,PSMC6
Proteins,P43686,P43686,PSMC4,PSMC4
Proteins,P62195,P62195,PSMC5,PSMC5
Proteins,P62191,P62191,PSMC1,PSMC1
Proteins,P35998,P35998,PSMC2,PSMC2
Proteins,Q13200,Q13200,PSMD2,PSMD2
Proteins,O14818,O14818,PSMA7,PSMA7
Proteins,P25786,P25786,PSMA1,PSMA1
Proteins,P25787,P25787,PSMA2,PSMA2
Proteins,P25788,P25788,PSMA3,PSMA3
Proteins,P25789,P25789,PSMA4,PSMA4
Proteins,P28066,P28066,PSMA5,PSMA5
Proteins,P60900,P60900,PSMA6,PSMA6
Proteins,P28074,P28074,PSMB5,PSMB5
Proteins,P20618,P20618,PSMB1,PSMB1
Proteins,P28072,P28072,PSMB6,PSMB6
Proteins,Q99436,Q99436,PSMB7,PSMB7
Proteins,P49721,P49721,PSMB2,PSMB2
Proteins,P49720,P49720,PSMB3,PSMB3
Proteins,P28070,P28070,PSMB4,PSMB4
Proteins,Q92837,Q92837,FRAT1,FRAT1
Proteins,O75474,O75474,FRAT2,FRAT2
Proteins,Q9UBE8,Q9UBE8,NLK,NLK
Proteins,Q9UL18,Q9UL18,AGO1,AGO1
Proteins,Q9HCK5,Q9HCK5,AGO4,AGO4
Proteins,Q9H9G7,Q9H9G7,AGO3,AGO3
Proteins,Q8NDV7,Q8NDV7,TNRC6A,TNRC6A
Proteins,Q9UPQ9,Q9UPQ9,TNRC6B,TNRC6B
Proteins,Q9HCJ0,Q9HCJ0,TNRC6C,TNRC6C
Proteins,Q9HCE1,Q9HCE1,MOV10,MOV10
Proteins,Q9UKV8,Q9UKV8,AGO2,AGO2
Proteins,Q9ULV1,Q9ULV1,FZD4,FZD4
Proteins,Q13467,Q13467,FZD5,FZD5
Proteins,O60353,O60353,FZD6,FZD6
Proteins,Q9NPG1,Q9NPG1,FZD3,FZD3
Proteins,Q14332,Q14332,FZD2,FZD2
Proteins,P62879,P62879,GNB2,GNB2
Proteins,Q9HAV0,Q9HAV0,GNB4,GNB4
Proteins,O14775,O14775,GNB5,GNB5
