Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000103126	homo sapiens	E-MTAB-7518	'cisplatin; 100 micromolar' vs 'none' in 'scrambled siRNA'	-2.3	3.1010375321076e-70	
ENSG00000103126	homo sapiens	E-MTAB-7518	'cisplatin; 100 micromolar' vs 'none' in 'TMEM45A knockdown by siRNA'	-2.2	1.60981903669141e-39	
ENSG00000103126	homo sapiens	E-GEOD-52194	'triple-negative breast cancer; breast carcinoma' vs 'normal'	-2.1	1.16610628587585e-7	
ENSG00000103126	homo sapiens	E-GEOD-52194	'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal'	-2.1	0.00000381298456702771	
ENSG00000103126	homo sapiens	E-GEOD-52194	'non-triple-negative breast cancer; breast carcinoma' vs 'normal'	-1.9	0.00000115754458395378	
ENSG00000103126	homo sapiens	E-GEOD-48433	'AsPC-1; pancreatic adenocarcinoma; P10' vs 'AsPC-1; pancreatic adenocarcinoma; P0'	-1.8	1.87199203653338e-7	
ENSG00000103126	homo sapiens	E-GEOD-68086	'pancreatic adenocarcinoma' vs 'normal'	-1.7	2.34568287075995e-10	
ENSG00000103126	homo sapiens	E-GEOD-48433	'AsPC-1; pancreatic adenocarcinoma; P04' vs 'AsPC-1; pancreatic adenocarcinoma; P0'	-1.7	1.16059981050565e-7	
ENSG00000103126	homo sapiens	E-MTAB-5678	'squamous cell carcinoma' vs 'normal'	1.4	7.38115997975557e-7	
ENSG00000103126	homo sapiens	E-GEOD-80832	'Zaire ebolavirus lacking the mucin domain of GP' vs 'mock' at '8 hour'	-1.4	0.0000108470469208894	
ENSG00000103126	homo sapiens	E-MTAB-9209	'5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide; 0.4 millimolar' vs 'none'	1.3	1.67204214501296e-15	
ENSG00000103126	homo sapiens	E-GEOD-48433	'AsPC-1; pancreatic adenocarcinoma; P01' vs 'AsPC-1; pancreatic adenocarcinoma; P0'	-1.3	0.00000292912721407632	
ENSG00000103126	homo sapiens	E-MEXP-3628	'osteosarcoma' vs 'normal'	1.3	0.00023017867419442	
ENSG00000103126	homo sapiens	E-MTAB-9767	"after autologous stem cell transplantation" vs "before autologous stem cell transplantation"	1.2	0.000749183743468608	
ENSG00000103126	homo sapiens	E-MTAB-7061	'BRD9 homozygous knockout' vs 'wild type'	-1.2	0.0406321502541394	
ENSG00000103126	homo sapiens	E-GEOD-51415	'tongue squamous cell carcinoma' vs 'normal' in 'vehicle'	-1.1	0.00000862893826091925	
ENSG00000103126	homo sapiens	E-GEOD-35493	'atypical teratoid / rhabdoid tumor' vs 'normal'	1.1	0.0000140447566289131	
ENSG00000103126	homo sapiens	E-GEOD-68086	'hepatobiliary carcinoma' vs 'normal'	-1.1	0.0000798660082847568	
ENSG00000103126	homo sapiens	E-GEOD-6400	'5 microgram per milliliter dose of actinomycin D' vs '5 percent dose of mannitol'	-1.1	0.000295112179094249	
ENSG00000103126	homo sapiens	E-MTAB-1776	'EGR2-E356K' vs 'wild type genotype'	1.1	0.0011038069859976	
ENSG00000103126	homo sapiens	E-GEOD-63252	'wild type; BREFELDIN A' vs 'wild type; control'	-1.1	0.00220151642261227	
ENSG00000103126	homo sapiens	E-GEOD-40776	'expressing O6-methylguanine methyltransferase' vs 'control'	-1.1	0.0123148857717986	
ENSG00000103126	homo sapiens	E-MTAB-7025	'JQ1 (1 micromolar) and THZ1 (35 nanomolar)' vs 'none'	-1.1	0.0219376591381223	
ENSG00000103126	homo sapiens	E-MTAB-7847	'Sorafenib; 5 micromolar' vs 'vehicle' in 'HuH-7'	1	1.11769058695839e-55	
ENSG00000103126	homo sapiens	E-GEOD-48812	'DMSO; prostate carcinoma' at '24 hour' vs 'DMSO; normal' at '24 hour'	-1	3.60106513741683e-9	
ENSG00000103126	homo sapiens	E-GEOD-33643	'BEZ235; max' vs 'DMSO; '	1	0.00000136485270198778	
ENSG00000103126	homo sapiens	E-MTAB-8198	'ICI 182,780; 1E-08 molar' vs 'dimethyl sulfoxide; 1E-08 molar' in 'PEO4'	-1	0.0469398956409378	
