Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000116128	homo sapiens	E-GEOD-68086	'pancreatic adenocarcinoma' vs 'normal'	-3.9	2.70549082561975e-16	
ENSG00000116128	homo sapiens	E-GEOD-68086	'breast carcinoma' vs 'normal'	-2.5	1.92065402015595e-9	
ENSG00000116128	homo sapiens	E-GEOD-33294	'liver tumor' vs 'adjacent non-tumor tissue'	2.5	1.2163755582002e-7	
ENSG00000116128	homo sapiens	E-GEOD-52567	'shRNA mediated knockdown of MBD4 and retrovirus mediated expression of RON and MSP' vs 'none'	2.5	0.00000516611598368205	
ENSG00000116128	homo sapiens	E-GEOD-21750	'malignant mesothelioma; wild type' vs 'normal; wild type'	2.4	1.26834051608102e-7	
ENSG00000116128	homo sapiens	E-GEOD-68086	'hepatobiliary carcinoma' vs 'normal'	-2	0.000178661161038541	
ENSG00000116128	homo sapiens	E-GEOD-37003	'anti-m6A' vs 'none'	1.9	0.00803883866146438	
ENSG00000116128	homo sapiens	E-MTAB-7591	'SFRP2 overexpression' vs 'wild type' in 'U-2987'	-1.8	0	
ENSG00000116128	homo sapiens	E-GEOD-19249	'lung cancer' vs 'normal' in 'lung; Fresh-frozen tissue'	1.8	0.000127668036148567	
ENSG00000116128	homo sapiens	E-GEOD-68086	'colorectal carcinoma' vs 'normal'	-1.7	0.000282201935047654	
ENSG00000116128	homo sapiens	E-GEOD-65485	'neoplasm' vs 'normal tissue adjacent to neoplasm'	1.7	0.00103652715382438	
ENSG00000116128	homo sapiens	E-GEOD-49608	'7 hour' vs '0 hour' in 'MDA-LM2'	-1.6	1.51215951533111e-23	
ENSG00000116128	homo sapiens	E-GEOD-61966	'501Mel; shBRG1 knockdown' vs '501Mel; control'	1.5	2.46803858166709e-79	
ENSG00000116128	homo sapiens	E-CURD-45	'neoplasm' vs 'normal tissue adjacent to neoplasm'	1.5	4.37933426907033e-8	
ENSG00000116128	homo sapiens	E-MTAB-5917	'phorbol 13-acetate 12-myristate; 100 nanomolar; interleukin-4 and interleukin-13; 2 day' vs 'none; none; 0 day'	-1.5	0.0000277248369876419	
ENSG00000116128	homo sapiens	E-GEOD-57116	'3 h DRB 8 min 4sU' vs 'untreated'	-1.5	0.0000444620324029346	
ENSG00000116128	homo sapiens	E-GEOD-68086	'non-small cell lung carcinoma' vs 'normal'	-1.5	0.000290839736341699	
