Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000213923	homo sapiens	E-GEOD-68086	'pancreatic adenocarcinoma' vs 'normal'	-2.8	1.67883278304015e-12	
ENSG00000213923	homo sapiens	E-GEOD-57116	'3 h DRB 0 min 4sU' vs 'untreated'	2.8	1.52068927872218e-10	
ENSG00000213923	homo sapiens	E-GEOD-68086	'colorectal carcinoma' vs 'normal'	-2.7	1.39648304526845e-11	
ENSG00000213923	homo sapiens	E-GEOD-52194	'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal'	-2.5	3.59101392310968e-8	
ENSG00000213923	homo sapiens	E-GEOD-68086	'hepatobiliary carcinoma' vs 'normal'	-2.4	1.11671388874094e-8	
ENSG00000213923	homo sapiens	E-GEOD-48258	'CDKI-73, 0.1 micromolar and fludarabine, 10 micromolar' vs 'control'	2.3	0.00132852319228241	
ENSG00000213923	homo sapiens	E-GEOD-9350	'hypoxia' vs 'normal atmospheric oxygen pressure' in 'low metastatic cell line'	2.3	0.00275639857652828	
ENSG00000213923	homo sapiens	E-GEOD-68086	'breast carcinoma' vs 'normal'	-2.2	2.51928067409144e-11	
ENSG00000213923	homo sapiens	E-GEOD-52194	'non-triple-negative breast cancer; breast carcinoma' vs 'normal'	-2.1	7.82831846388965e-15	
ENSG00000213923	homo sapiens	E-GEOD-21750	'malignant mesothelioma; wild type' vs 'normal; wild type'	-2.1	5.55101305789091e-8	
ENSG00000213923	homo sapiens	E-GEOD-48433	'HOP-62; adenocarcinoma of lung; P04' vs 'HOP-62; adenocarcinoma of lung; P0'	2.1	0.00000221565709503847	
ENSG00000213923	homo sapiens	E-GEOD-48812	'sulforaphane; prostate carcinoma' at '24 hour' vs 'sulforaphane; normal' at '24 hour'	-1.9	1.17646772396883e-47	
ENSG00000213923	homo sapiens	E-GEOD-68086	'non-small cell lung carcinoma' vs 'normal'	-1.9	1.84659774248844e-7	
ENSG00000213923	homo sapiens	E-GEOD-22334	'cells p16-transfected' vs 'control'	1.9	0.000103419504918624	
ENSG00000213923	homo sapiens	E-GEOD-48433	'NCI-H226; squamous cell lung carcinoma; P10' vs 'NCI-H226; squamous cell lung carcinoma; P0'	1.7	3.14593976915795e-7	
ENSG00000213923	homo sapiens	E-GEOD-52194	'triple-negative breast cancer; breast carcinoma' vs 'normal'	-1.7	0.000290157819968689	
ENSG00000213923	homo sapiens	E-MTAB-5933	'oral squamous cell carcinoma; neoplasm' vs 'normal; 5 mm beyond neoplasm as visible by narrow band imaging' in 'mouth floor'	1.7	0.00990315335676381	
ENSG00000213923	homo sapiens	E-MTAB-11620	'poly I:C' vs 'mock' in 'ncgRNA'	1.7	0.0297882856242111	
ENSG00000213923	homo sapiens	E-GEOD-27473	'estrogen receptor alpha knockdown' vs 'control'	1.6	0.00000151458471142599	
ENSG00000213923	homo sapiens	E-GEOD-57116	'3 h DRB 8 min 4sU' vs 'untreated'	1.6	0.0000145959198519255	
ENSG00000213923	homo sapiens	E-GEOD-48433	'NCI-H226; squamous cell lung carcinoma; P04' vs 'NCI-H226; squamous cell lung carcinoma; P0'	1.6	0.0000356323094147658	
ENSG00000213923	homo sapiens	E-GEOD-48812	'DMSO; prostate carcinoma' at '24 hour' vs 'DMSO; normal' at '24 hour'	-1.5	1.70733265223068e-28	
ENSG00000213923	homo sapiens	E-MTAB-7025	'THZ1 (35 nanomolar)' vs 'none'	1.5	3.91870549163078e-25	
ENSG00000213923	homo sapiens	E-GEOD-48433	'HOP-62; adenocarcinoma of lung; P10' vs 'HOP-62; adenocarcinoma of lung; P0'	1.5	3.2873148262423e-7	
ENSG00000213923	homo sapiens	E-GEOD-48812	'sulforaphane; prostate carcinoma' at '6 hour' vs 'sulforaphane; normal' at '6 hour'	-1.5	0.00000177624434040379	
ENSG00000213923	homo sapiens	E-GEOD-76987	'colon adenocarcinoma' vs 'normal'	1.4	4.06903176186819e-22	
ENSG00000213923	homo sapiens	E-GEOD-48433	'HOP-92; large cell undifferentiated lung; P04' vs 'HOP-92; large cell undifferentiated lung; P0'	1.3	5.80616948508292e-7	
ENSG00000213923	homo sapiens	E-GEOD-43049	'Apical anaerobic' vs 'Conventional'	1.3	0.0000134787277543981	
