Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000168772	homo sapiens	E-MTAB-4054	'esophageal adenocarcinoma' vs 'normal'	4.2	1.48800499224856e-11	
ENSG00000168772	homo sapiens	E-MTAB-4054	'Barrett’s esophagus; low-grade dysplasia' vs 'normal'	4.1	3.3891373364409e-21	
ENSG00000168772	homo sapiens	E-MTAB-7591	'SOX2 overexpression' vs 'wild type' in 'U-2982'	3.5	0.00000695618749843685	
ENSG00000168772	homo sapiens	E-MTAB-5175	'doxycycline-mediated expression of dominant-negative FOS' vs 'wild type'	3.3	0.0000064937399308698	
ENSG00000168772	homo sapiens	E-MTAB-10317	'lapatinib; 500 nanomolar' vs 'none' in 'scrambled siRNA'	3.1	3.31756802040964e-14	
ENSG00000168772	homo sapiens	E-GEOD-51415	'tongue squamous cell carcinoma' vs 'normal' in 'vehicle'	-3.1	0.000656714028677879	
ENSG00000168772	homo sapiens	E-GEOD-55048	'tumor' vs 'paratumoral tissue'	-3	0.00142905905810348	
ENSG00000168772	homo sapiens	E-MTAB-3645	'A2780cis' vs 'A2780' in Normoxia; None'	-2.9	5.52930310710477e-8	
ENSG00000168772	homo sapiens	E-MTAB-3645	'A2780cis' vs 'A2780' in Normoxia; Cisplatin'	-2.8	5.89312564292298e-8	
ENSG00000168772	homo sapiens	E-MTAB-3645	'A2780cis' vs 'A2780' in Hypoxia; Cisplatin'	-2.8	1.32212589419446e-7	
ENSG00000168772	homo sapiens	E-GEOD-52194	'HER2 Positive Breast Carcinoma; breast carcinoma' vs 'normal'	2.8	0.00223565802017228	
ENSG00000168772	homo sapiens	E-MTAB-9767	"after autologous stem cell transplantation" vs "before autologous stem cell transplantation"	-2.8	0.0261120292620967	
ENSG00000168772	homo sapiens	E-MTAB-10317	'lapatinib; 500 nanomolar' vs 'none' in 'PPARGC1A siRNA'	2.7	8.2215589467831e-12	
ENSG00000168772	homo sapiens	E-GEOD-30592	'dexamethasone; 100 nanomolar' vs 'ethanol; 0.1 percent'	-2.7	0.00194421150165217	
ENSG00000168772	homo sapiens	E-MTAB-10304	'lapatinib; 500 nanomolar; 1 day' vs 'dimethyl sulfoxide; 1 day'	2.4	6.40608463522605e-8	
ENSG00000168772	homo sapiens	E-GEOD-52194	'non-triple-negative breast cancer; breast carcinoma' vs 'normal'	2.4	0.00000318618948820718	
ENSG00000168772	homo sapiens	E-MTAB-7284	'TIGAR knockdown' vs 'wild type'	2.3	1.83442981324663e-9	
ENSG00000168772	homo sapiens	E-GEOD-68086	'pancreatic adenocarcinoma' vs 'normal'	-2.1	3.27756409717188e-11	
ENSG00000168772	homo sapiens	E-MTAB-3645	'A2780cis' vs 'A2780' in Hypoxia; None'	-2.1	1.83189585915913e-7	
ENSG00000168772	homo sapiens	E-MTAB-8031	'neoplasm' vs 'normal tissue adjacent to tumor'	-2.1	0.0436355392965041	
ENSG00000168772	homo sapiens	E-GEOD-68086	'hepatobiliary carcinoma' vs 'normal'	-2	0.00000292569411650982	
ENSG00000168772	homo sapiens	E-GEOD-60052	'small cell lung carcinoma' vs 'normal'	2	0.00201272144692039	
ENSG00000168772	homo sapiens	E-GEOD-68086	'non-small cell lung carcinoma' vs 'normal'	-1.9	1.14862403302104e-9	
ENSG00000168772	homo sapiens	E-GEOD-52194	'triple-negative breast cancer; breast carcinoma' vs 'normal'	1.8	0.00592149236517644	
ENSG00000168772	homo sapiens	E-GEOD-44077	'lung carcinoma' vs 'normal'	1.7	4.77938666723293e-23	
ENSG00000168772	homo sapiens	E-GEOD-68086	'breast carcinoma' vs 'normal'	-1.7	9.52787938303131e-11	
ENSG00000168772	homo sapiens	E-MTAB-10304	'lapatinib; 500 nanomolar; 7 day' vs 'dimethyl sulfoxide; 1 day'	1.7	0.000227644503168563	
ENSG00000168772	homo sapiens	E-GEOD-68086	'colorectal carcinoma' vs 'normal'	-1.6	4.13949330504929e-9	
ENSG00000168772	homo sapiens	E-MEXP-3628	'osteosarcoma' vs 'normal'	1.6	0.000185343397239029	
ENSG00000168772	homo sapiens	E-MTAB-7884	'DGAT2 homozygous knockout' vs 'wild type genotype' in 'fatty acids (800 micromolar) and fructose (5.5 millimolar)'	1.5	7.2681320055019e-7	
ENSG00000168772	homo sapiens	E-MTAB-4771	'astrocyte overexpressing 4 genes' vs 'glioblastoma cell line'	1.5	0.000697496911503403	
