Gene,Protein,Gene Name(s),Species,Experiment accession,Comparison,log_2 fold change,Adjusted p-value,t-statistic
ENSG00000165617,DACT1,DACT1,homo sapiens,E-GEOD-63816,'erythroleukemia; ZRSR2 shRNA' vs 'normal',-7.1,8.57483803506724e-15,
ENSG00000165617,DACT1,DACT1,homo sapiens,E-MTAB-4054,'Barrett’s esophagus; low-grade dysplasia' vs 'normal',5.9,1.78721284747888e-37,
ENSG00000165617,DACT1,DACT1,homo sapiens,E-GEOD-19249,'lung cancer' vs 'normal' in 'lung; Fresh-frozen tissue',5.4,3.70496951859328e-7,
ENSG00000165617,DACT1,DACT1,homo sapiens,E-GEOD-38678,'CLF1' vs 'CLS1; co-culture with CAF to generate sphere',5.1,4.81170207576807e-9,
ENSG00000165617,DACT1,DACT1,homo sapiens,E-GEOD-32424,'tumor' vs 'normal',5.1,1.28781450469766e-7,
ENSG00000165617,DACT1,DACT1,homo sapiens,E-GEOD-49644,'TGFb-induced epithelial-mesenchymal transition' vs 'normal' in 'A549',5,3.88834066329061e-8,
ENSG00000165617,DACT1,DACT1,homo sapiens,E-MTAB-4054,'esophageal adenocarcinoma' vs 'normal',4.8,4.25037011229589e-15,
ENSG00000165617,DACT1,DACT1,homo sapiens,E-GEOD-49644,'TGFb-induced epithelial-mesenchymal transition' vs 'normal' in 'HCC827',4.8,1.96848835739694e-7,
ENSG00000165617,DACT1,DACT1,homo sapiens,E-MTAB-8480,'MEF2D-HNFNPUL1 knockdown by siRNA' vs 'luciferase siRNA',-4.6,3.92959250995746e-207,
ENSG00000165617,DACT1,DACT1,homo sapiens,E-GEOD-48812,'DMSO; prostate carcinoma' at '24 hour' vs 'DMSO; normal' at '24 hour',-4.1,0.0000492843020433461,
ENSG00000165617,DACT1,DACT1,homo sapiens,E-GEOD-58252,'Snail overexpression' vs 'control',3.9,0.000005606155348129,
ENSG00000165617,DACT1,DACT1,homo sapiens,E-GEOD-68086,'colorectal carcinoma' vs 'normal',-3.8,1.73386632252379e-15,
ENSG00000165617,DACT1,DACT1,homo sapiens,E-GEOD-48812,'sulforaphane; prostate carcinoma' at '24 hour' vs 'sulforaphane; normal' at '24 hour',-3.7,0.0169128810617854,
ENSG00000165617,DACT1,DACT1,homo sapiens,E-MTAB-5917,'phorbol 13-acetate 12-myristate; 100 nanomolar; interleukin-4; 2 day' vs 'none; 3 day' in 'none; none; 0 day',3.6,0.00000514126366114348,
ENSG00000165617,DACT1,DACT1,homo sapiens,E-MTAB-5917,'phorbol 13-acetate 12-myristate; 100 nanomolar; interleukin-4 and interleukin-13; 2 day' vs 'none; none; 0 day',3.6,0.00000711791152841146,
